iter,algo_S_10.0_mean,algo_S_10.0_upper,algo_S_10.0_lower,algo_S_20.0_mean,algo_S_20.0_upper,algo_S_20.0_lower,algo_S_30.0_mean,algo_S_30.0_upper,algo_S_30.0_lower,algo_S_50.0_mean,algo_S_50.0_upper,algo_S_50.0_lower
0,9.727125644683838,9.735922801822708,9.718328487544968,9.653027820587159,9.660302695570017,9.6457529456043,9.625628471374512,9.63339748988858,9.617859452860444,9.582421030317034,9.592446725611692,9.572395335022376
1,9.28829345703125,9.296549382769006,9.280037531293493,9.149042129516602,9.156425176091851,9.141659082941352,9.09767780303955,9.10658069423415,9.08877491184495,9.025912284851074,9.035648884251902,9.016175685450246
2,8.87054615020752,8.880731067034187,8.860361233380853,8.675697422027588,8.683265754486056,8.668129089569119,8.600115871429443,8.609227102930092,8.591004639928794,8.509509222848076,8.519055747693827,8.499962698002324
3,8.467121791839599,8.476962807939254,8.457280775739944,8.232696056365967,8.240284218628723,8.22510789410321,8.135950469970703,8.144029804166607,8.1278711357748,8.026975427355085,8.036268979530048,8.017681875180122
4,8.083441829681396,8.093062103850597,8.073821555512195,7.81048731803894,7.819117504496858,7.801857131581023,7.697680997848511,7.7064632396995805,7.688898755997441,7.575105667114258,7.58783000047806,7.562381333750456
5,7.7172651290893555,7.728261894565947,7.706268363612764,7.4089428901672365,7.417634469299648,7.400251311034825,7.284918594360351,7.291988278586116,7.277848910134587,7.156338623591831,7.169826056322446,7.142851190861217
6,7.3703783512115475,7.381358792347621,7.359397910075474,7.036232423782349,7.0452382734182795,7.027226574146418,6.903133201599121,6.910410519293219,6.895855883905023,6.763950892857143,6.778095112750724,6.749806672963563
7,7.0402857780456545,7.049335824111045,7.031235731980264,6.678759431838989,6.687039966195387,6.670478897482591,6.535698652267456,6.5430389383532805,6.528358366181632,6.392891679491315,6.405094604654185,6.380688754328446
8,6.728299188613891,6.736089077485813,6.72050929974197,6.341262674331665,6.3497407199542435,6.332784628709086,6.190628004074097,6.1981624584905095,6.183093549657684,6.045021329607282,6.0553504557612134,6.034692203453351
9,6.430978679656983,6.4387816499485915,6.423175709365374,6.025361013412476,6.0333749253806275,6.017347101444324,5.8736584186553955,5.880639799495068,5.866677037815723,5.7220001220703125,5.732168066316356,5.711832177824269
