iter,data_weight_noise_0.001_mean,data_weight_noise_0.001_upper,data_weight_noise_0.001_lower,data_weight_noise_0.01_mean,data_weight_noise_0.01_upper,data_weight_noise_0.01_lower,data_weight_noise_0.1_mean,data_weight_noise_0.1_upper,data_weight_noise_0.1_lower,data_weight_noise_1.0_mean,data_weight_noise_1.0_upper,data_weight_noise_1.0_lower
0,9.616684246063233,9.623250746732904,9.610117745393563,9.617023468017578,9.623628055960172,9.610418880074985,9.617453956604004,9.623858378299605,9.611049534908403,9.61540641784668,9.621111017510449,9.609701818182911
1,9.094118309020995,9.1002469481598,9.087989669882191,9.094756603240967,9.100938499781536,9.088574706700397,9.093807411193847,9.099741140337308,9.087873682050386,9.087726211547851,9.092831286999253,9.08262113609645
2,8.595718574523925,8.603538755999136,8.587898393048714,8.596478080749511,8.604263592809199,8.588692568689824,8.595912647247314,8.603346482057153,8.588478812437474,8.585966682434082,8.591774669759223,8.58015869510894
3,8.132215690612792,8.141005251317754,8.12342612990783,8.133011436462402,8.141861412787634,8.12416146013717,8.130821990966798,8.139197469204499,8.122446512729097,8.119028759002685,8.125155898569068,8.112901619436302
4,7.69910945892334,7.706826458553576,7.6913924592931044,7.699944686889649,7.707805244914652,7.6920841288646455,7.698808670043945,7.706233961452636,7.691383378635255,7.6827229976654055,7.689356383587012,7.676089611743799
5,7.290815687179565,7.298054789554726,7.283576584804404,7.291952514648438,7.299320646357597,7.284584382939279,7.290782022476196,7.297899406912,7.283664638040392,7.271573400497436,7.2788998094586566,7.264246991536216
6,6.903988552093506,6.910192854031023,6.897784250155989,6.9051755428314205,6.911513627484439,6.898837458178402,6.903403091430664,6.909873473825466,6.896932709035862,6.887988424301147,6.896303484648462,6.879673363953832
7,6.5414392948150635,6.548080010696545,6.534798578933582,6.542563533782959,6.549372122894539,6.535754944671378,6.539913749694824,6.546344029583588,6.533483469806059,6.525761604309082,6.534393691714476,6.5171295169036885
8,6.204597806930542,6.2129399193637695,6.196255694497314,6.204797887802124,6.213456492059431,6.1961392835448175,6.2029866695404055,6.211270751593412,6.194702587487399,6.187795543670655,6.197345934035028,6.178245153306281
9,5.88057656288147,5.888042206864435,5.8731109188985045,5.880317497253418,5.8881719660305025,5.872463028476333,5.879637908935547,5.887248000928831,5.872027816942263,5.8648841381073,5.87446986917553,5.8552984070390695
10,5.578050851821899,5.584523161566721,5.571578542077078,5.577561092376709,5.584267009935637,5.5708551748177815,5.57674503326416,5.583628871817314,5.569861194711006,5.564311599731445,5.57503403255685,5.55358916690604
11,5.292123126983642,5.298306364303924,5.285939889663361,5.291587257385254,5.298076392543276,5.285098122227232,5.291618680953979,5.298555966186426,5.284681395721532,5.2784441947937015,5.288529565458182,5.268358824129221
12,5.0209370136260985,5.027195018794922,5.014679008457275,5.020489120483399,5.026965444497852,5.014012796468945,5.019288206100464,5.026121309966165,5.012455102234764,5.007983541488647,5.017403890217328,4.998563192759966
13,4.764723920822144,4.771066904912913,4.758380936731375,4.7643615245819095,4.77087556199208,4.757847487171739,4.763114309310913,4.770203236174692,4.756025382447134,4.756455802917481,4.765046335869475,4.747865269965486
14,4.524698543548584,4.530585355152506,4.518811731944662,4.524649667739868,4.530709699782096,4.51858963569764,4.524561166763306,4.531116617376855,4.518005716149756,4.518940687179565,4.527536396257946,4.510344978101185
15,4.296208667755127,4.301346619743639,4.291070715766614,4.296826648712158,4.301612685243408,4.292040612180908,4.294023180007935,4.299768968883254,4.288277391132616,4.295580768585205,4.303826614770897,4.287334922399514
16,4.08216404914856,4.086978783043435,4.077349315253684,4.0825272560119625,4.087054230462564,4.078000281561361,4.07819013595581,4.083851819792113,4.072528452119507,4.081722784042358,4.089483872653163,4.073961695431554
17,3.8791962385177614,3.884625418235209,3.873767058800314,3.8795419931411743,3.884692304148188,3.874391682134161,3.8759849786758425,3.8820858172574337,3.869884140094251,3.8881852865219115,3.8953465625515755,3.8810240104922475
18,3.6878485679626465,3.694056651365689,3.681640484559604,3.6881930589675904,3.694085105494235,3.682301012440946,3.68546986579895,3.6924993606562637,3.6784403709416367,3.702447700500488,3.7098702665826377,3.6950251344183385
19,3.508898639678955,3.514047941025511,3.503749338332399,3.5092129945755004,3.5142649756087807,3.50416101354222,3.5052186965942385,3.511180789594841,3.499256603593636,3.5241242170333864,3.5311378878300217,3.517110546236751
20,3.338492441177368,3.344135848759437,3.332849033595299,3.3382965564727782,3.3438778776352818,3.3327152353102747,3.3346206188201903,3.3411155252330875,3.328125712407293,3.3564189195632936,3.3635920044465424,3.349245834680045
21,3.17788028717041,3.1836024647907157,3.1721581095501046,3.177837085723877,3.1835079954047227,3.1721661760430315,3.1739991664886475,3.179794809959345,3.16820352301795,3.202760124206543,3.2093724331609517,3.196147815252134
22,3.0234731435775757,3.029060976693272,3.0178853104618795,3.0232502937316896,3.0286384797660655,3.017862107697314,3.0191394805908205,3.024894882046528,3.013384079135113,3.0550896406173704,3.061703488707806,3.048475792526935
23,2.8794815301895142,2.8850600584952315,2.873903001883797,2.8796828031539916,2.8847819130209094,2.874583693287074,2.874837303161621,2.880446306494448,2.869228299828794,2.9178412437438963,2.9250425290484054,2.910639958439387
24,2.7395393371582033,2.744823689909768,2.7342549844066384,2.7394831657409666,2.7443005976694455,2.734665733812488,2.735471558570862,2.7410401044414696,2.7299030127002544,2.786624479293823,2.7937863727087637,2.7794625858788824
25,2.6090373039245605,2.613742399823409,2.604332208025712,2.6086323738098143,2.6132880285649964,2.603976719054632,2.6055269479751586,2.610621702114787,2.6004321938355304,2.6650519371032715,2.671059753927107,2.659044120279436
26,2.484631299972534,2.4894861125323517,2.4797764874127166,2.4843366861343386,2.4893486447406046,2.4793247275280725,2.481264853477478,2.4862593372301434,2.4762703697248125,2.5502222299575807,2.5551034374300015,2.54534102248516
27,2.3658884525299073,2.3708293879920164,2.3609475170677983,2.365033268928528,2.370220077036291,2.3598464608207648,2.361729121208191,2.3665297366783054,2.3569285057380767,2.4413777589797974,2.4452208124291928,2.437534705530402
28,2.254924440383911,2.2596761753786114,2.2501727053892107,2.2541922330856323,2.2589932043826595,2.249391261788605,2.250211215019226,2.2544932139119553,2.245929216126497,2.3410778999328614,2.3449029573527387,2.337252842512984
29,2.148077130317688,2.152327131982449,2.143827128652927,2.1478264331817627,2.152144616414905,2.14350824994862,2.1442485570907595,2.1482928979088523,2.1402042162726667,2.2435068845748902,2.2471483843402806,2.2398653848095
30,2.0467371463775637,2.050762085490812,2.0427122072643153,2.0461371660232546,2.050268624466554,2.042005707579955,2.0426864624023438,2.046893802408992,2.0384791223956955,2.152433681488037,2.1566563502430887,2.148211012732985
31,1.9494556784629822,1.9532453978671103,1.945665959058854,1.9492352485656739,1.9529552020147785,1.9455152951165693,1.9457621693611145,1.9499864224274122,1.9415379162948168,2.065958619117737,2.070684752106113,2.0612324861293607
32,1.8589306831359864,1.862542431549177,1.8553189347227959,1.8586999773979187,1.8621392341192564,1.855260720676581,1.8555352926254272,1.8594991029104655,1.8515714823403888,1.9859948873519897,1.9906475996920971,1.9813421750118823
33,1.7735025882720947,1.7773268350488165,1.769678341495373,1.772695291042328,1.7763627773005035,1.7690278047841523,1.7692993402481079,1.7737513568167853,1.7648473236794304,1.9114508390426637,1.9159489836572987,1.9069526944280286
34,1.6911131620407105,1.6942759253681885,1.6879503987132325,1.6904271721839905,1.6936099090767747,1.6872444352912064,1.687129020690918,1.6913316725581895,1.6829263688236464,1.842284381389618,1.848581370859387,1.8359873919198488
35,1.6119168043136596,1.615120559141146,1.6087130494861732,1.6112063527107239,1.6144601134748986,1.6079525919465492,1.6078832387924193,1.6119235035351795,1.6038429740496591,1.7733190298080443,1.7794031580954515,1.7672349015206372
36,1.5383704066276551,1.5414536383254895,1.5352871749298207,1.5377499222755433,1.541260928599317,1.5342389159517695,1.5356637597084046,1.5395420616559985,1.5317854577608108,1.7100091576576233,1.7165866718754303,1.7034316434398162
37,1.4694433689117432,1.4725319817902245,1.466354756033262,1.4682804107666017,1.4716340270805979,1.4649267944526054,1.466469645500183,1.4703422668396073,1.4625970241607589,1.6517770290374756,1.6567318435078255,1.6468222145671256
38,1.4019655585289001,1.4047079728465928,1.3992231442112075,1.4007666468620301,1.4037837685257575,1.3977495251983028,1.3990392804145813,1.402549249753629,1.3955293110755336,1.5955186843872071,1.6003187952382658,1.5907185735361484
39,1.3372648000717162,1.3396989199343894,1.334830680209043,1.336018168926239,1.3387252477469527,1.3333110901055252,1.3345456719398499,1.3378211297190548,1.331270214160645,1.545804250240326,1.55045678295783,1.541151717522822
40,1.2763059496879579,1.2788519078553093,1.2737599915206064,1.2751605272293092,1.2778213871805204,1.272499667278098,1.2742701649665833,1.2775490425393252,1.2709912873938414,1.5001767039299012,1.5047725750983916,1.4955808327614108
41,1.2186843991279601,1.2212733452148217,1.2160954530410986,1.217617356777191,1.2203032966088159,1.2149314169455663,1.2170191287994385,1.2204421431965342,1.2135961144023428,1.4550112247467042,1.4597628027887235,1.4502596467046849
42,1.1645816564559937,1.1666284640215903,1.162534848890397,1.163211190700531,1.165394683694662,1.1610276977063998,1.1631123304367066,1.1659977665596648,1.1602268943137484,1.411583948135376,1.416001041670232,1.40716685460052
43,1.1118217825889587,1.1135924341265524,1.110051131051365,1.1097846269607543,1.1117782742251594,1.1077909796963492,1.1105307459831237,1.1131186352107798,1.1079428567554677,1.3703450083732605,1.3743467916826189,1.366343225063902
44,1.0613489508628846,1.0634492751320488,1.0592486265937204,1.059610664844513,1.0619256612833543,1.0572956684056716,1.060926353931427,1.0635144503447276,1.0583382575181266,1.3306042194366454,1.3343931628744818,1.326815275998809
45,1.0131291627883912,1.015511498298269,1.0107468272785134,1.0117953062057494,1.0142389969538963,1.0093516154576025,1.013364017009735,1.0160574041119577,1.0106706299075126,1.2921761989593505,1.2968323580209684,1.2875200398977327
46,0.9681749463081359,0.9701887590076663,0.9661611336086056,0.9664742529392243,0.9686216366246928,0.9643268692537558,0.9685804903507232,0.9708546066990885,0.966306374002358,1.262039339542389,1.2667732537140357,1.2573054253707423
47,0.924439400434494,0.9263488073651223,0.9225299935038658,0.9229903876781463,0.9250500793012473,0.9209306960550454,0.9249189555644989,0.9272624105044115,0.9225755006245863,1.2323745489120483,1.2361476781045195,1.2286014197195771
48,0.8841003954410553,0.8859811578970472,0.8822196329850635,0.8826944053173065,0.8843905210435623,0.8809982895910506,0.8856411457061768,0.8879238137472473,0.8833584776651063,1.2017979502677918,1.2052415040566047,1.198354396478979
49,0.8452651083469391,0.8469005756468186,0.8436296410470596,0.8435295164585114,0.8449473205643795,0.8421117123526433,0.8469070434570313,0.8489122970552005,0.844901789858862,1.173624539375305,1.1771866894703138,1.1700623892802964
50,0.8076859295368195,0.8095516676113689,0.8058201914622701,0.8060332536697388,0.8075328818835982,0.8045336254558794,0.810011088848114,0.8119097238120818,0.8081124538841462,1.150644838809967,1.1541201131299663,1.1471695644899678
51,0.7725731134414673,0.7743787281999374,0.7707674986829972,0.7709692597389222,0.7725936442653336,0.7693448752125107,0.7749706745147705,0.7770863196906007,0.7728550293389403,1.127321720123291,1.1313850364618914,1.1232584037846907
52,0.739376711845398,0.7409232704885936,0.7378301532022024,0.7379358530044555,0.7396381568868929,0.7362335491220181,0.7418486058712006,0.7437759943577739,0.7399212173846273,1.1058735370635986,1.109486400510061,1.102260673617136
53,0.707215142250061,0.7089287514980253,0.7055015330020967,0.7059892594814301,0.7078072296669953,0.7041712892958649,0.7104855298995971,0.7126557730974157,0.7083152867017786,1.0870242476463319,1.0909515755871404,1.0830969197055234
54,0.6767132222652436,0.6782074002093751,0.675219044321112,0.6758239924907684,0.6775278032597621,0.6741201817217747,0.6804275393486023,0.6825485492116156,0.6783065294855891,1.0674210071563721,1.0712059022282128,1.0636361120845315
55,0.6468865871429443,0.6483528228026345,0.6454203514832542,0.6463623166084289,0.6480932196807122,0.6446314135361456,0.6512942850589752,0.6532299768319946,0.6493585932859559,1.0494573354721068,1.0524850289325838,1.04642964201163
56,0.6196371912956238,0.6213830793193877,0.6178913032718598,0.6187349438667298,0.6205922062083494,0.6168776815251101,0.6243299305438995,0.6265287045489937,0.6221311565388054,1.032349956035614,1.0345236013788979,1.03017631069233
57,0.5929305136203766,0.5946326626346262,0.591228364606127,0.5921070158481598,0.5938834964131121,0.5903305352832076,0.5981126606464386,0.6003363593889134,0.5958889619039639,1.013476848602295,1.0155959024597925,1.0113577947447974
58,0.5672757983207702,0.56882812632618,0.5657234703153605,0.5665871679782868,0.5681114871781802,0.5650628487783934,0.5730361998081207,0.5750602789501825,0.5710121206660589,0.9972887217998505,0.9996944601828245,0.9948829834168765
59,0.5431872725486755,0.5446996075334998,0.5416749375638512,0.5427919864654541,0.5444361371752591,0.5411478357556492,0.5491015672683716,0.5509530700194463,0.5472500645172969,0.9833888351917267,0.9855424308529681,0.9812352395304853
60,0.5202943921089173,0.5215507246395787,0.5190380595782558,0.5199489891529083,0.5214918243787343,0.5184061539270823,0.5260331809520722,0.5277018073243358,0.5243645545798086,0.9676900565624237,0.9700838389479935,0.9652962741768538
61,0.49863714873790743,0.5000054778687082,0.49726881960710667,0.4984097182750702,0.499901589132028,0.4969178474181124,0.5043379336595535,0.5058880301603035,0.5027878371588035,0.9556674778461456,0.9585102675945274,0.9528246880977638
