iter,algo_R_local_0.0_mean,algo_R_local_0.0_upper,algo_R_local_0.0_lower,algo_R_local_1.0_mean,algo_R_local_1.0_upper,algo_R_local_1.0_lower,algo_R_local_3.0_mean,algo_R_local_3.0_upper,algo_R_local_3.0_lower,algo_R_local_5.0_mean,algo_R_local_5.0_upper,algo_R_local_5.0_lower
0,9.625628471374512,9.63339748988858,9.617859452860444,9.265442276000977,9.273280623582139,9.257603928419815,8.621647834777832,8.629580002185902,8.613715667369762,8.06979923248291,8.077585727285417,8.062012737680405
1,9.09767780303955,9.10658069423415,9.08877491184495,8.450073146820069,8.459344581596872,8.440801712043266,7.410235929489136,7.418830434481418,7.401641424496853,6.628364753723145,6.635952540843616,6.620776966602674
2,8.600115966796874,8.60922717218459,8.591004761409158,7.724102306365967,7.733188664197606,7.715015948534327,6.451474332809449,6.45997735781703,6.4429713078018676,5.595029687881469,5.603003782915621,5.587055592847317
3,8.135950469970703,8.144029804166607,8.1278711357748,7.080000543594361,7.088433650867773,7.071567436320948,5.679145765304566,5.687046655145383,5.671244875463748,4.822711563110351,4.829811498693355,4.815611627527347
4,7.697680997848511,7.7064632396995805,7.688898755997441,6.501832151412964,6.510432657558307,6.493231645267621,5.045129489898682,5.052531895309511,5.037727084487853,4.21967248916626,4.225892633883237,4.213452344449282
5,7.284918594360351,7.291988278586116,7.277848910134587,5.982559585571289,5.989672427737675,5.975446743404904,4.515229034423828,4.521887705239415,4.508570363608241,3.7388800144195558,3.744707429575056,3.7330525992640555
6,6.903133201599121,6.910410519293219,6.895855883905023,5.5185933113098145,5.52581729792005,5.5113693246995785,4.066640615463257,4.0732087789163085,4.060072452010205,3.343557357788086,3.3491896330175095,3.3379250825586624
7,6.535698652267456,6.5430389383532805,6.528358366181632,5.095642042160034,5.1024068927967,5.088877191523369,3.6835023164749146,3.6897954242532602,3.677209208696569,3.012662649154663,3.0176416544481244,3.007683643861202
8,6.190628004074097,6.1981624584905095,6.183093549657684,4.715107488632202,4.721364227171269,4.708850750093135,3.352944540977478,3.3580894701774606,3.347799611777495,2.730457830429077,2.7353526798807763,2.7255629809773776
9,5.8736584186553955,5.880639799495068,5.866677037815723,4.37456521987915,4.380462936776901,4.368667502981399,3.0660144090652466,3.0709131174713513,3.061115700659142,2.4881725788116453,2.4928303857751137,2.483514771848177
10,5.572254085540772,5.58026885708984,5.5642393139917035,4.063581943511963,4.06949847908354,4.0576654079403855,2.8127137184143067,2.8172166610946925,2.808210775733921,2.2757263660430906,2.280062711353781,2.2713900207324005
11,5.284714555740356,5.292783672332736,5.276645439147976,3.776178765296936,3.7822456474677284,3.7701118831261433,2.5874895095825194,2.5916234754375593,2.5833555437274796,2.088425636291504,2.092381451458028,2.08446982112498
12,5.0133116245269775,5.0206179206682515,5.006005328385704,3.5131083726882935,3.519287179901781,3.506929565474806,2.386199879646301,2.3903202834393236,2.3820794758532786,1.9215902447700501,1.9254946877203418,1.9176858018197585
13,4.7631299018859865,4.769514603374209,4.756745200397764,3.2762927293777464,3.28268963889271,3.269895819862783,2.206982445716858,2.2110839444508468,2.2028809469828694,1.7744241595268249,1.7782145530364195,1.7706337660172302
14,4.520236349105835,4.526516662187191,4.513956036024478,3.055328392982483,3.061731364853833,3.0489254211111327,2.0430328607559205,2.0472718586067744,2.0387938629050666,1.6415048956871032,1.6448910418013503,1.6381187495728562
15,4.2942766666412355,4.300779811999649,4.287773521282822,2.854440951347351,2.860253530445857,2.848628372248845,1.896594262123108,1.9008065195575425,1.8923820046886735,1.5232178092002868,1.526411804533551,1.5200238138670226
16,4.078494596481323,4.084835846908338,4.072153346054308,2.6698421955108644,2.6760112895979993,2.6636731014237296,1.7636248469352722,1.7678570534350782,1.7593926404354663,1.4158997654914856,1.4192105833512363,1.4125889476317348
17,3.877058506011963,3.882813207716857,3.8713038043070687,2.498715543746948,2.5044048545053803,2.493026232988516,1.6423900246620178,1.6463378547384009,1.6384421945856347,1.3192984938621521,1.3221478774246591,1.3164491102996452
18,3.685055637359619,3.6912666806205303,3.678844594098708,2.3404802799224855,2.3463582923770074,2.3346022674679636,1.5306114315986634,1.5343463770215344,1.5268764861757924,1.231297779083252,1.233866267736267,1.228729290430237
19,3.5041765451431273,3.5096940139837636,3.498659076302491,2.1952853202819824,2.2005895720248847,2.18998106853908,1.4295595288276672,1.4327179019140404,1.4264011557412941,1.1505990028381348,1.1529302483259756,1.148267757350294
20,3.333558440208435,3.3395277250547037,3.3275891553621664,2.0602186918258667,2.065461843253295,2.054975540398438,1.3359596133232117,1.3393043903761532,1.33261483627027,1.0761922359466554,1.07912457943374,1.0732598924595707
21,3.1719806671142576,3.1774507153650644,3.166510618863451,1.9344079852104188,1.939465485933503,1.9293504844873346,1.2496917724609375,1.252978351608612,1.2464051933132632,1.0084209382534026,1.011376110583952,1.0054657659228532
22,3.020353007316589,3.025216960197315,3.0154890544358635,1.8180442452430725,1.8225818713730777,1.8135066191130673,1.170004093647003,1.173242688233407,1.1667654990605991,0.9467355966567993,0.9492074965669961,0.9442636967466025
23,2.8751848220825194,2.880278912590565,2.8700907315744737,1.7098663568496704,1.7142754320775309,1.7054572816218099,1.097459077835083,1.10054171445424,1.094376441215926,0.8899167120456696,0.892273625155014,0.8875597989363252
24,2.7377939462661742,2.7429696752511914,2.732618217281157,1.6106529355049133,1.614797924455083,1.6065079465547436,1.030860459804535,1.0338332289143133,1.0278876906947567,0.8380120813846588,0.840250784545638,0.8357733782236796
25,2.6072940826416016,2.6126074520375666,2.6019807132456365,1.5152613401412964,1.5194178459624201,1.5111048343201727,0.9684393107891083,0.9712499551445564,0.9656286664336602,0.7898388981819153,0.7920118927762836,0.7876659035875471
26,2.484891724586487,2.4898930110838764,2.4798904380890976,1.4285522818565368,1.4328862487967593,1.4242183149163143,0.9109330713748932,0.9135783157262423,0.9082878270235442,0.7455205082893371,0.7475943523996031,0.7434466641790711
27,2.3663338899612425,2.3708123067009677,2.3618554732215173,1.3463384985923768,1.3501388584379785,1.342538138746775,0.8581328332424164,0.8608857211641,0.8553799453207328,0.7054238021373749,0.7075105054500275,0.7033370988247223
28,2.255798864364624,2.2603956662316795,2.251202062497568,1.2701356053352355,1.2734993783688855,1.2667718323015855,0.809012633562088,0.8114476879141297,0.8065775792100462,0.668797242641449,0.6706095573389123,0.6669849279439858
29,2.1480238914489744,2.1524648974008675,2.1435828854970813,1.198752224445343,1.2022503461272496,1.1952541027634365,0.7641373932361603,0.7667569743977805,0.7615178120745401,0.634289276599884,0.6362222235128286,0.6323563296869393
30,2.0477381706237794,2.051937811788568,2.0435385294589907,1.1311163663864137,1.1343528463512143,1.127879886421613,0.72130007147789,0.7237448745972707,0.7188552683585093,0.6022076070308685,0.604143568222294,0.600271645839443
31,1.9516802072525024,1.9560849986682423,1.9472754158367624,1.0684981942176819,1.0718658850040446,1.0651305034313192,0.6826219618320465,0.6851703878922628,0.6800735357718302,0.5724306583404541,0.5740955879011603,0.570765728779748
32,1.8602237224578857,1.8640481485944556,1.8563992963213158,1.009459626674652,1.0130064654277409,1.0059127879215632,0.6462665140628815,0.6487342089669612,0.6437988191588018,0.5452981054782867,0.5469709447399363,0.5436252662166371
33,1.7743213534355164,1.7781931769350852,1.7704495299359477,0.9550047755241394,0.9585891205627437,0.9514204304855352,0.6126507222652435,0.6149943885851022,0.6103070559453848,0.5201692759990693,0.5217992696282331,0.5185392823699054
34,1.6927353501319886,1.6962723360592205,1.6891983642047568,0.9033639192581177,0.9065836325364139,0.9001442059798214,0.5818373143672944,0.5839557618829809,0.5797188668516078,0.49673342406749726,0.4983096396743957,0.49515720846059885
35,1.6145859241485596,1.6177697216960232,1.611402126601096,0.8549774646759033,0.8581235837291661,0.8518313456226405,0.5531716585159302,0.5553857892062546,0.5509575278256058,0.4750076562166214,0.47652612834588837,0.4734891840873544
36,1.5389306664466857,1.5419339604002638,1.5359273724931077,0.8094750225543976,0.8122457454523456,0.8067042996564496,0.5268207430839539,0.5289481076668383,0.5246933785010695,0.4548369348049164,0.45630435078197173,0.45336951882786103
37,1.469722282886505,1.47276442436543,1.46668014140758,0.7664631485939026,0.768986952998163,0.7639393441896423,0.5011414766311646,0.5029754736018209,0.4993074796605083,0.43571841418743135,0.4370545809420711,0.4343822474327916
38,1.4035985827445985,1.4069152831348086,1.4002818823543883,0.7262994647026062,0.7286916236745576,0.7239073057306548,0.47779569029808044,0.4797068948734157,0.47588448572274517,0.4184002071619034,0.41974273380542504,0.41705768051838177
39,1.3401825189590455,1.3437563505790602,1.3366086873390308,0.6895948052406311,0.6917617006204665,0.6874279098607957,0.4554421782493591,0.4574664010401185,0.45341795545859975,0.4021759063005447,0.4036144388583777,0.40073737374271173
40,1.2790274381637574,1.2824852662199413,1.2755696101075735,0.6551128566265106,0.657222428801048,0.6530032844519733,0.4355385273694992,0.43742440958477524,0.4336526451542232,0.38715122938156127,0.38862997812054034,0.3856724806425822
41,1.2219158172607423,1.2252214370940004,1.218610197427484,0.6221953809261322,0.6243871574709189,0.6200036043813456,0.4168997049331665,0.41869053520013777,0.4151088746661953,0.3732437968254089,0.3746440715652992,0.37184352208551863
42,1.1671229362487794,1.1699215547276909,1.164324317769868,0.5911117792129517,0.5932571500366045,0.5889664083892988,0.39892107248306274,0.40065831558392184,0.39718382938220365,0.3600905776023865,0.36141952471299393,0.35876163049177906
43,1.1148100733757018,1.117410962368368,1.1122091843830357,0.5620197296142578,0.5639140657351748,0.5601253934933409,0.382595431804657,0.38427044172874847,0.3809204218805655,0.3478430986404419,0.3491445576602846,0.34654163962059914
44,1.065897274017334,1.0684500301691418,1.0633445178655263,0.5341334462165832,0.5359891262811164,0.53227776615205,0.36736308634281156,0.36894269007320074,0.3657834826124224,0.33669396340847013,0.3378794315059271,0.3355084953110132
45,1.0179972410202027,1.020536070173538,1.0154584118668675,0.5085437297821045,0.5102267848115067,0.5068606747527022,0.35347920656204224,0.35496407568043703,0.35199433744364744,0.3263335019350052,0.32739244377047594,0.3252745600995345
46,0.9724664628505707,0.9748786580083357,0.9700542676928057,0.48383464217185973,0.4855198286535754,0.48214945569014406,0.3398488759994507,0.3412933212492585,0.3384044307496429,0.3161518722772598,0.317212627174612,0.31509111737990764
47,0.92970010638237,0.9321407204393034,0.9272594923254366,0.4608063608407974,0.4623897423873043,0.4592229792942905,0.3273527383804321,0.32880074896587297,0.32590472779499124,0.3067814111709595,0.3077194975516905,0.30584332479022847
48,0.8870321810245514,0.8892582042819568,0.884806157767146,0.4393282413482666,0.44086764207934326,0.4377888406171899,0.3157083660364151,0.317109963594173,0.31430676847865724,0.2983188569545746,0.29936755326868986,0.29727016064045936
49,0.8473144710063935,0.8494703913305595,0.8451585506822274,0.41966780126094816,0.42093288152480357,0.41840272099709275,0.3049011379480362,0.30626332272169327,0.3035389531743791,0.2901133209466934,0.2912339957554737,0.2889926461379131
50,0.8102744281291961,0.8122815680672889,0.8082672881911034,0.4008587658405304,0.402125889170124,0.39959164251093676,0.2951218664646148,0.29646580520772,0.2937779277215096,0.2826669722795486,0.28372980969259975,0.2816041348664975
51,0.7743804216384887,0.7763892705729325,0.772371572704045,0.38367878198623656,0.3848285093251161,0.38252905464735704,0.28588804304599763,0.28728562756051473,0.28449045853148053,0.27568594813346864,0.27677790416316056,0.2745939921037767
52,0.7405279040336609,0.7425083788545686,0.7385474292127532,0.3671628385782242,0.3683667463208834,0.36595893083556497,0.27689293026924133,0.27816878673003054,0.27561707380845213,0.26882407963275906,0.26980538362838435,0.26784277563713377
53,0.7087399125099182,0.7107826783089428,0.7066971467108936,0.3516155868768692,0.35282955415967976,0.3504016195940587,0.2687965929508209,0.2700155414462074,0.26757764445543447,0.2622834414243698,0.2632374173742028,0.26132946547453684
54,0.6776784420013428,0.6798200180390404,0.6755368659636452,0.3367095082998276,0.337942022999081,0.3354769936005742,0.2609188467264175,0.2621074127337707,0.25973028071906434,0.256602531671524,0.2575048670143425,0.25570019632870555
55,0.6483551263809204,0.6503154919820436,0.6463947607797972,0.32317273020744325,0.32437116049993625,0.32197429991495025,0.25363935381174085,0.25477140519913666,0.25250730242434505,0.2507897913455963,0.2516301750292814,0.2499494076619112
56,0.6214175462722779,0.6232287341042705,0.6196063584402852,0.3104478269815445,0.31171594661944746,0.30917970734364153,0.2465627521276474,0.24760344092400308,0.2455220633312917,0.24539305716753007,0.24617069470572017,0.24461541962933997
57,0.5947907626628876,0.5966958025721365,0.5928857227536386,0.2980472445487976,0.29926684869957565,0.29682764039801957,0.23993313163518906,0.24087839667229158,0.23898786659808655,0.24040697067975997,0.24114773140846568,0.23966620995105425
