iter,algo_S_3.0_mean,algo_S_3.0_upper,algo_S_3.0_lower,algo_S_5.0_mean,algo_S_5.0_upper,algo_S_5.0_lower,algo_S_8.0_mean,algo_S_8.0_upper,algo_S_8.0_lower,algo_S_10.0_mean,algo_S_10.0_upper,algo_S_10.0_lower
0,8.801770496368409,8.813277253938509,8.79026373879831,8.622665882110596,8.635723243449688,8.609608520771504,8.499744129180907,8.516525866773978,8.482962391587836,8.449149703979492,8.461811349924831,8.436488058034152
1,7.834872531890869,7.8494850085645735,7.820260055217164,7.503505229949951,7.522739362986261,7.484271096913641,7.29309196472168,7.306708818981404,7.279475110461956,7.216124391555786,7.230864465402414,7.201384317709158
2,7.025755786895752,7.044842214661286,7.0066693591302185,6.590349721908569,6.614971112512018,6.56572833130512,6.311433172225952,6.32137431193517,6.301492032516734,6.214336824417114,6.231086646851432,6.1975870019827966
3,6.34457483291626,6.363100786797415,6.326048879035105,5.82471022605896,5.850978228667262,5.798442223450658,5.492268466949463,5.500970911477157,5.483566022421769,5.382385110855102,5.397504113941703,5.3672661077685015
4,5.750370788574219,5.7735807077838395,5.727160869364598,5.173112487792968,5.198977434919502,5.147247540666434,4.803559160232544,4.8122597588146485,4.794858561650439,4.676450586318969,4.6904536639656165,4.662447508672322
5,5.244883060455322,5.268125289340052,5.221640831570593,4.6271943092346195,4.653816625745436,4.600571992723803,4.226604557037353,4.234940842667676,4.21826827140703,4.084535121917725,4.096763023966122,4.0723072198693275
6,4.801860094070435,4.821699400192598,4.782020787948271,4.148470115661621,4.172249685392892,4.124690545930351,3.7296946048736572,3.7373906759618443,3.72199853378547,3.5896890640258787,3.603640356582627,3.5757377714691305
7,4.414130830764771,4.428572841974473,4.3996888195550685,3.734566354751587,3.7556936244383863,3.7134390850647874,3.301171898841858,3.3095922309438124,3.2927515667399034,3.168414092063904,3.181748355406211,3.155079828721597
8,4.081093978881836,4.0960911588980995,4.066096798865573,3.3818402767181395,3.399162683103893,3.364517870332386,2.939538264274597,2.9482161819018398,2.9308603466473544,2.8057666301727293,2.817538891516949,2.7939943688285096
9,3.793395233154297,3.812134285787099,3.7746561805214953,3.0710827350616454,3.087501785898181,3.05466368422511,2.6196197509765624,2.6266320331254907,2.612607468827634,2.488062286376953,2.4979915110402113,2.4781330617136947
10,3.531728982925415,3.549683287213429,3.513774678637401,2.803828716278076,2.8176552211359764,2.790002211420176,2.3453171014785767,2.3517936504669663,2.338840552490187,2.213309574127197,2.22269545237366,2.203923695880734
11,3.2934449911117554,3.3118307271192178,3.275059255104293,2.5595630645751952,2.5703872207813974,2.548738908368993,2.0992459774017336,2.106780922992225,2.091711031811242,1.9815824985504151,1.9909756687005247,1.9721893284003056
12,3.0934552192687987,3.114791948745941,3.0721184897916567,2.341955041885376,2.3523870965830476,2.3315229871877046,1.888119351863861,1.8947492310977236,1.8814894726299984,1.7705601334571839,1.7785051412447497,1.762615125669618
13,2.9131176471710205,2.933168588150261,2.89306670619178,2.1467380285263062,2.1579860301662293,2.1354900268863832,1.7066570162773131,1.7132964886389515,1.7000175439156748,1.5893094778060912,1.596100644892842,1.5825183107193403
14,2.7458158493041993,2.7650606661921255,2.726571032416273,1.9694086909294128,1.9820402289422554,1.9567771529165703,1.5422932863235475,1.5497125094370359,1.534874063210059,1.4275367736816407,1.4330566523516506,1.4220168950116308
15,2.608323359489441,2.6257484850858135,2.590898233893068,1.8189868092536927,1.8329406962766435,1.805032922230742,1.39630845785141,1.4031616330537056,1.3894552826491144,1.2843276262283325,1.2888705688793634,1.2797846835773017
16,2.465989089012146,2.4820455791965403,2.449932598827752,1.677948033809662,1.6909688626133998,1.664927205005924,1.2665044665336609,1.272117293878518,1.2608916391888039,1.1578091025352477,1.1615277291233337,1.1540904759471617
17,2.3395559310913088,2.353918118626537,2.3251937435560803,1.5549976587295533,1.5670037504752052,1.5429915669839014,1.1479368686676026,1.1530267496501,1.142846987685105,1.0473618268966676,1.0512793665562064,1.0434442872371288
18,2.2187005043029786,2.2322925052370812,2.205108503368876,1.4381489396095275,1.4476138461371753,1.4286840330818797,1.045392382144928,1.0510477805334169,1.0397369837564392,0.9464525580406189,0.9495355650077716,0.9433695510734662
19,2.1104591608047487,2.122734823248835,2.0981834983606626,1.3354887247085572,1.3460130301504145,1.3249644192666998,0.9546655595302582,0.9593170588866649,0.9500140601738516,0.8586045324802398,0.8616035835718968,0.8556054813885828
20,2.0094329476356507,2.0199091819559998,1.9989567133153017,1.2397412419319154,1.2506913539159659,1.2287911299478649,0.873661345243454,0.8787216534346832,0.8686010370522247,0.7816874861717225,0.7845937129821172,0.7787812593613277
21,1.9183942437171937,1.9302071176078655,1.906581369826522,1.1552095532417297,1.1646042561853098,1.1458148502981496,0.7997706174850464,0.8040753427738788,0.795465892196214,0.7119549334049224,0.7141347412934238,0.7097751255164211
22,1.8502634525299073,1.8641324631110516,1.836394441948763,1.0821285009384156,1.0895110154566314,1.0747459864201998,0.7353597819805145,0.7397598556112502,0.7309597083497789,0.6497101545333862,0.6522369076161776,0.6471834014505948
23,1.779548132419586,1.7909373853176815,1.7681588795214906,1.0127872824668884,1.0193254216001342,1.0062491433336427,0.6742847323417663,0.6784458627919862,0.6701236018915465,0.5926631629467011,0.5951646034231642,0.5901617224702379
24,1.707737636566162,1.7201156102966824,1.6953596628356418,0.9473760962486267,0.9535953780828519,0.9411568144144016,0.6201691806316376,0.624680233767747,0.6156581274955283,0.5421933650970459,0.5447279022881139,0.5396588279059779
25,1.6490647435188293,1.6612390156498693,1.6368904713877892,0.8942752599716186,0.9013387801524428,0.8872117397907944,0.5713727951049805,0.575477240050438,0.567268350159523,0.49633215069770814,0.49883330232948053,0.49383099906593575
26,1.5891273140907287,1.6006992391002555,1.577555389081202,0.8434093236923218,0.8501162664476669,0.8367023809369767,0.5283008754253388,0.5324906848265715,0.5241110660241061,0.4547061026096344,0.45672688624937363,0.45268531896989517
27,1.5320868611335754,1.5474376277125514,1.5167360945545993,0.7912430346012116,0.797241059464789,0.7852450097376342,0.48807298839092256,0.49153387589173503,0.4846121008901101,0.4182876467704773,0.42019811222065534,0.41637718132029927
28,1.4815480828285217,1.4953676071335624,1.467728558523481,0.7458312690258027,0.7513991138343276,0.7402634242172778,0.4504719465970993,0.4535925282267253,0.44735136496747335,0.3851886630058289,0.38735563128596906,0.3830216947256887
29,1.4403913140296936,1.4559271810522911,1.424855447007096,0.7057635366916657,0.7122608497110515,0.6992662236722799,0.41692088842391967,0.4200905843725582,0.41375119247528114,0.35563506484031676,0.3580833783292684,0.3531867513513651
30,1.3932383060455322,1.40559387000579,1.3808827420852745,0.6680221676826477,0.6751681968045179,0.6608761385607774,0.38801350593566897,0.39126367496293685,0.3847633369084011,0.32906172871589656,0.3312625473053055,0.3268609101264876
31,1.3483107328414916,1.3610208971490627,1.3356005685339205,0.6322922468185425,0.6392254830149497,0.6253590106221352,0.36014812290668485,0.3631901197726627,0.357106126040707,0.30332356691360474,0.30512482152494486,0.3015223123022646
32,1.3084612727165221,1.3197923317460347,1.2971302136870095,0.601874828338623,0.6095818198918035,0.5941678367854426,0.33685146272182465,0.34007280711760035,0.33363011832604894,0.28114769160747527,0.2828195096910524,0.27947587352389813
33,1.2677201509475708,1.280238058876373,1.2552022430187686,0.5718154788017273,0.5789902887791908,0.5646406688242639,0.31533360183238984,0.31854968269527417,0.3121175209695055,0.26116043478250506,0.26282491673550895,0.25949595282950116
34,1.2292251348495484,1.2406990408681065,1.2177512288309904,0.5473772466182709,0.5552992542125035,0.5394552390240384,0.2948214054107666,0.29807695188357874,0.2915658589379545,0.24333857893943786,0.24471252706562965,0.24196463081324607
35,1.2009435176849366,1.2124442645392464,1.1894427708306268,0.5217106133699417,0.529235805243355,0.5141854214965285,0.2766629725694656,0.2795444874236178,0.27378145771531337,0.22808347493410105,0.2294016039241586,0.22676534594404352
36,1.176420521736145,1.1879228348338686,1.1649182086384213,0.5001125067472458,0.5075146313844184,0.49271038211007323,0.25994307547807693,0.2624262263491553,0.25745992460699857,0.21381147205829615,0.21501813812932544,0.21260480598726686
37,1.143289864063263,1.1539280871198372,1.1326516410066887,0.47754808962345124,0.48463384224305106,0.4704623370038514,0.24448467642068863,0.24662379672456602,0.24234555611681124,0.20117470622062683,0.2026211591557653,0.19972825328548835
38,1.1164878964424134,1.1285330213980753,1.1044427714867515,0.45782412588596344,0.46459669393202646,0.4510515578399004,0.2302609786391258,0.23238163922766036,0.22814031805059126,0.18945383280515668,0.19090533926525283,0.18800232634506053
