iter,algo_S_3.0_mean,algo_S_3.0_upper,algo_S_3.0_lower,algo_S_5.0_mean,algo_S_5.0_upper,algo_S_5.0_lower,algo_S_8.0_mean,algo_S_8.0_upper,algo_S_8.0_lower,algo_S_10.0_mean,algo_S_10.0_upper,algo_S_10.0_lower
0,143.08564694944843,143.58906773033493,142.58222616856193,142.31667815413232,142.82953039915964,141.803825909105,142.1560969146062,142.60910510731233,141.70308872190006,141.91046766315617,142.36750593661094,141.4534293897014
1,139.9858212630299,140.52409738080462,139.44754514525516,139.27427173182645,139.87767696250896,138.67086650114393,139.65528016489904,140.09977071699797,139.2107896128001,139.3344100344181,139.73553045886732,138.9332896099689
2,137.08192055576893,137.8510908983109,136.31275021322696,136.34109683864745,136.90318012540118,135.7790135518937,136.8124490504644,137.1943574970149,136.43054060391393,137.0889299315178,137.56745481279944,136.61040505023618
3,134.7483766924021,135.1055841782982,134.39116920650602,134.36000553102295,134.73552500984812,133.98448605219778,134.03565561204525,134.48031100332867,133.59100022076183,134.55049180806768,134.87302079885077,134.22796281728458
4,131.89439733921668,132.50018752677823,131.28860715165513,131.46550637927453,131.8322705936965,131.09874216485255,131.9289650696659,132.2189412995451,131.63898883978672,132.4313729228194,132.8517863218981,132.01095952374072
5,130.05512797835075,130.52704316062722,129.5832127960743,130.52048884220406,130.97022903570627,130.07074864870185,130.48296407693374,130.8486352828054,130.1172928710621,130.94390808787006,131.29622568091438,130.59159049482574
6,128.00254828293072,128.44338366920738,127.56171289665406,128.441705456006,128.82772238438034,128.05568852763165,129.0979457557548,129.4995681008696,128.69632341064002,129.41077047658038,129.88421063803384,128.93733031512693
7,126.64950658704461,127.07972118652583,126.2192919875634,127.27353206807848,127.61548001932204,126.93158411683493,127.6740355843137,128.1162175043727,127.23185366425467,128.0386878706871,128.50064356087557,127.57673218049865
8,124.85590760402673,125.34800509939357,124.36381010865988,124.74583701180947,125.03973794531385,124.4519360783051,126.24055597929893,126.80144748684528,125.67966447175259,126.5311237813371,126.86750437559417,126.19474318708004
9,123.63747155116035,124.21621371389155,123.05872938842914,123.31850731997235,123.7460130716435,122.8910015683012,125.04303174263953,125.55272861884231,124.53333486643675,124.63725008205847,124.96003745742622,124.31446270669072
10,122.10713713461871,122.71776157287536,121.49651269636206,122.66682663443399,123.08349412858995,122.25015914027803,123.70964177286817,124.26448550734489,123.15479803839145,124.07378319758905,124.51130511644226,123.63626127873584
11,121.60146577637491,121.96976635707446,121.23316519567535,121.74667588828602,122.06061803873575,121.43273373783629,122.36133085642071,122.94910587543544,121.77355583740598,123.51967873680121,123.99159014934646,123.04776732425596
