iter,data_n_features_2.0_mean,data_n_features_2.0_upper,data_n_features_2.0_lower,data_n_features_10.0_mean,data_n_features_10.0_upper,data_n_features_10.0_lower,data_n_features_50.0_mean,data_n_features_50.0_upper,data_n_features_50.0_lower,data_n_features_100.0_mean,data_n_features_100.0_upper,data_n_features_100.0_lower
0,5.286434078216553,5.301845981197776,5.271022175235331,8.647605514526367,8.665341561900243,8.62986946715249,7.232633352279663,7.244278276681908,7.220988427877418,8.24048728942871,8.248632349326165,8.232342229531255
1,4.349252223968506,4.367439787332421,4.331064660604591,7.529592895507813,7.5467953403094405,7.512390450706185,6.586165809631348,6.6035814853875205,6.5687501338751755,7.800294494628906,7.809665846027539,7.790923143230272
2,3.602327036857605,3.618253948006976,3.5864001257082334,6.606155204772949,6.623622376180163,6.588688033365735,6.1035277366638185,6.118780695395189,6.088274777932448,7.518834924697876,7.530403849262742,7.50726600013301
3,2.991070771217346,3.0040950945402005,2.9780464478944917,5.813579177856445,5.830506200681765,5.796652155031125,5.718796014785767,5.735364661834853,5.70222736773668,7.305090713500976,7.314959340033357,7.295222086968596
4,2.4991169452667235,2.5115541918451285,2.4866796986883184,5.157460260391235,5.1727272240879465,5.142193296694524,5.4195582389831545,5.4373505142528025,5.4017659637135065,7.137531995773315,7.149521678337106,7.125542313209525
5,2.092053437232971,2.105600249213813,2.078506625252129,4.609740114212036,4.626031903358299,4.593448325065773,5.1556497573852536,5.172708819624307,5.1385906951462,6.9975203514099125,7.008087589770608,6.986953113049217
6,1.7686248660087585,1.7806722827878632,1.7565774492296538,4.132647323608398,4.1484428501332085,4.116851797083588,4.927497625350952,4.942795945429001,4.912199305272903,6.86186728477478,6.871502789120701,6.852231780428859
7,1.5000816106796264,1.511822623300701,1.4883405980585518,3.7137187719345093,3.7279501720760453,3.6994873717929733,4.7260096073150635,4.741404542662993,4.710614671967134,6.745372533798218,6.7529621328404925,6.737782934755943
8,1.2826551914215087,1.2936537325133002,1.2716566503297173,3.3601807355880737,3.3747653027852205,3.345596168390927,4.539592742919922,4.5536107923955464,4.525574693444297,6.641477060317993,6.650012494456148,6.632941626179838
9,1.0955820679664612,1.1060148614634835,1.0851492744694389,3.049012541770935,3.06243718347445,3.03558790006742,4.367235422134399,4.380287595297743,4.354183248971056,6.5368743419647215,6.546921206972077,6.526827476957366
10,0.9407042264938354,0.9505385241698934,0.9308699288177775,2.774854302406311,2.7886585253706633,2.761050079441959,4.210000085830688,4.222216486332899,4.197783685328478,6.45449595451355,6.467219038323381,6.441772870703718
11,0.8118717670440674,0.8201364512269435,0.8036070828611913,2.5347254514694213,2.547969497878121,2.5214814050607215,4.071651887893677,4.084805099694712,4.058498676092642,6.36156702041626,6.376313912981781,6.346820127850738
12,0.7043440222740174,0.7122383270885216,0.6964497174595131,2.315111994743347,2.328969399455993,2.3012545900307013,3.9243173837661742,3.9368968193263534,3.911737948205995,6.26342134475708,6.280510786683524,6.246331902830636
13,0.6141319394111633,0.6207437628369671,0.6075201159853595,2.118866229057312,2.131769994831586,2.105962463283038,3.7979316473007203,3.8119280934304287,3.783935201171012,6.168648624420166,6.185157441925184,6.152139806915149
14,0.5379744648933411,0.54365615241607,0.5322927773706122,1.9504711747169494,1.9628487495525972,1.9380935998813016,3.6842270374298094,3.6957774726497323,3.6726766022098865,6.0859698295593265,6.101667175052503,6.07027248406615
15,0.471628001332283,0.4760853277103763,0.4671706749541897,1.7928687453269958,1.8052633300789633,1.7804741605750283,3.567081570625305,3.5822764091195136,3.5518867321310967,5.994434642791748,6.014977886142926,5.97389139944057
16,0.4128667265176773,0.4173025934404196,0.408430859594935,1.653357207775116,1.6646044319380484,1.6421099836121835,3.466030406951904,3.4812119972223843,3.450848816681424,5.918867874145508,5.9373768940682945,5.900358854222721
17,0.3634598284959793,0.36727022160754275,0.35964943538441585,1.5296678066253662,1.5400555362641506,1.5192800769865817,3.3583001136779784,3.374468533058136,3.3421316942978208,5.845582151412964,5.8657681501955565,5.825396152630372
18,0.31958621740341187,0.32262993952446734,0.3165424952823564,1.4186262488365173,1.428937605213558,1.4083148924594766,3.2621617794036863,3.2772726377937134,3.2470509210136593,5.779792976379395,5.79769147207877,5.761894480680019
19,0.28326793313026427,0.28626124155771177,0.2802746247028168,1.3157512426376343,1.3259053951194597,1.305597090155809,3.17060272693634,3.186732330268926,3.154473123603754,5.69658579826355,5.715174893802497,5.677996702724603
20,0.25050639659166335,0.25317798096228505,0.24783481222104167,1.2283753037452698,1.2379005622132235,1.218850045277316,3.0853866815567015,3.102314083291055,3.068459279822348,5.641232919692993,5.6613660299464135,5.621099809439573
21,0.22263461202383042,0.2254092557683593,0.21985996827930154,1.1445611357688903,1.1530796402987613,1.1360426312390193,2.9964491367340087,3.012560395660492,2.9803378778075253,5.587696838378906,5.608041564292725,5.5673521124650875
22,0.19822884947061536,0.2004708305936661,0.19598686834756462,1.0698350667953491,1.0789708814802765,1.0606992521104217,2.917165160179138,2.9348562586925424,2.899474061665734,5.5209856033325195,5.541315891590901,5.500655315074138
23,0.17514316737651822,0.17724621657731765,0.1730401181757188,0.9993874371051789,1.0091648808077585,0.9896099934025994,2.8356464385986326,2.854138538376798,2.817154338820467,5.45461597442627,5.473623568762406,5.435608380090134
24,0.15614168792963024,0.15804019197775523,0.15424318388150524,0.9351152122020722,0.9434318242520716,0.9267986001520727,2.752839779853821,2.772413403025001,2.7332661566826406,5.386779356002807,5.409638861961592,5.363919850044023
25,0.13910838365554806,0.14076895095735883,0.1374478163537373,0.881604140996933,0.8886329625699592,0.8745753194239068,2.679006266593933,2.69800792191926,2.6600046112686058,5.3254560947418215,5.348025603684215,5.302886585799428
