iter,data_n_features_2.0_mean,data_n_features_2.0_upper,data_n_features_2.0_lower,data_n_features_10.0_mean,data_n_features_10.0_upper,data_n_features_10.0_lower,data_n_features_50.0_mean,data_n_features_50.0_upper,data_n_features_50.0_lower,data_n_features_100.0_mean,data_n_features_100.0_upper,data_n_features_100.0_lower
0,5.74135904343703,5.792583666956273,5.690134419917787,141.0910329633671,141.55819242645066,140.62387350028354,770.5068799037457,773.3828585146819,767.6309012928095,1783.3491674762288,1791.0230551468626,1775.675279805595
1,5.527853600678564,5.606891497263543,5.448815704093585,138.27994926361583,138.71231305126142,137.84758547597025,758.3365461092444,761.8077360348453,754.8653561836435,1758.157414811377,1766.3302766222598,1749.9845530004943
2,5.344991115018541,5.429174358378946,5.260807871658136,135.17555099928762,135.6012028784707,134.74989912010454,743.9919784403394,746.9753836863681,741.0085731943107,1739.166978136865,1749.754496980818,1728.5794592929121
3,5.183299626647202,5.275554270349803,5.0910449829446005,132.1128438271553,132.6216292951389,131.60405835917172,733.4330036763715,736.3354505964628,730.5305567562802,1714.081162575517,1723.4584944125647,1704.7038307384694
4,5.021631515868761,5.138167669258607,4.9050953624789155,130.0413339449786,130.4362649951406,129.6464028948166,723.5182505367509,726.7602164238046,720.2762846496971,1698.6386128812155,1706.7164159842828,1690.5608097781483
5,4.89530698988248,5.015238323668455,4.775375656096505,127.9588361096113,128.39233018964507,127.52534202957753,715.734780114034,718.6420666738634,712.8274935542047,1678.6671844419047,1686.489022844734,1670.8453460390754
6,4.79744309729868,4.939051219768294,4.655834974829065,126.06457764265465,126.5423298386895,125.58682544661981,707.6615586764691,710.134175658794,705.1889416941442,1658.0397222313775,1667.7181981007936,1648.3612463619613
7,4.682706627653301,4.832872826150135,4.532540429156468,124.43646033086657,124.93947127791728,123.93344938381586,697.4224860503889,700.1842858790131,694.6606862217646,1643.4413116208168,1651.9991210376315,1634.883502204002
8,4.625618619349612,4.776924279491209,4.474312959208015,123.55841187951435,124.03850924451531,123.0783145145134,691.1656689538319,693.4626555170158,688.8686823906479,1629.2452058851507,1637.038394347586,1621.4520174227152
9,4.543935158532736,4.709835991876816,4.378034325188655,122.02010218241841,122.36238566587424,121.67781869896258,683.3257566263504,685.8865849042988,680.764928348402,1611.0200996118424,1617.91752240069,1604.122676822995
10,4.463935392523336,4.626599819567477,4.301270965479195,120.55156247940172,120.94365214638283,120.15947281242062,676.1419741698778,679.5261731304394,672.7577752093163,1601.9814053184975,1610.894543826465,1593.06826681053
11,4.4556651001383045,4.628012067689964,4.283318132586645,119.28318041434889,119.60909775831692,118.95726307038086,671.2468994176236,674.6004184745094,667.8933803607378,1588.311841228497,1595.0434563261535,1581.5802261308406
12,4.434545318109345,4.610396707223393,4.258693928995297,118.25270400582153,118.74011988538196,117.7652881262611,663.6321198312952,666.6831529730275,660.5810866895629,1577.1354286854862,1584.812585599956,1569.4582717710164
13,4.402067133262271,4.583313790978558,4.220820475545985,117.28871218988624,117.66681428048493,116.91061009928755,657.1769175478601,660.4239798140343,653.9298552816858,1563.6943903361537,1571.9782113741487,1555.4105692981586
14,4.381183457978697,4.5699513681721,4.192415547785294,115.90848038191896,116.33717930070023,115.4797814631377,653.9381509847786,656.6976913186234,651.1786106509339,1549.5504232775036,1554.5806286615762,1544.520217893431
15,4.3304187796767195,4.519866962013813,4.140970597339626,115.78934989194879,116.21623343860803,115.36246634528955,646.5609639491531,648.5674698667548,644.5544580315515,1542.7172756595414,1550.6790616623564,1534.7554896567265
