iter,algo_lmbd_0.05_mean,algo_lmbd_0.05_upper,algo_lmbd_0.05_lower,algo_lmbd_0.1_mean,algo_lmbd_0.1_upper,algo_lmbd_0.1_lower,algo_lmbd_0.2_mean,algo_lmbd_0.2_upper,algo_lmbd_0.2_lower,algo_lmbd_0.5_mean,algo_lmbd_0.5_upper,algo_lmbd_0.5_lower
0,141.0910329633671,141.55819242645066,140.62387350028354,141.64341127242974,142.17152949743527,141.11529304742422,142.41369406900444,142.8979654327447,141.92942270526416,143.72976872469468,144.1830190267757,143.27651842261366
1,138.27994926361583,138.71231305126142,137.84758547597025,139.42445653701185,140.00939558473567,138.83951748928803,140.96730725152545,141.34619113606692,140.588423366984,143.03690523980976,143.36711800634765,142.70669247327186
2,135.17555099928762,135.6012028784707,134.74989912010454,137.3760610901232,137.86629507182428,136.8858271084221,139.89148862867995,140.45724161412375,139.32573564323616,141.8810902396036,142.2348569092869,141.5273235699203
3,132.1128438271553,132.6216292951389,131.60405835917172,135.71695511661864,136.06315085632866,135.3707593769086,137.80989175354398,138.19806824019906,137.4217152668889,140.62531354598158,141.00872860770633,140.24189848425684
4,130.0413339449786,130.4362649951406,129.6464028948166,133.9334015175752,134.31455367620387,133.5522493589465,136.81223781689056,137.25618246894697,136.36829316483414,139.91579632125234,140.35215820746433,139.47943443504036
5,127.9588361096113,128.39233018964507,127.52534202957753,132.57346921560546,132.93432879233046,132.21260963888045,135.78609783888254,136.2818677178716,135.2903279598935,138.73296779860064,139.20315632430604,138.26277927289524
6,126.06457764265465,126.5423298386895,125.58682544661981,130.91180567060434,131.31292233381802,130.51068900739065,134.84288587196698,135.20727032428917,134.4785014196448,138.27578807460765,138.64778116686867,137.90379498234662
7,124.43646033086657,124.93947127791728,123.93344938381586,129.77310654938998,130.23652338853776,129.3096897102422,133.60550163946186,133.9577105079634,133.25329277096031,137.4799981123129,137.79341939698332,137.16657682764247
8,123.55841187951432,124.03850924451528,123.07831451451337,128.6619285131896,129.12995904039707,128.19389798598212,132.547539515464,133.06367903723148,132.0313999936965,136.49008476555846,136.797268363464,136.18290116765291
9,122.0201021824184,122.36238566587423,121.67781869896257,127.30618057522231,127.7521616713478,126.86019947909682,131.82832712376654,132.18009076341608,131.476563484117,136.51055155844568,136.84069828851153,136.18040482837984
10,120.55156247940172,120.94365214638283,120.15947281242062,126.1734271590623,126.57053498762772,125.77631933049688,131.25295348918775,131.6195089155211,130.8863980628544,136.33490838166256,136.6726222368057,135.99719452651942
11,119.2831804143489,119.60909775831693,118.95726307038088,125.05575170115165,125.35392140780083,124.75758199450247,130.53693130596102,131.0038189943012,130.07004361762083,135.06944202310888,135.54192335070445,134.5969606955133
12,118.25270400582156,118.74011988538199,117.76528812626113,124.29544019258644,124.827119633118,123.76376075205488,129.5505218890957,129.9775210543498,129.1235227238416,134.41405726159326,134.83911532802972,133.9889991951568
13,117.28871218988624,117.66681428048493,116.91061009928755,123.02615501156046,123.31572702605006,122.73658299707087,128.78943907349736,129.1846235672874,128.39425457970734,133.4431795544815,133.86163036213972,133.02472874682329
14,115.90848038191898,116.33717930070024,115.47978146313771,122.56968270696113,123.01392752341371,122.12543789050855,128.51822714169035,128.9264172769953,128.1100370063854,133.8627091089663,134.07504108873204,133.65037712920056
15,115.78934989194877,116.21623343860801,115.36246634528953,121.60392374680198,122.06579959705839,121.14204789654558,128.08609847826602,128.49786947909934,127.67432747743273,132.85987569441494,133.2006510535904,132.51910033523947
16,114.61787646824769,115.06334313347948,114.1724098030159,120.30513103345307,120.76004637654195,119.85021569036418,127.14250766794616,127.55678556015576,126.72822977573657,132.8953062993421,133.15416124246593,132.6364513562183
17,113.65799890717517,114.09589760896411,113.22010020538623,119.51149213066883,120.0080831932552,119.01490106808245,126.41252917546828,126.81267358716484,126.01238476377172,132.1206738669479,132.5144220091841,131.7269257247117
18,112.41625615752244,112.84594224095919,111.98657007408569,119.49089708600404,120.0458338362992,118.93596033570888,125.53917835731434,125.86943305033434,125.20892366429435,131.63663870340292,131.91864453669757,131.35463287010828
19,111.65615603104357,112.03628887515357,111.27602318693356,119.09637947885498,119.58555049423963,118.60720846347034,125.18838242076575,125.59766915007768,124.77909569145382,131.35557703705769,131.7396380831394,130.97151599097597
20,111.26702844853688,111.77959549418274,110.75446140289101,117.61463647615112,118.18275797631588,117.04651497598636,124.92315427171108,125.33792339262763,124.50838515079454,131.15045081648233,131.55860287201753,130.74229876094714
21,111.01169999520737,111.3967272457179,110.62667274469683,117.19062091983183,117.71020555342386,116.6710362862398,123.99507147886084,124.43736232532993,123.55278063239174,130.3183890994807,130.76810313122434,129.86867506773706
22,110.19633689065768,110.61258920347954,109.78008457783581,116.12632924583208,116.65464744259262,115.59801104907154,123.52892826414242,124.08959352193833,122.96826300634652,129.81240943161646,130.15942324707999,129.46539561615293
23,109.79497815880794,110.18333727316198,109.40661904445389,116.10689334418191,116.56939016480702,115.64439652355681,123.33475907719112,123.83533359836312,122.83418455601912,129.72674399403567,129.9714962264416,129.48199176162976
24,109.26330347168769,109.62782888587168,108.8987780575037,115.8064162191411,116.320143995999,115.2926884422832,122.85828076014691,123.28846298421175,122.42809853608208,129.69043008387024,130.11743057988318,129.2634295878573
25,109.44761636828306,109.73245456164705,109.16277817491908,115.18432171793441,115.61609231481127,114.75255112105755,122.68001052426625,123.03375192130233,122.32626912723018,129.37096483498493,129.78760806736173,128.95432160260813
26,108.13518264995776,108.33867304849208,107.93169225142343,114.4062171238822,114.92413001820378,113.88830422956062,122.3844484709515,122.84445175080798,121.92444519109502,129.02599706335008,129.3974399148809,128.65455421181926
27,107.86913622028332,108.22012880368449,107.51814363688216,114.53235202044661,114.87624519603769,114.18845884485553,121.5575566380289,122.10627568176773,121.00883759429007,128.87804746423174,129.24794726240347,128.50814766606
28,107.72365555730582,108.02648188860832,107.42082922600332,113.47279046449187,113.96563216188838,112.97994876709535,120.9063827705988,121.39406766089499,120.4186978803026,128.49221607124286,128.83384998222047,128.15058216026526
29,107.39055595459129,107.64920303014908,107.1319088790335,113.58295321868916,113.88489589652568,113.28101054085263,120.34640332820379,120.776858038907,119.91594861750059,127.81838559386779,128.20460118227822,127.43217000545734
30,107.21215972117866,107.4023930375629,107.02192640479443,113.04671467770534,113.48055283777457,112.61287651763611,120.3371445987581,120.70180266894539,119.97248652857081,127.33805235388486,127.63358243656381,127.04252227120591
31,106.4298313671276,106.71454809887034,106.14511463538487,112.51303174008554,112.88005314292705,112.14601033724402,120.24991081143321,120.68348221025418,119.81633941261224,127.23277125800624,127.62374715536835,126.84179536064413
32,106.45098809610423,106.76783337435602,106.13414281785244,112.2682648772759,112.55830798599517,111.97822176855662,119.74855156351786,120.09391079065455,119.40319233638118,126.67582434229296,127.0549748401893,126.29667384439661
33,106.01566722454447,106.34538555755319,105.68594889153576,111.52600616092073,111.94382755251573,111.10818476932573,119.04151163649078,119.48522756646672,118.59779570651484,126.38828411443467,126.74509861815736,126.03146961071198
34,105.91858812836897,106.20685680733412,105.63031944940381,111.39772536037049,111.82040431690824,110.97504640383274,118.54904673983933,119.06430150459835,118.0337919750803,126.24273051700042,126.51882075367224,125.9666402803286
35,105.277910297731,105.5902081795045,104.9656124159575,111.43780642842096,111.77670330313217,111.09890955370975,118.35355518972592,118.81942236432378,117.88768801512806,126.00769486600215,126.3981535732748,125.61723615872951
36,105.57518745612413,105.82514240216256,105.3252325100857,111.19130134752268,111.61188720752125,110.77071548752411,118.38741413232917,118.8336640298203,117.94116423483804,125.83758926430326,126.26700081653935,125.40817771206717
37,104.79137653466401,105.09826316847857,104.48448990084945,110.31570505957025,110.72251516218618,109.90889495695431,118.58340857168237,119.03832794488089,118.12848919848385,125.55697481402119,125.99920360978476,125.11474601825762
38,104.95993929885955,105.25853021892088,104.66134837879822,110.13746796598596,110.49900559670462,109.7759303352673,117.57440858923982,118.13813116302539,117.01068601545425,125.54266198055807,125.91265805302632,125.17266590808981
39,104.60258025198725,104.89981830195994,104.30534220201456,109.76465589851907,110.13949786755232,109.38981392948581,117.67918081915631,118.19298168083208,117.16537995748055,124.98422619708222,125.28502879102793,124.68342360313652
40,104.13174398117962,104.42420139173987,103.83928657061938,109.76085375800994,110.19157633986514,109.33013117615475,117.47646775229896,118.04311383176683,116.90982167283109,125.2617547985299,125.55142859861839,124.97208099844143
41,104.3535027811218,104.80627732128279,103.90072824096082,109.22991628468552,109.61380270229526,108.84602986707577,117.45815426727624,117.82001032130913,117.09629821324336,124.49762159539982,124.84683535985312,124.14840783094652
42,103.97671988719489,104.26540834797895,103.68803142641083,108.88606988183226,109.27951015665792,108.49262960700659,116.5385270051135,116.95987831386297,116.11717569636401,124.25434433198295,124.4637848175803,124.0449038463856
43,103.6108591478016,104.112353295774,103.10936499982921,108.60350687840312,108.98840990997724,108.21860384682901,116.44749968035481,116.78756479470019,116.10743456600943,124.18032189670825,124.61573650370981,123.74490728970669
44,103.3203974446645,103.68660422649198,102.95419066283701,108.23357937974518,108.55008937055908,107.91706938893128,116.65711969231627,117.15726873320052,116.15697065143202,124.23682479255217,124.62096847228358,123.85268111282076
45,103.26067029191859,103.71796636352424,102.80337422031293,108.13514429371817,108.42431171451406,107.84597687292228,116.15103919511284,116.56596510049395,115.73611328973173,123.35457378706178,123.62454222334239,123.08460535078117
46,103.64554912990332,104.00356960409343,103.2875286557132,108.36605311014014,108.78006634524085,107.95203987503943,115.84006200662051,116.2695597965535,115.41056421668753,123.80135593631101,124.18316941636729,123.41954245625473
47,103.42770757862665,103.85598088966816,102.99943426758514,107.88642077602955,108.15217127086343,107.62067028119567,115.74884137955276,116.13137017178883,115.36631258731668,123.52710726787268,123.87134576860512,123.18286876714023
48,102.87869259608195,103.3038081788428,102.4535770133211,107.59327833055139,107.82329564245754,107.36326101864523,115.81549269451973,116.25610060900978,115.37488478002969,123.75731196753482,124.08714729318636,123.42747664188327
49,102.75271127965178,103.10170157936102,102.40372097994253,106.77306576186682,107.08907601060606,106.45705551312757,115.47590664999623,115.94410244374541,115.00771085624706,122.99046849802751,123.43086830428604,122.55006869176898
50,103.0458944768036,103.38617173356789,102.7056172200393,107.52637287547262,107.95774039710936,107.09500535383587,115.0620558804682,115.39057605858953,114.73353570234686,123.59127791645024,123.94123612849991,123.24131970440057
51,102.56922908590505,102.95726639884413,102.18119177296597,106.998462832263,107.37028313047013,106.62664253405588,114.59100985362804,114.94202308289611,114.23999662435996,122.4997754753891,122.85095114992117,122.14859980085703
52,102.47556245990691,102.79225399231548,102.15887092749834,107.05630157229989,107.38450497646322,106.72809816813655,114.51080167796697,114.83928085747337,114.18232249846056,122.47415369431553,122.81823539772192,122.13007199090914
53,102.58736706967645,102.98482753532599,102.1899066040269,106.47344392928508,106.82879522291186,106.1180926356583,113.82217172386274,114.21219906661085,113.43214438111463,122.34653471812831,122.7125799999936,121.98048943626303
54,102.89640274452672,103.12922731293874,102.66357817611471,106.67492993130404,107.01252608799935,106.33733377460872,114.18932329010147,114.70862587973713,113.67002070046581,122.56562888104664,122.90382250635001,122.22743525574326
55,102.12753819318654,102.42713228545357,101.82794410091951,106.93981255034896,107.29362404783922,106.5860010528587,114.27841879578258,114.79104000129624,113.76579759026893,121.86894094297108,122.20204301826814,121.53583886767402
56,102.36571491051089,102.6917548584147,102.03967496260708,105.900890790944,106.2000843024655,105.60169727942251,114.17229444523454,114.62087192981969,113.7237169606494,121.88785441210241,122.24163398714884,121.53407483705598
57,102.70867421100316,103.04491892148471,102.3724295005216,106.17564523918479,106.50527423095201,105.84601624741757,114.00192113991451,114.37622328369253,113.6276189961365,121.8400433428232,122.22394645381038,121.456140231836
58,101.90800272079241,102.20423510140859,101.61177034017624,105.62762973834347,105.99540336687207,105.25985610981488,113.29592336054282,113.68245716640678,112.90938955467885,121.70935012044033,122.20126198374025,121.21743825714042
59,102.23801961903293,102.53254850071858,101.94349073734728,105.3149433560945,105.65935245791827,104.97053425427073,113.26593094724292,113.61131041962612,112.92055147485972,121.75112039676142,122.12357527765587,121.37866551586697
60,102.12218495447331,102.42339372924329,101.82097617970334,105.79325284826639,106.36879843188814,105.21770726464464,113.09513504245513,113.3694260389038,112.82084404600646,121.61913269693098,121.9751786423492,121.26308675151274
61,101.81236482582732,102.12637047622695,101.49835917542768,105.90151540274617,106.33951230685383,105.4635184986385,112.7802414256922,113.10972777815856,112.45075507322584,121.1079122660007,121.49704646719282,120.71877806480857
62,101.91853099193483,102.21045304588529,101.62660893798437,105.23383854128444,105.50241237329138,104.9652647092775,112.95997403643153,113.45432882930797,112.4656192435551,120.92436245963366,121.23654326188502,120.6121816573823
63,101.9919416716244,102.37490568364444,101.60897765960436,105.43363214234232,105.77562506620856,105.09163921847608,112.53666791518008,112.90844711644763,112.16488871391252,120.86869673210633,121.33057553488038,120.40681792933228
64,101.6328499271323,102.06226577880541,101.20343407545919,104.34719014671582,104.78294809789486,103.91143219553678,112.5661291703685,113.10645839086949,112.0257999498675,120.74766408770851,121.2208240103282,120.27450416508883
65,101.71963219752516,102.02760504167053,101.41165935337979,104.9775349798335,105.27800841905137,104.67706154061561,112.33260346389531,112.83856231912647,111.82664460866415,120.55879954046486,120.94548520402435,120.17211387690537
66,101.70176767108194,101.98262107562691,101.42091426653697,104.58624270404869,105.0396224644656,104.13286294363178,112.12289217324796,112.60706677932376,111.63871756717216,120.71971378037874,121.0696065522642,120.36982100849328
67,102.07202195035607,102.39806608898986,101.74597781172228,105.02163153924849,105.43440727356058,104.6088558049364,112.12900927138655,112.6062648819461,111.651753660827,120.33240566691407,120.67622622902503,119.98858510480311
68,101.75429527356737,102.38579844915095,101.12279209798378,104.48762925686262,104.85231665300716,104.12294186071807,112.20559361608159,112.82042188910272,111.59076534306045,119.83262330673514,120.24419773075857,119.42104888271172
69,101.07782511856225,101.52119317170663,100.63445706541786,104.20228631083808,104.67167796254884,103.73289465912731,112.15402185234393,112.72249688762169,111.58554681706617,120.05205737361871,120.44832043310458,119.65579431413283
70,101.5589308638899,101.91962668094946,101.19823504683033,104.83779608133769,105.3012895833131,104.37430257936226,111.95714720493986,112.50920883665036,111.40508557322936,120.41808974735193,120.76051567185016,120.0756638228537
71,101.65228870765365,102.06088159994891,101.2436958153584,104.315425586473,104.61831229449547,104.01253887845053,111.45385201341283,111.9324294419838,110.97527458484186,120.22852543889319,120.50153321236239,119.95551766542398
72,101.36541496673514,101.80926055770097,100.92156937576932,104.23024355036428,104.64840480262698,103.81208229810157,111.03937957222759,111.53074741818162,110.54801172627356,119.59454483683638,119.98079273951387,119.20829693415888
73,101.62101875859098,101.9922212475924,101.24981626958956,104.10943815473672,104.4361009605376,103.78277534893584,111.33847402924043,111.98571767111257,110.6912303873683,119.24656517261016,119.61337911933356,118.87975122588676
74,101.38227881248255,101.62268754604514,101.14187007891996,103.93238261383917,104.1600325431134,103.70473268456493,111.47623209960042,111.94595096662046,111.00651323258039,119.860321957151,120.19448463904986,119.52615927525214
75,101.69597910557394,102.11235297068121,101.27960524046667,104.19697354630746,104.57086879495861,103.82307829765631,110.76815182210855,111.06331453619777,110.47298910801933,119.79509737147976,120.17614164107178,119.41405310188773
76,101.3165166679032,101.68211412139219,100.95091921441421,103.95552915774624,104.21267357804867,103.69838473744382,110.76249825822792,111.03567007192892,110.48932644452692,119.10376869629712,119.38399210319278,118.82354528940147
77,101.463317171987,101.78000430114827,101.14663004282573,104.11940349133867,104.50888654052139,103.72992044215596,110.75823981734382,111.16811510123149,110.34836453345615,119.42606597886916,119.7528758670414,119.09925609069693
78,101.5150216986884,101.97193030366734,101.05811309370947,104.0582728023466,104.2926296930058,103.8239159116874,110.6765718411958,111.06745076620486,110.28569291618673,119.18377232440635,119.65727589206371,118.71026875674899
79,101.16850762515188,101.51593172686103,100.82108352344272,104.11929867052145,104.48518007333975,103.75341726770314,110.40366547148429,110.7898913048355,110.01743963813307,118.95120907065743,119.36732532068564,118.53509282062922
80,101.64675262439292,102.16775770724517,101.12574754154066,104.11636120709804,104.44025805837038,103.7924643558257,110.75572404633212,111.01978919394277,110.49165889872147,118.64750795021205,119.09594229137785,118.19907360904624
81,101.51737769678324,101.88475310901799,101.15000228454849,103.68066249949474,104.05401062211564,103.30731437687385,110.31703664779695,110.61972993359399,110.01434336199992,118.54572933695556,118.83931240217655,118.25214627173457
82,101.70780188459257,102.23457677141359,101.18102699777155,103.40106738684635,103.91655503442496,102.88557973926774,110.80553939449089,111.18559981544492,110.42547897353687,118.24082964072906,118.72333005276401,117.75832922869411
83,101.74080940249621,102.18589141453795,101.29572739045447,103.57401594236524,103.96302862093943,103.18500326379105,110.26020392651893,110.73409414885055,109.78631370418731,118.39367090951377,118.66009074312596,118.12725107590158
84,100.95341421152507,101.36169246225987,100.54513596079028,103.4234476631644,103.80163027614752,103.04526505018127,110.12308797665078,110.62813789877215,109.6180380545294,118.261693925837,118.69429702850817,117.82909082316581
85,101.17308867813169,101.4739405716327,100.87223678463069,103.47398359527196,103.7936301355952,103.15433705494873,109.99793202617373,110.39725041643874,109.59861363590872,117.88149921875943,118.25031303874403,117.51268539877483
86,100.91895704448501,101.41898284699971,100.41893124197031,103.71303372428554,104.07276628485545,103.35330116371563,109.82419994569382,110.2146919360291,109.43370795535854,118.01458841291128,118.40670293378253,117.62247389204003
87,100.5365119017949,100.95600744653693,100.11701635705286,103.49793744804576,103.81277950175051,103.18309539434101,109.60526139475523,109.97194701277331,109.23857577673715,117.47268994133265,117.85502304602453,117.09035683664077
88,100.88010306397507,101.23379307982506,100.52641304812508,103.51253004564396,104.00339833175833,103.02166175952958,109.50546149479165,109.90975197197236,109.10117101761094,117.59737809115839,118.08705924869571,117.10769693362107
89,100.84336763492941,101.1112833791376,100.57545189072121,103.3859100887701,103.8085640217427,102.96325615579751,109.61899246509662,110.1005996429231,109.13738528727015,117.69864717088042,118.08357827847878,117.31371606328206
