iter,data_n_clusters_2.0_mean,data_n_clusters_2.0_upper,data_n_clusters_2.0_lower,data_n_clusters_3.0_mean,data_n_clusters_3.0_upper,data_n_clusters_3.0_lower,data_n_clusters_5.0_mean,data_n_clusters_5.0_upper,data_n_clusters_5.0_lower,data_n_clusters_10.0_mean,data_n_clusters_10.0_upper,data_n_clusters_10.0_lower
0,8.945919609069824,8.954105034809093,8.937734183330555,8.773973274230958,8.78714648575415,8.760800062707766,7.631224632263184,7.6443551515105765,7.618094113015791,6.516959476470947,6.52567665360601,6.508242299335884
1,7.653075551986694,7.662084931062109,7.644066172911279,7.643832635879517,7.663203254100711,7.624462017658322,6.7952147960662845,6.809542267266027,6.780887324866542,5.85194034576416,5.861387219144562,5.842493472383759
2,6.588902997970581,6.600789279866138,6.577016716075024,6.72064061164856,6.745475788447097,6.695805434850023,6.093674802780152,6.10903270881064,6.078316896749663,5.29538779258728,5.303367600516374,5.287407984658186
3,5.706738424301148,5.7190992803812755,5.69437756822102,5.9462120056152346,5.972757043857618,5.9196669673728515,5.5085962295532225,5.523308632500096,5.493883826606349,4.845749378204346,4.853075513096715,4.8384232433119765
4,4.9637250900268555,4.973417892052361,4.95403228800135,5.286540699005127,5.312747780777001,5.260333617233253,5.007183933258057,5.020600338380429,4.993767528135685,4.463804435729981,4.473245915984818,4.454362955475143
5,4.350522089004516,4.359131691272335,4.341912486736698,4.733634281158447,4.760566769774196,4.706701792542698,4.57653923034668,4.592815100231059,4.560263360462301,4.126037454605102,4.136173007684306,4.115901901525898
6,3.8264801025390627,3.8331508421280263,3.819809362950099,4.248121070861816,4.272225500403658,4.224016641319975,4.2085082054138185,4.226016593658248,4.190999817169389,3.835212731361389,3.8445116702318516,3.8259137924909266
7,3.3787614822387697,3.3858855493816455,3.371637415095894,3.828313112258911,3.8497350540676996,3.8068911704501227,3.887824273109436,3.9038128861128296,3.8718356601060426,3.574611449241638,3.585938679803489,3.563284218679787
8,2.9876259565353394,2.9945715503615387,2.98068036270914,3.4704916715621947,3.4879991412660947,3.452984201858295,3.5932918548583985,3.6075523081835144,3.5790314015332827,3.350468635559082,3.362089757779148,3.338847513339016
9,2.658652353286743,2.6659826525874992,2.6513220539859867,3.1547111749649046,3.1712091448565376,3.1382132050732716,3.3387420654296873,3.3538031050551647,3.32368102580421,3.1534425973892213,3.164608963223017,3.1422762315554253
10,2.3687885284423826,2.3761600086633456,2.3614170482214196,2.8832491636276245,2.8971276772979597,2.8693706499572893,3.1091575384140016,3.1228734271358256,3.0954416496921775,2.983062434196472,2.9922474945380166,2.9738773738549273
11,2.117675757408142,2.1250954914267868,2.1102560233894976,2.634847354888916,2.6457039114822547,2.6239907982955777,2.9070284605026244,2.9192607127329273,2.8947962082723215,2.822583556175232,2.8304514956047475,2.8147156167457164
12,1.8945505619049072,1.9013021580477385,1.887798965762076,2.413301157951355,2.423686845976798,2.4029154699259117,2.7226384401321413,2.7333981612678824,2.7118787189964,2.6802589654922486,2.6881400817816163,2.672377849202881
13,1.698244845867157,1.704981313321752,1.6915083784125622,2.214408779144287,2.225689536588833,2.203128021699741,2.558662009239197,2.5701123115718296,2.5472117069065643,2.5567344665527343,2.5674773371618484,2.54599159594362
14,1.526872169971466,1.5341251252856063,1.5196192146573257,2.0337157368659975,2.0463163053810858,2.021115168350909,2.4118598222732546,2.422788875004717,2.4009307695417923,2.4366440296173097,2.447005432520293,2.4262826267143267
15,1.3759418249130249,1.3823463020865008,1.369537347739549,1.8803210496902465,1.8944325822911832,1.8662095170893098,2.2792813777923584,2.2912112304720496,2.2673515251126672,2.3303149223327635,2.3408015511360394,2.3198282935294876
16,1.240724229812622,1.2466557394914655,1.2347927201337785,1.7364994525909423,1.74964428423999,1.7233546209418946,2.1497573375701906,2.1607100379118354,2.138804637228546,2.2270388841629027,2.2371214714197745,2.216956296906031
17,1.1196201920509339,1.1250132271854378,1.11422715691643,1.6110953330993651,1.623193833756639,1.5989968324420913,2.031992244720459,2.042029114624115,2.0219553748168027,2.1342880010604857,2.1454962247671063,2.123079777353865
18,1.0136009633541108,1.0188270484183541,1.0083748782898674,1.4916620135307312,1.5012128237492737,1.4821112033121888,1.9227336049079895,1.9342077530325512,1.9112594567834278,2.060348892211914,2.0725390608529755,2.0481587235708525
19,0.9214709162712097,0.9268339635214283,0.9161078690209911,1.3867615699768066,1.3973423607056663,1.3761807792479468,1.8244143009185791,1.8359834045542136,1.8128451972829447,1.9859726309776307,1.9963980642728913,1.97554719768237
20,0.8367408990859986,0.8421430593222144,0.8313387388497827,1.2889618754386902,1.299953090891968,1.2779706599854124,1.7367555856704713,1.7469021511747926,1.72660902016615,1.9188109040260315,1.9301217592898798,1.9075000487621832
21,0.7641495764255524,0.7687211537556086,0.7595779990954962,1.2025715351104735,1.2120269611345946,1.1931161090863525,1.6576116323471068,1.6657433025667923,1.6494799621274214,1.8548902153968811,1.8664902685343319,1.8432901622594304
22,0.6952905356884003,0.6994774767578988,0.6911035946189017,1.1277525186538697,1.1351681305290666,1.1203369067786728,1.5877498388290405,1.5954022062222728,1.5800974714358083,1.7959331154823304,1.8080868899196605,1.7837793410450002
23,0.6340339660644532,0.6380737174324186,0.6299942146964878,1.0567451953887939,1.063292170429477,1.0501982203481106,1.5187082409858703,1.526434225080048,1.5109822568916926,1.734493887424469,1.7463233852063929,1.7226643896425453
