iter,data_n_clusters_2.0_mean,data_n_clusters_2.0_upper,data_n_clusters_2.0_lower,data_n_clusters_3.0_mean,data_n_clusters_3.0_upper,data_n_clusters_3.0_lower,data_n_clusters_5.0_mean,data_n_clusters_5.0_upper,data_n_clusters_5.0_lower,data_n_clusters_10.0_mean,data_n_clusters_10.0_upper,data_n_clusters_10.0_lower
0,145.5512805831333,146.2460349062106,144.85652626005597,142.1560969146062,142.60910510731233,141.70308872190006,116.13969825256193,116.81052433293387,115.46887217218999,102.55823816719014,103.12637981079837,101.99009652358191
1,142.43853125858377,142.99945989454974,141.8776026226178,139.65528016489907,140.099770716998,139.21078961280014,114.81963210506069,115.43926891188107,114.19999529824031,101.37601998469576,101.9282046565271,100.82383531286442
2,139.8359946028085,140.40803055231362,139.2639586533034,136.8124490504644,137.1943574970149,136.43054060391393,113.15951125890084,113.73099486396974,112.58802765383193,99.5315561783142,99.84679946373868,99.21631289288973
3,136.8239121237972,137.3800136818325,136.26781056576186,134.03565561204525,134.48031100332867,133.59100022076183,111.58692528276208,112.3357849891215,110.83806557640266,97.78850531019899,98.34900944832494,97.22800117207304
4,134.86848470943755,135.2875920024306,134.4493774164445,131.9289650696659,132.2189412995451,131.63898883978672,109.35718966450072,110.04972588721652,108.66465344178492,96.12968913528297,96.62267443373435,95.6367038368316
5,132.5863290159811,133.22489487147635,131.94776316048586,130.48296407693374,130.8486352828054,130.1172928710621,108.16501719192505,108.79970208337706,107.53033230047303,94.38043578853481,95.01903420790991,93.74183736915971
6,131.6050820935894,132.23554077730162,130.97462340987718,129.0979457557548,129.4995681008696,128.69632341064002,106.94880811248629,107.55950070440524,106.33811552056734,94.14453977867973,94.53938910714314,93.74969045021632
7,129.27249699872564,129.67202621055216,128.87296778689912,127.6740355843137,128.1162175043727,127.23185366425467,105.91780149372264,106.46719395733744,105.36840903010783,92.28360533108322,92.76492146075543,91.80228920141101
8,128.3273999832541,128.85435627645305,127.80044369005516,126.24055597929896,126.8014474868453,125.67966447175262,104.78210492825588,105.34889782390557,104.21531203260618,91.25424076535802,91.81834903322279,90.69013249749325
9,126.83112754992005,127.42372672945717,126.23852837038294,125.04303174263956,125.55272861884234,124.53333486643677,103.91821190931496,104.37665145312812,103.4597723655018,90.40324996747027,91.03474312129052,89.77175681365003
