iter,data_noise_scale_0.1_mean,data_noise_scale_0.1_upper,data_noise_scale_0.1_lower,data_noise_scale_0.5_mean,data_noise_scale_0.5_upper,data_noise_scale_0.5_lower,data_noise_scale_1.0_mean,data_noise_scale_1.0_upper,data_noise_scale_1.0_lower,data_noise_scale_1.5_mean,data_noise_scale_1.5_upper,data_noise_scale_1.5_lower
0,9.625966835021973,9.633726838169999,9.618206831873948,9.62506456375122,9.632704523542422,9.617424603960018,9.623546981811524,9.631104004434318,9.61598995918873,9.623234844207763,9.630153756019347,9.61631593239618
1,9.098225402832032,9.107025304845887,9.089425500818177,9.096765613555908,9.10531675458392,9.088214472527895,9.096879959106445,9.105237772779295,9.088522145433595,9.098221397399902,9.106076340780081,9.090366454019723
2,8.60011157989502,8.608948977639255,8.591274182150784,8.59790735244751,8.606049176157143,8.589765528737878,8.597344303131104,8.605689527390984,8.588999078871224,8.597830486297607,8.605771669007618,8.589889303587595
3,8.135078430175781,8.142877489439531,8.127279370912031,8.13299732208252,8.140180904481166,8.125813739683874,8.132486629486085,8.140042864683748,8.124930394288421,8.134132862091064,8.14066056301969,8.127605161162439
4,7.696568536758423,7.7053238247121465,7.687813248804699,7.696351337432861,7.704710644038438,7.687992030827284,7.696031141281128,7.704572151341459,7.687490131220796,7.696903705596924,7.7050039169984395,7.688803494195408
5,7.283437824249267,7.290472242098709,7.276403406399825,7.283622550964355,7.290770520478438,7.276474581450272,7.283384323120117,7.291037636656387,7.275731009583847,7.284372234344483,7.292114279562038,7.276630189126927
6,6.901726770401001,6.909389799028756,6.8940637417732455,6.90175232887268,6.909332191952601,6.894172465792759,6.899629354476929,6.90772095011405,6.8915377588398075,6.899270963668823,6.907720705745912,6.890821221591735
7,6.535059070587158,6.542594517021784,6.527523624152532,6.534419298171997,6.542250378575718,6.526588217768277,6.533578634262085,6.542090111489734,6.525067157034436,6.533509969711304,6.542396009224414,6.524623930198193
8,6.190209674835205,6.198006839036853,6.182412510633557,6.18838267326355,6.196495821428255,6.180269525098844,6.1884117603302,6.197165527845686,6.179657992814714,6.187689685821534,6.196713061510904,6.178666310132163
9,5.8726935386657715,5.879774595578788,5.865612481752755,5.8707390308380125,5.878310637772449,5.863167423903576,5.869334506988525,5.8775536310495395,5.861115382927511,5.868647050857544,5.87706875683628,5.860225344878808
10,5.57139573097229,5.579718332816606,5.563073129127973,5.568199539184571,5.577226825819162,5.559172252549979,5.566774702072143,5.576248864792333,5.557300539351953,5.564509296417237,5.574101261633431,5.554917331201042
11,5.283442163467408,5.291802490025091,5.275081836909724,5.280848789215088,5.289434240514442,5.272263337915733,5.279290819168091,5.2882686277662625,5.27031301056992,5.277633571624756,5.287385517693167,5.267881625556345
12,5.0122668743133545,5.0197930344746915,5.0047407141520175,5.010386610031128,5.01875183258689,5.0020213874753665,5.00906081199646,5.017493310987924,5.000628313004996,5.00622591972351,5.015224137907156,4.997227701539865
13,4.761378145217895,4.767857612587226,4.754898677848565,4.758683681488037,4.766093471929756,4.751273891046318,4.7564231872558596,4.763749817517395,4.749096556994324,4.753582286834717,4.761441358647318,4.745723215022116
14,4.518308877944946,4.52477767407679,4.511840081813102,4.515306997299194,4.522523174826779,4.508090819771609,4.512689018249512,4.519553947881225,4.505824088617799,4.509620189666748,4.517100157404925,4.502140221928571
15,4.291254138946533,4.297815027032877,4.2846932508601885,4.290260124206543,4.29740009687112,4.283120151541966,4.288854598999023,4.295690473750212,4.282018724247835,4.285703420639038,4.2931223780962755,4.278284463181801
16,4.07604947090149,4.082114633935335,4.069984307867644,4.0742326259613035,4.080906140524199,4.067559111398408,4.073994302749634,4.080428054769775,4.067560550729493,4.070606994628906,4.077473586068587,4.063740403189225
17,3.8744821548461914,3.8798445213101487,3.869119788382234,3.8727802276611327,3.879137393692321,3.8664230616299444,3.87377815246582,3.8807151691817325,3.8668411357499077,3.867966961860657,3.8751452879210526,3.860788635800261
18,3.681745004653931,3.687090600864159,3.676399408443703,3.68012797832489,3.686849783021305,3.673406173628475,3.679320049285889,3.6862176454182514,3.6724224531535263,3.6760732173919677,3.683250900654694,3.6688955341292413
19,3.501353883743286,3.506307671813248,3.496400095673324,3.5001930952072144,3.5061497199715634,3.4942364704428654,3.4986720085144043,3.504976268107676,3.4923677489211324,3.49621319770813,3.502352081592068,3.490074313824192
20,3.3309502601623535,3.3363780768388716,3.3255224434858355,3.3297943830490113,3.3360302446917176,3.323558521406305,3.3290449380874634,3.334992921190698,3.3230969549842286,3.3266868114471437,3.3319221747230925,3.321451448171195
21,3.169431519508362,3.1745347363471015,3.1643283026696225,3.1685384273529054,3.1741023977553815,3.1629744569504292,3.1677492380142214,3.1732658979804924,3.1622325780479503,3.1653507232666014,3.1701729050719454,3.1605285414612574
22,3.0174325942993163,3.022082356788358,3.0127828318102745,3.0149615526199343,3.0198875844776056,3.010035520762263,3.013245368003845,3.0179769040915208,3.0085138319161695,3.011932349205017,3.015972325734572,3.0078923726754625
23,2.8722585439682007,2.8768774516469047,2.8676396362894967,2.8687642097473143,2.873704480952838,2.8638239385417905,2.8673696756362914,2.8719329128021984,2.8628064384703844,2.8662890672683714,2.8702324129192633,2.8623457216174795
24,2.7349066972732543,2.7392053592700796,2.730608035276429,2.7305745124816894,2.735821002193024,2.7253280227703547,2.7297713279724123,2.734527052613567,2.7250156033312574,2.730102705955505,2.7344869947302484,2.725718417180762
25,2.605869507789612,2.610558143502554,2.60118087207667,2.59997980594635,2.605472228967483,2.594487382925217,2.5977662086486815,2.6031431562574836,2.5923892610398793,2.598849391937256,2.6036441503242695,2.5940546335502424
26,2.4831880569458007,2.4877591974980544,2.478616916393547,2.478819561004639,2.4841005957095716,2.473538526299706,2.4754470109939577,2.480442218416625,2.4704518035712906,2.4771668195724486,2.482032276155103,2.472301362989794
27,2.364709711074829,2.368531008146505,2.360888414003153,2.360746955871582,2.36523671564721,2.3562571960959544,2.3560636043548584,2.360588541175591,2.351538667534126,2.358657717704773,2.3632496161553216,2.3540658192542243
28,2.253718376159668,2.2578407447637456,2.2495960075555903,2.250770616531372,2.25543532098921,2.2461059120735336,2.246298098564148,2.2513268788643233,2.2412693182639725,2.249932289123535,2.2551793862930394,2.244685191954031
29,2.1460297822952272,2.1499391251685775,2.142120439421877,2.1427510023117065,2.1466603845466588,2.138841620076754,2.1392493724822996,2.143715198576485,2.1347835463881144,2.144299578666687,2.1489566743489545,2.13964248298442
30,2.045348072052002,2.0490953977317568,2.041600746372247,2.0422996282577515,2.0460547354510568,2.038544521064446,2.040869379043579,2.0453295537834713,2.0364092043036868,2.04692006111145,2.051847756894314,2.0419923653285865
31,1.9488019227981568,1.9526326054712941,1.9449712401250194,1.9460197329521178,1.9494070297181842,1.9426324361860514,1.9453085660934448,1.949607402835666,1.9410097293512236,1.9526029109954834,1.9576304321774431,1.9475753898135237
32,1.8580144762992858,1.8614494975697238,1.854579455028848,1.85589040517807,1.8587362027843677,1.8530446075717724,1.8547582030296326,1.8586752741550179,1.8508411319042473,1.8634304046630858,1.8678052679823962,1.8590555413437755
33,1.7714157938957213,1.7749436518344837,1.767887935956959,1.7695937752723694,1.7722875794991442,1.7668999710455946,1.7697970390319824,1.7734045347756053,1.7661895432883594,1.7801201701164246,1.7837240021230665,1.7765163381097828
34,1.690287971496582,1.6937106399016475,1.6868653030915164,1.6886932373046875,1.6916284523974114,1.6857580222119635,1.6888617753982544,1.6923025641131026,1.6854209866834062,1.7001262307167053,1.7037226429288614,1.6965298185045492
35,1.6121041655540467,1.615232645590998,1.6089756855170954,1.611796998977661,1.6146211979564558,1.6089727999988663,1.6139610767364503,1.617498710388162,1.6104234430847386,1.6262221336364746,1.629279439477916,1.6231648277950332
36,1.5364125728607179,1.5395615237252387,1.533263621996197,1.5376368165016174,1.541078735269872,1.5341948977333628,1.5416492462158202,1.5453950029896064,1.537903489442034,1.5553674697875977,1.558716996733355,1.5520179428418404
37,1.4663589477539063,1.4696709145522386,1.463046980955574,1.4679166555404664,1.4710819501986083,1.4647513608823244,1.471422505378723,1.4747804227957195,1.4680645879617267,1.4898598790168762,1.49271884103397,1.4870009169997824
38,1.401287281513214,1.4050550430338828,1.3975195199925452,1.4020951509475708,1.4054134007783707,1.3987769011167708,1.4067757725715637,1.4101409074269036,1.4034106377162239,1.4281372427940369,1.4310243237371432,1.4252501618509306
39,1.3371198534965516,1.3409831522513482,1.333256554741755,1.3372764825820922,1.3405340518732622,1.3340189132909221,1.34335116147995,1.346747252294611,1.3399550706652892,1.3680727243423463,1.3710698935086068,1.3650755551760858
40,1.2766197323799133,1.2804264397777356,1.272813024982091,1.276646876335144,1.2797597185651177,1.2735340341051702,1.2836169600486755,1.286784391773719,1.2804495283236321,1.3091439604759216,1.3119082147292358,1.3063797062226075
41,1.219758141040802,1.2233345324844407,1.2161817495971634,1.2198659181594849,1.2227731466679006,1.2169586896510691,1.2276551842689514,1.2308871002876185,1.2244232682502842,1.2543379187583923,1.2574291169221987,1.2512467205945859
42,1.1646574974060058,1.1680149746979045,1.161300020114107,1.164713478088379,1.1675727512521659,1.1618542049245921,1.173652470111847,1.176563571019064,1.1707413692046298,1.200478744506836,1.2033864239994598,1.197571065014212
43,1.1124986052513122,1.1155680845701859,1.1094291259324385,1.112580955028534,1.115813454711984,1.1093484553450839,1.121852445602417,1.124855635685467,1.118849255519367,1.1504266023635865,1.1534137014523373,1.1474395032748357
44,1.0624253392219543,1.0653614326049279,1.0594892458389806,1.063296377658844,1.0662233585051468,1.0603693968125412,1.0720323085784913,1.0751140942404693,1.0689505229165133,1.1028868079185485,1.1062649003144533,1.0995087155226437
45,1.014393502473831,1.0173009111035756,1.0114860938440866,1.0158923029899598,1.0188243426323866,1.012960263347533,1.0263009786605835,1.0295659310938787,1.0230360262272882,1.0592585444450378,1.062812517314972,1.0557045715751034
46,0.9691833674907684,0.9720580999627668,0.96630863501877,0.9705070972442627,0.9732344836747407,0.9677797108137846,0.9826675653457642,0.9856725961039899,0.9796625345875384,1.0167140364646912,1.01961016247056,1.0138179104588223
47,0.9266819715499878,0.9294009864336262,0.9239629566663493,0.9284122586250305,0.931005846413799,0.925818670836262,0.9415963649749756,0.9443511199152415,0.9388416100347097,0.9760731399059296,0.9785084018475593,0.9736378779642999
48,0.8845929980278016,0.8870635029092877,0.8821224931463154,0.8869840919971466,0.888967818792,0.8850003652022931,0.9015254020690918,0.9036837291808603,0.8993670749573234,0.938015753030777,0.939916895852965,0.936114610208589
49,0.8449287474155426,0.847314498841326,0.8425429959897591,0.8476796388626099,0.8495367793382543,0.8458224983869654,0.8643704414367676,0.8664231063828068,0.8623177764907283,0.9023555934429168,0.9045281153019078,0.9001830715839259
50,0.8085444152355195,0.8108424259194288,0.8062464045516101,0.8108488738536834,0.8125508554860605,0.8091468922213063,0.8288145363330841,0.8306813886713925,0.8269476839947757,0.8681304395198822,0.8697766018073185,0.8664842772324459
51,0.7726244390010834,0.7749686425613805,0.7702802354407862,0.775611835718155,0.7770932086516681,0.7741304627846418,0.7949242115020752,0.7966922849581235,0.7931561380460268,0.8370063245296478,0.8385897311379508,0.8354229179213449
