iter,data_noise_scale_0.1_mean,data_noise_scale_0.1_upper,data_noise_scale_0.1_lower,data_noise_scale_0.5_mean,data_noise_scale_0.5_upper,data_noise_scale_0.5_lower,data_noise_scale_1.0_mean,data_noise_scale_1.0_upper,data_noise_scale_1.0_lower,data_noise_scale_1.5_mean,data_noise_scale_1.5_upper,data_noise_scale_1.5_lower
0,142.3903162921571,142.77129368026266,142.00933890405156,143.23174612277347,143.8921145221234,142.57137772342355,144.14761616318307,144.7789368311979,143.51629549516824,145.2148820142193,145.9781798311316,144.45158419730703
1,139.5091533519068,139.9746321165894,139.04367458722422,140.1234460751136,140.78018279254616,139.46670935768105,141.05030251392336,141.6888887314973,140.41171629634943,142.1232272456637,142.65980815728932,141.5866463340381
2,137.44037800502772,137.83690098844951,137.04385502160594,137.37617660931247,137.93947297371065,136.81288024491428,138.43985463976867,139.0017312079194,137.87797807161795,139.67122437943362,140.22246868701967,139.11998007184758
3,133.87947778950883,134.35766241240597,133.40129316661168,134.56668052421497,135.11972829476525,134.0136327536647,135.80397238219962,136.34453141184318,135.26341335255606,136.7331196264334,137.19915118670949,136.2670880661573
4,132.84419737832914,133.22689996674657,132.4614947899117,132.85349128966544,133.30989453373354,132.39708804559734,134.00744691052807,134.57697957002003,133.43791425103612,134.60956492937694,134.9825554520974,134.2365744066565
5,130.97204429535336,131.37219066186773,130.57189792883898,130.6573688700631,131.1174988864146,130.19723885371158,131.7393388337003,132.22071092715865,131.25796674024193,133.2459737247221,133.62405838837938,132.8678890610648
6,128.37146749828776,128.73020513012582,128.0127298664497,129.06241179518557,129.54877722829403,128.5760463620771,130.47748704412822,131.06298119538738,129.89199289286907,131.71568718121367,132.1525429549505,131.27883140747684
7,127.70608701000637,127.97066978907087,127.44150423094187,127.57539394911717,128.24586776568248,126.90492013255187,128.82754160361443,129.44776381402886,128.2073193932,130.06616651863786,130.48621740054836,129.64611563672736
8,125.69372624463563,126.12687798214067,125.26057450713058,127.0138753896196,127.53368938535068,126.49406139388851,127.23106349623683,128.01183533659332,126.45029165588033,128.5758892116442,129.2017010367013,127.95007738658713
9,124.44005891579988,124.73792247693969,124.14219535466007,124.60031523552031,125.13330656870319,124.06732390233744,125.79394508027262,126.56109995524568,125.02679020529956,127.33284629616756,127.82850127728253,126.83719131505259
10,123.2546950683658,123.82772125708057,122.68166887965104,123.70190359903879,124.31303857463944,123.09076862343814,124.7936283274335,125.44616988365506,124.14108677121193,126.1549755219362,126.63787107445458,125.67207996941781
11,122.2281729999153,122.71826738052776,121.73807861930284,122.93890149883939,123.61024805864393,122.26755493903484,123.76988058007093,124.19910287107808,123.34065828906378,124.83469134064164,125.24141446842629,124.427968212857
12,121.01423662108837,121.50156267519114,120.5269105669856,122.13686887207999,122.88066827194572,121.39306947221425,122.75361851584444,123.42042044803544,122.08681658365343,124.04473820674039,124.60887337459498,123.4806030388858
13,119.96089549139647,120.37534372889385,119.54644725389909,120.80399764758037,121.51767388020103,120.09032141495972,121.7989069201803,122.37878291948182,121.21903092087878,122.6726943944017,123.30622603158399,122.03916275721942
14,119.51927171404586,119.82361650835965,119.21492691973206,119.14270173523161,119.58169952672549,118.70370394373774,120.89200887311495,121.38442202632388,120.39959571990602,121.79446500806633,122.17216719826136,121.41676281787129
15,118.29874336915489,118.68128230090593,117.91620443740385,118.97146388687625,119.65996532972538,118.28296244402712,119.7933678470778,120.44914888464567,119.13758680950994,120.39741220899995,120.88037140863784,119.91445300936206
16,117.9342507390509,118.23834682728655,117.63015465081524,118.59487659260125,119.24685687342465,117.94289631177786,118.71249621649936,119.20791313580985,118.21707929718887,119.76057537059674,120.29836327841987,119.22278746277361
17,117.15015403543502,117.54134090183904,116.75896716903101,117.89535036295997,118.45872405919124,117.3319766667287,118.55660698913111,119.4137284298521,117.69948554841012,119.56268793840158,120.12385362039119,119.00152225641197
18,116.31230229073996,116.79339809907262,115.83120648240731,116.84130475148314,117.25038900502533,116.43222049794095,117.57713007571488,118.25310601601134,116.90115413541841,118.69944842827769,119.20973391032946,118.18916294622592
19,116.1431580220416,116.393152340796,115.89316370328721,116.27294503436379,116.6760362297469,115.86985383898067,116.81373051675098,117.30667722298625,116.3207838105157,118.18557401745386,118.53593541337322,117.8352126215345
20,115.7144130654317,116.07633785592135,115.35248827494205,115.82317277641452,116.514411752259,115.13193380057005,117.05681920518325,117.53819193730905,116.57544647305744,117.1390691535928,117.47916602317343,116.79897228401217
21,114.78282048713518,115.17426571548343,114.39137525878694,115.22761061601545,115.88736044051915,114.56786079151176,115.680973334102,116.16970668209949,115.19223998610452,117.18068277676248,117.92984901268798,116.43151654083698
22,113.58887876909873,113.73946609990972,113.43829143828773,114.51565685812886,115.00558741347297,114.02572630278476,115.04511920084488,115.4079810537154,114.68225734797436,116.70605540331215,117.12663879735155,116.28547200927275
23,113.7478602366092,113.99976034643683,113.49596012678157,114.72821770056248,115.33298393960483,114.12345146152013,114.60432681471882,115.02465981281973,114.1839938166179,115.7406641943493,116.15843225841259,115.32289613028603
24,113.0733227045805,113.32912822105497,112.81751718810604,114.02450216779948,114.55848406999456,113.4905202656044,114.45842026439331,114.83608340695777,114.08075712182885,116.0916154036322,116.62856923903006,115.55466156823435
25,112.95054913996941,113.27591047219154,112.62518780774728,114.04256809293454,114.58710170979603,113.49803447607306,113.65369655700101,114.14450268380926,113.16289043019276,115.41423803089071,115.89928510411437,114.92919095766706
26,112.52163140084694,112.83478346016577,112.20847934152812,113.03062599364834,113.5859021998262,112.47534978747049,113.99239177999314,114.45542556785318,113.5293579921331,115.19586121167677,115.71206938308026,114.67965304027328
