iter,data_noise_weight_0.1_mean,data_noise_weight_0.1_upper,data_noise_weight_0.1_lower,data_noise_weight_0.5_mean,data_noise_weight_0.5_upper,data_noise_weight_0.5_lower,data_noise_weight_1.0_mean,data_noise_weight_1.0_upper,data_noise_weight_1.0_lower,data_noise_weight_1.5_mean,data_noise_weight_1.5_upper,data_noise_weight_1.5_lower
0,8.797659301757813,8.806967726370113,8.788350877145513,8.796938228607178,8.807647954853309,8.786228502361048,8.805422115325928,8.817491728551632,8.793352502100225,8.819164752960205,8.83322056608938,8.80510893983103
1,7.665474700927734,7.673402066575417,7.657547335280052,7.656667613983155,7.664322198595981,7.6490130293703285,7.678981304168701,7.686309870142244,7.671652738195158,7.71768627166748,7.728257812536989,7.707114730797971
2,6.721039867401123,6.7324092358161485,6.709670498986097,6.712988805770874,6.725239570757844,6.700738040783905,6.748141193389893,6.762290438270497,6.7339919485092885,6.807745885848999,6.826322960531596,6.789168811166403
3,5.954517507553101,5.964927443754616,5.944107571351586,5.950588369369507,5.961564795307588,5.9396119434314265,5.999402570724487,6.014013784292643,5.984791357156332,6.092816781997681,6.110585208885711,6.075048355109651
4,5.291110372543335,5.30592698693031,5.276293758156359,5.2910247325897215,5.3045000028079805,5.2775494623714625,5.363544034957886,5.378295064528201,5.34879300538757,5.487508296966553,5.507089357746567,5.467927236186538
5,4.730517101287842,4.742109735273982,4.718924467301702,4.738770484924316,4.750211305222004,4.7273296646266285,4.830568408966064,4.842755083969866,4.818381733962262,4.993782186508179,5.0100656821412235,4.977498690875135
6,4.247768068313599,4.258951881864795,4.236584254762403,4.2646397113800045,4.275456669123475,4.253822753636534,4.374447059631348,4.386210894032464,4.362683225230231,4.570334243774414,4.58503611302556,4.555632374523268
7,3.833823561668396,3.8415657324209342,3.8260813909158577,3.8557857990264894,3.863111237357176,3.8484603606958028,3.987562966346741,3.994715286962489,3.9804106457309927,4.222603607177734,4.235169072382149,4.210038141973319
8,3.4645350694656374,3.4722866552340843,3.4567834836971905,3.490526533126831,3.49817043582997,3.4828826304236924,3.6371604919433596,3.64488985780115,3.629431126085569,3.9092777490615847,3.9214462507078114,3.897109247415358
9,3.1409783601760863,3.1486110336615365,3.133345686690636,3.1718857288360596,3.1808852259679554,3.1628862317041637,3.336915159225464,3.343512380090834,3.3303179383600936,3.6384777069091796,3.6490530008219633,3.627902412996396
10,2.856451678276062,2.8647463009720404,2.8481570555800833,2.8926766872406007,2.902093636296391,2.8832597381848104,3.068854546546936,3.077104487657705,3.060604605436167,3.398649978637695,3.4117953616892773,3.385504595586113
11,2.6083840847015383,2.617755871881205,2.5990122975218717,2.6493613958358764,2.6609222203327145,2.6378005713390382,2.8430514335632324,2.8541895357779374,2.8319133313485274,3.1981700897216796,3.2131069815582514,3.183233197885108
12,2.3868232011795043,2.3961887398031285,2.37745766255588,2.4330920934677125,2.4452127670608284,2.4209714198745966,2.6418635129928587,2.6548146870474945,2.628912338938223,3.027861309051514,3.0455643740189196,3.010158244084108
13,2.192756462097168,2.2047669243792565,2.180745999815079,2.2455843687057495,2.2591222754083473,2.2320464620031517,2.4700909852981567,2.4856996895669816,2.454482281029332,2.8841870784759522,2.9045794351637597,2.8637947217881448
14,2.020590436458588,2.0331175693643226,2.008063303552853,2.07338342666626,2.087766415702703,2.0590004376298165,2.312445878982544,2.3283882846834207,2.296503473281667,2.7517123460769652,2.772664255985827,2.7307604361681035
15,1.8632626295089723,1.8738735192313052,1.8526517397866393,1.9220151782035828,1.934464447587911,1.9095659088192547,2.17193284034729,2.1860459840030657,2.157819696691514,2.631427836418152,2.6504665805723437,2.6123890922639603
16,1.729050588607788,1.7388049301691628,1.7192962470464133,1.7922244906425475,1.801436428407687,1.7830125528774081,2.0543042182922364,2.0669378777622796,2.0416705588221933,2.5430973052978514,2.558472601903174,2.5277220086925287
17,1.6041673302650452,1.6137749003553077,1.5945597601747827,1.6704427480697632,1.6796730748405282,1.6612124212989983,1.9474185347557067,1.9592262134578002,1.9356108560536132,2.458076763153076,2.4735178885728355,2.4426356377333165
18,1.485403800010681,1.4961279887630472,1.474679611258315,1.5553006529808044,1.566196356593023,1.5444049493685859,1.8446171522140502,1.8583678425101704,1.83086646191793,2.3745826721191405,2.3941450433944955,2.3550203008437856
19,1.3772194504737854,1.3873775144745502,1.3670613864730206,1.4507344484329223,1.4603394153245408,1.4411294815413038,1.752599835395813,1.764869928566765,1.740329742224861,2.3008323192596434,2.3177767884114213,2.2838878501078654
20,1.279242467880249,1.2895065327099977,1.2689784030505002,1.3540080904960632,1.3639814883642327,1.3440346926278937,1.6674294233322144,1.6801382075268927,1.6547206391375362,2.233360004425049,2.248874945717232,2.217845063132866
21,1.1935234189033508,1.2033414494040178,1.1837053884026838,1.2727588772773744,1.2818476540309038,1.2636701005238449,1.6005472421646119,1.6133486111260675,1.5877458732031562,2.1766183376312256,2.192150712963863,2.1610859622985883
22,1.1171616196632386,1.1269961155363861,1.107327123790091,1.1993635058403016,1.2086400114523321,1.190087000228271,1.5374715328216553,1.5508132960161918,1.5241297696271188,2.1323012351989745,2.148329189980205,2.116273280417744
23,1.0477773249149323,1.0582059190877156,1.037348730742149,1.1324041485786438,1.142497955863466,1.1223103412938216,1.4821617126464843,1.4936935244799356,1.470629900813033,2.092735838890076,2.1091110113079368,2.076360666472215
24,0.9837891459465027,0.9934773859790563,0.974100905913949,1.0698143601417542,1.0794763795939457,1.0601523406895628,1.4293725490570068,1.4406567573802131,1.4180883407338005,2.05737282037735,2.0732638545847433,2.041481786169957
25,0.9236226320266724,0.9342199356007255,0.9130253284526193,1.0140114963054656,1.0251387627419335,1.0028842298689977,1.3795705437660217,1.3924775302762025,1.366663557255841,2.0116300344467164,2.027392111890981,1.995867957002452
26,0.870150750875473,0.8807595251367737,0.8595419766141723,0.9627345383167267,0.9726846807426535,0.9527843958908,1.3352533340454102,1.3470776714782056,1.323428996612615,1.9781546592712402,1.9904131143351116,1.9658962042073689
27,0.8237058281898498,0.8330489676397748,0.8143626887399249,0.9208067059516907,0.9299511132357143,0.911662298667667,1.2986545324325562,1.310099138865607,1.2872099259995056,1.956799030303955,1.9703461952833807,1.9432518653245294
28,0.7805104970932006,0.7898871589507936,0.7711338352356076,0.8791167497634887,0.8879980007640416,0.8702354987629359,1.2671054005622864,1.2781643014480417,1.256046499676531,1.9347323179244995,1.9491365187408425,1.9203281171081565
29,0.7400106906890869,0.7497545559890941,0.7302668253890796,0.8413984537124634,0.8511815871213314,0.8316153203035953,1.237459909915924,1.2486456868255782,1.2262741330062699,1.9187137365341187,1.9322835996489058,1.9051438734193316
30,0.7074709355831146,0.7159022538287177,0.6990396173375114,0.811836451292038,0.8198946974144045,0.8037782051696715,1.2163296222686768,1.2260237874582343,1.2066354570791193,1.9038330674171449,1.9180165470277262,1.8896495878065636
31,0.6749500036239624,0.6826704347648853,0.6672295724830395,0.7812905073165893,0.788635222346017,0.7739457922871616,1.1886680483818055,1.1989604904194464,1.1783756063441646,1.8836059808731078,1.8976570746434926,1.869554887102723
32,0.6436263680458069,0.6514862602537076,0.6357664758379061,0.7495887577533722,0.7566219505151486,0.7425555649915958,1.1601110100746155,1.17004135165082,1.150180668498411,1.8601385951042175,1.8738004684564196,1.8464767217520155
33,0.6129554748535156,0.6201794868588515,0.6057314628481798,0.7195420503616333,0.7258872890244505,0.7131968116988161,1.1351378798484801,1.1428175737522237,1.1274581859447366,1.8442487120628357,1.8544622431222966,1.8340351810033748
34,0.5834218025207519,0.5905790213592601,0.5762645836822438,0.6943677723407745,0.7005371142292229,0.6881984304523261,1.1151559829711915,1.1226160341952856,1.1076959317470974,1.8273245096206665,1.8371250416504727,1.8175239775908603
35,0.5589648902416229,0.5665179763391401,0.5514118041441056,0.6706597983837128,0.6777712576101265,0.6635483391572992,1.0951194763183594,1.1037590098263306,1.0864799428103882,1.812441599369049,1.8260404555976713,1.7988427431404268
36,0.5359310507774353,0.5433991779756114,0.5284629235792592,0.6497446596622467,0.6573591337056729,0.6421301856188205,1.075705313682556,1.0848863629655212,1.066524264399591,1.7983615398406982,1.8119799641798493,1.7847431155015472
37,0.5098983734846115,0.5171613416812391,0.502635405287984,0.6247108936309814,0.6315180665824139,0.6179037206795489,1.0574819684028625,1.0659384949884267,1.0490254418172982,1.7809150695800782,1.7923256636869607,1.7695044754731957
38,0.48567637503147126,0.4924803226485921,0.47887242741435043,0.601443886756897,0.6081512464684706,0.5947365270453233,1.0386279106140137,1.047789042514064,1.0294667787139635,1.7640971302986146,1.7751709519203964,1.7530233086768328
39,0.4666116237640381,0.47188868111981525,0.4613345664082609,0.5823941648006439,0.5870807466716119,0.5777075829296758,1.0198763132095336,1.0273421146417834,1.012410511777284,1.7505923867225648,1.7595124085236489,1.7416723649214807
40,0.45221611857414246,0.4583582958084728,0.4460739413398121,0.5688322126865387,0.5748044655000321,0.5628599598730454,1.0103391408920288,1.0187242292472045,1.001954052536853,1.746331512928009,1.7568781373313134,1.7357848885247047
41,0.4351761758327484,0.4407056656040566,0.42964668606144024,0.554107391834259,0.5601374025374051,0.548077381131113,0.9969720602035522,1.0057093841550278,0.9882347362520767,1.735513198375702,1.7463070032915653,1.7247193934598386
42,0.419617173075676,0.425161736794379,0.41407260935697293,0.5379026174545288,0.5437694205908823,0.5320358143181754,0.9817584991455078,0.9909311877629763,0.9725858105280394,1.7174218773841858,1.7288619956716602,1.7059817590967115
