iter,data_noise_weight_0.1_mean,data_noise_weight_0.1_upper,data_noise_weight_0.1_lower,data_noise_weight_0.5_mean,data_noise_weight_0.5_upper,data_noise_weight_0.5_lower,data_noise_weight_1.0_mean,data_noise_weight_1.0_upper,data_noise_weight_1.0_lower,data_noise_weight_1.5_mean,data_noise_weight_1.5_upper,data_noise_weight_1.5_lower
0,140.6429455713289,141.09562389820476,140.19026724445305,144.64955331951626,145.03952239822948,144.25958424080304,155.09140976588046,155.56510899944695,154.61771053231396,172.30628012499102,172.84721187260521,171.76534837737682
1,137.70212811950898,138.21123541101284,137.19302082800513,141.866616699555,142.42707657506497,141.30615682404505,151.46533818628504,152.09603247322,150.83464389935008,169.65177705310867,170.09488323203857,169.20867087417878
2,135.0365354517847,135.72514724841926,134.3479236551501,138.89180395067572,139.51894372665038,138.26466417470107,148.63241836755097,149.4265598394279,147.83827689567403,166.06094342334956,166.72065789606248,165.40122895063664
3,133.59502151758824,133.92593581778743,133.26410721738904,135.80147280195806,136.36802735985276,135.23491824406335,146.38857382638574,146.97733388047314,145.79981377229834,162.73322324954952,163.29590775844218,162.17053874065687
4,130.36087014024065,131.04574044008763,129.67599984039367,134.25903414473623,135.019734046061,133.49833424341148,143.63341639719155,144.27145110522477,142.99538168915834,160.41791717251834,161.16446470301955,159.67136964201714
5,127.78951740913394,128.3681316301379,127.21090318812996,131.86426274262107,132.4486375159937,131.27988796924842,142.2575093270173,142.8425519613088,141.67246669272578,158.77648958921253,159.66466396051607,157.888315217909
6,126.15211299468919,126.74428644527092,125.55993954410746,130.52033690039514,131.04094398880025,129.99972981199002,139.73334851167738,140.25539194846985,139.2113050748849,156.2848090139716,157.0932959870699,155.4763220408733
7,124.67178319571494,125.22444176818482,124.11912462324506,128.3246792165416,128.99114707550865,127.65821135757456,137.89302807535472,138.44218887479815,137.3438672759113,154.05033403680835,154.80034929100322,153.3003187826135
8,122.62899028687016,122.92748716640025,122.33049340734007,127.5130223614801,128.15334657624774,126.87269814671245,136.94831627455738,137.56087537725475,136.33575717186002,153.20481290805486,153.9126795494355,152.49694626667423
9,120.83791485344359,121.19378125432048,120.4820484525667,125.42972166474019,125.76641278002586,125.09303054945451,135.4540313996592,136.35344779905466,134.5546150002637,151.42265960254437,152.01538840499495,150.8299308000938
10,119.4822869722876,119.91119992012469,119.0533740244505,124.74022397941458,124.92929405661002,124.55115390221914,134.17099371476166,134.7902730757521,133.55171435377122,149.71034764955306,150.5658222833854,148.85487301572073
11,118.4815083941423,118.82728522139476,118.13573156688983,123.04191545647537,123.47896775120729,122.60486316174344,132.77367921008963,133.66343643468284,131.8839219854964,147.81551755957977,148.53570627518096,147.0953288439786
12,117.6517094813873,117.94466129639538,117.35875766637922,121.8547676287171,122.26717391800078,121.44236133943342,131.67156394628674,132.24908239295988,131.0940454996136,146.99926735654975,148.0273852185672,145.9711494945323
13,116.02745350525417,116.30351555001234,115.75139146049601,120.58335495115382,121.04899435595344,120.1177155463542,130.78603055332889,131.60276354995528,129.9692975567025,146.1756298107731,147.09511509236143,145.25614452918478
14,115.74327958574452,116.1859436347984,115.30061553669063,120.07561127055854,120.45777646402779,119.69344607708929,129.57686037459973,130.24877650351888,128.90494424568058,145.6940250773289,146.61159939957884,144.77645075507894
15,115.31732646130467,115.88214054404334,114.75251237856601,119.16389266468552,119.5438689090598,118.78391642031124,128.7642161247394,129.45750377461528,128.0709284748635,144.28278251980132,145.15863366632948,143.40693137327315
16,113.46770002853263,113.97611273954608,112.95928731751918,118.33411241083948,118.65212707688154,118.01609774479742,127.41425711819977,128.00948390750415,126.81903032889541,142.83303616505768,143.59074315375943,142.07532917635592
17,113.29461258738607,113.72315866701662,112.86606650775552,117.67924340478196,118.0216824757354,117.33680433382851,127.17454553761533,127.677596032607,126.67149504262366,142.8061327543297,143.4081656478266,142.2040998608328
18,112.87423506730515,113.2811689763777,112.4673011582326,116.395648824753,116.81751600847235,115.97378164103364,125.81037206937285,126.1840812901262,125.43666284861949,142.4490383026422,143.39059427813072,141.5074823271537
