iter,algo_R_local_0.0_mean,algo_R_local_0.0_upper,algo_R_local_0.0_lower,algo_R_local_1.0_mean,algo_R_local_1.0_upper,algo_R_local_1.0_lower,algo_R_local_3.0_mean,algo_R_local_3.0_upper,algo_R_local_3.0_lower,algo_R_local_5.0_mean,algo_R_local_5.0_upper,algo_R_local_5.0_lower
0,9.61679744720459,9.623359534324774,9.610235360084406,9.255861759185791,9.26269701742951,9.249026500942072,8.61429386138916,8.620506879249106,8.608080843529216,8.06226568222046,8.068498074757182,8.056033289683738
1,9.09424180984497,9.100345749546829,9.088137870143111,8.442730903625488,8.44843812039168,8.437023686859296,7.406239795684814,7.41122793983958,7.401251651530049,6.622204685211182,6.626927691481247,6.617481678941117
2,8.595950317382812,8.603810516001717,8.588090118763906,7.71639723777771,7.723264858466281,7.70952961708914,6.446901082992554,6.452528962880409,6.441273203104698,5.587617540359497,5.5926566432581275,5.582578437460867
3,8.132456302642822,8.141284854160919,8.123627751124726,7.073999309539795,7.081439349379575,7.066559269700016,5.674284791946411,5.680331415152845,5.668238168739976,4.813874769210815,4.819387151865736,4.808362386555895
4,7.699489593505859,7.707263238279605,7.691715948732114,6.502900791168213,6.509388041224671,6.496413541111755,5.043988990783691,5.049404636382413,5.038573345184969,4.215093898773193,4.220148495127075,4.210039302419311
5,7.2911293506622314,7.298395553489089,7.2838631478353735,5.987433052062988,5.993580071078892,5.981286033047084,4.518120336532593,4.5234625454954545,4.512778127569731,3.734762716293335,3.739829529790048,3.7296959027966214
6,6.904285192489624,6.91048393844242,6.898086446536828,5.522641372680664,5.527899595474898,5.51738314988643,4.071629619598388,4.076836669291231,4.066422569905546,3.3392070293426515,3.3444879204424467,3.333926138242856
7,6.541592264175415,6.54825252529792,6.534932003052911,5.103316879272461,5.108613257709938,5.098020500834983,3.6898148536682127,3.6942357086591926,3.685393998677233,3.0087187767028807,3.0138274846360438,3.0036100687697176
8,6.20475401878357,6.213146182675711,6.196361854891428,4.727122116088867,4.732688746325691,4.721555485852043,3.360398030281067,3.364614605234762,3.356181455327372,2.7284199476242064,2.733700847602972,2.7231390476454407
9,5.8806946754455565,5.888209372766355,5.873179978124758,4.381790685653686,4.386636806193723,4.37694456511365,3.069871759414673,3.073405080508708,3.066338438320638,2.4837827920913695,2.488148378383089,2.47941720579965
10,5.5781646251678465,5.584655347044666,5.571673903291027,4.069982242584229,4.073852278486537,4.06611220668192,2.8152502536773683,2.8186699057586186,2.811830601596118,2.2701834201812745,2.273846189470673,2.266520650891876
11,5.292566585540771,5.29864606660545,5.286487104476093,3.7843372344970705,3.788438041193784,3.780236427800357,2.5905382871627807,2.5944131947521454,2.586663379573416,2.084484910964966,2.087964058921484,2.0810057630084478
12,5.021388149261474,5.027525179925111,5.0152511185978375,3.521389532089233,3.5260770706323448,3.5167019935461217,2.388833785057068,2.3924602905781045,2.385207279536031,1.9192060589790345,1.9227869472883983,1.9156251706696708
13,4.765165948867798,4.77143990378852,4.758891993947077,3.282493233680725,3.287338165399118,3.277648301962332,2.2080792665481566,2.2116597202321575,2.2044988128641556,1.771621036529541,1.7751913527818748,1.7680507202772073
14,4.52508773803711,4.530896092420963,4.519279383653257,3.0639528036117554,3.068319773633432,3.059585833590079,2.0468695402145385,2.0502509896793635,2.0434880907497135,1.6399949669837952,1.6434231328765618,1.6365668010910286
15,4.296570062637329,4.301660301036633,4.291479824238025,2.862865948677063,2.8667920461397722,2.8589398512143536,1.8992656469345093,1.9023663057637354,1.8961649881052831,1.5219791889190675,1.5252801343375277,1.5186782435006072
16,4.08256688117981,4.08737445213279,4.0777593102268295,2.6771843433380127,2.6810571470160176,2.673311539660008,1.7652920246124268,1.7682611307476437,1.76232291847721,1.4139733910560608,1.417084405288733,1.4108623768233886
17,3.879296970367432,3.8848043416992804,3.8737895990355833,2.5057984352111817,2.510039816156642,2.5015570542657213,1.6444097995758056,1.6470791571313372,1.641740442020274,1.3161555886268617,1.318908841541925,1.3134023357117983
18,3.687906861305237,3.6942022712170015,3.681611451393472,2.3471503257751465,2.351401832582301,2.342898818967992,1.5332091569900512,1.536157559630122,1.5302607543499804,1.228105080127716,1.230676131833803,1.225534028421629
19,3.5089524269104,3.514194963696758,3.503709890124042,2.2003815889358522,2.204393394584851,2.1963697832868534,1.4316518306732178,1.43466183432058,1.4286418270258556,1.1470116138458253,1.1493931762384262,1.1446300514532244
20,3.3385668754577638,3.3442740468865413,3.3328597040289862,2.0643163442611696,2.0675821314516787,2.0610505570706605,1.3377920866012574,1.3405900601310814,1.3349941130714333,1.0729790687561036,1.0754873261969986,1.0704708113152086
21,3.178192663192749,3.184029135866553,3.172356190518945,1.9375748991966248,1.940420854875503,1.9347289435177466,1.2511935353279113,1.2535716652721653,1.2488154053836573,1.0056781947612763,1.0077722937388813,1.0035840957836712
22,3.0237972497940064,3.029538948663651,3.018055550924362,1.8194556474685668,1.8221164380096937,1.81679485692744,1.1717348575592041,1.173937862866182,1.1695318522522262,0.9441555798053741,0.9460088934281768,0.9423022661825714
23,2.879903531074524,2.885728412006036,2.8740786501430122,1.710921621322632,1.7134791378398817,1.7083641048053821,1.0982024431228639,1.1001041079677731,1.0963007782779546,0.886941796541214,0.8887458746190747,0.8851377184633532
24,2.739968109130859,2.7454151311118307,2.7345210871498877,1.6088484287261964,1.6113795382220706,1.6063173192303222,1.0309892416000366,1.0328464986386765,1.0291319845613967,0.8348172068595886,0.8364793896078611,0.8331550241113161
25,2.609310245513916,2.6141456975840804,2.6044747934437518,1.514175248146057,1.5166381208255544,1.5117123754665598,0.9689249157905578,0.9707336765733208,0.9671161550077949,0.7873471856117249,0.7887255238419255,0.7859688473815243
