iter,data_n_features_2.0_mean,data_n_features_2.0_upper,data_n_features_2.0_lower,data_n_features_10.0_mean,data_n_features_10.0_upper,data_n_features_10.0_lower,data_n_features_50.0_mean,data_n_features_50.0_upper,data_n_features_50.0_lower,data_n_features_100.0_mean,data_n_features_100.0_upper,data_n_features_100.0_lower
0,5.489017057418823,5.506856383848456,5.47117773098919,9.61679744720459,9.623359534324774,9.610235360084406,7.885903263092041,7.8908963277646995,7.880910198419383,8.713681316375732,8.71899930577958,8.708363326971885
1,4.9510832786560055,4.9684131415659785,4.9337534157460325,9.09424180984497,9.100345749546829,9.088137870143111,7.533143806457519,7.54000097833922,7.526286634575818,8.393040657043457,8.398437087322487,8.387644226764428
2,4.468210601806641,4.482148706072628,4.454272497540654,8.595950317382812,8.603810516001717,8.588090118763906,7.205020236968994,7.212525385150256,7.197515088787732,8.102812099456788,8.107537472055448,8.098086726858128
3,4.04319167137146,4.055649168042591,4.030734174700329,8.132456302642822,8.141284854160919,8.123627751124726,6.8972124576568605,6.905180516579931,6.88924439873379,7.842023229598999,7.850409297989769,7.8336371612082285
4,3.655911159515381,3.665482798628959,3.646339520401803,7.699489688873291,7.707263310349875,7.691716067396706,6.601367378234864,6.6072788555480555,6.595455900921672,7.592012596130371,7.598163715327724,7.585861476933019
5,3.3082762241363524,3.3153256450698017,3.301226803202903,7.291129398345947,7.298395609975524,7.283863186716371,6.331221055984497,6.336659784103039,6.325782327865955,7.351666402816773,7.357540048913881,7.345792756719664
6,2.9993747234344483,3.006310759524637,2.9924386873442597,6.904285192489624,6.91048393844242,6.898086446536828,6.0795433044433596,6.085498999672837,6.073587609213882,7.138238573074341,7.145857980967028,7.130619165181654
7,2.719704270362854,2.7264632538573217,2.7129452868683863,6.541592311859131,6.548252557850647,6.534932065867615,5.849964952468872,5.856338888497956,5.843591016439787,6.949167251586914,6.956637220604653,6.941697282569175
8,2.4678094387054443,2.4754078255532224,2.4602110518576663,6.204754066467285,6.213146205101449,6.196361927833122,5.6313018798828125,5.637949629740176,5.624654130025449,6.770364665985108,6.780060491895026,6.76066884007519
9,2.240384554862976,2.2478242019852592,2.232944907740693,5.8806946754455565,5.888209372766355,5.873179978124758,5.4295995235443115,5.436841796087841,5.422357251000782,6.608883619308472,6.618145336285718,6.599621902331226
