iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_bn_calibration
0,1.857476477821668,0.3400859832763672,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
1,1.5149344851573308,0.42236894369125366,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
2,1.4423448294401169,0.4390256106853485,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
3,1.2657762914896011,0.4846437871456146,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
4,1.1306556016206741,0.5215586423873901,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
5,1.0749601945281029,0.5308123230934143,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
6,1.004944883286953,0.5416666269302368,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
7,0.9605538149674734,0.5489696264266968,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
8,0.9011425400773684,0.558923602104187,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
9,0.8528423185149828,0.5635753870010376,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
10,0.8108517254392306,0.5688275694847107,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
11,0.7653546382983526,0.5741296410560608,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
12,0.7338185633222262,0.5769307613372803,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
13,0.6982500577966372,0.5800319910049438,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
14,0.6739695221185684,0.5817826986312866,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
15,0.6347011998295784,0.5858343243598938,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
16,0.6048304513096809,0.5876850485801697,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
17,0.5765707480410734,0.5894358158111572,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
18,0.5504789464175701,0.5899859666824341,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
19,0.5241491012275219,0.5943878293037415,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
20,0.4939406290650368,0.595588207244873,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
21,0.47455254942178726,0.5952881574630737,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
22,0.4573430580397447,0.5963385105133057,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
23,0.4306188424428304,0.5985394716262817,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
24,0.4113376724223296,0.5993897318840027,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
25,0.394185076157252,0.6006402373313904,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
26,0.3738590826590856,0.602040708065033,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
27,0.3571938599149386,0.6026910543441772,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
28,0.3404169424126546,0.6027911305427551,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
29,0.3236005852619807,0.6031912565231323,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,23,30,10,2
