iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_mu,algo_bn_calibration
0,1.8075314462184906,0.34387505054473877,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
1,1.5660647948582966,0.4020000100135803,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
2,1.5222434053818386,0.4120001196861267,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
3,1.396547829111417,0.4424166679382324,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
4,1.2868331621090572,0.46158334612846375,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
5,1.2059743503729503,0.4811667203903198,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
6,1.1219660093386967,0.49275004863739014,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
7,1.0375400831302006,0.5090000629425049,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
8,1.0028482899069786,0.5099167823791504,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
9,0.9349491273363432,0.5211250185966492,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
10,0.8967083742221197,0.5255417823791504,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
11,0.8438642422358195,0.531749963760376,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
12,0.8009674077232679,0.5370833873748779,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
13,0.7728337620695432,0.5376667976379395,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
14,0.7338282515605291,0.5415000319480896,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
15,0.7054251904288927,0.5433334112167358,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
16,0.6573900853594145,0.5473333597183228,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
17,0.6235135222474734,0.549750030040741,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
18,0.6052258138855299,0.5501668453216553,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
19,0.5740196692446867,0.5510417819023132,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
20,0.5377652794122696,0.5542500615119934,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
21,0.514249944438537,0.5544999837875366,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
22,0.49423112347722054,0.5537500381469727,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
23,0.470328771819671,0.5575000643730164,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
24,0.44145569453636807,0.5587500333786011,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
25,0.41920187696814537,0.5590000152587891,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
26,0.40378888323903084,0.5605834126472473,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
27,0.37521449476480484,0.5609166622161865,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
28,0.3573894302050273,0.5626667141914368,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
29,0.345270578439037,0.5619584321975708,24,3,500,1000,10,"(3, 32, 32)",10,0.03,0.99,23,30,10,0.01,3
