iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_S,algo_R,algo_R_local,algo_bn_calibration
0,1.7008065829674404,0.37494999170303345,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
1,1.3687861015399296,0.4446278512477875,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
2,1.2307209620873134,0.47418972849845886,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
3,1.095700537165006,0.4974989593029022,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
4,0.9950859397649765,0.5088034868240356,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
5,0.8813575555880865,0.5233593583106995,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
6,0.8113673577706019,0.5339135527610779,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
7,0.7460442185401917,0.5369147658348083,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
8,0.6506696306169033,0.5452680587768555,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
9,0.6064619186023871,0.5461685061454773,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
10,0.5475199669599533,0.5499700307846069,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
11,0.4732783380895853,0.5570226907730103,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
12,0.44262977006534737,0.5579231977462769,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
13,0.4008584711700678,0.5591236352920532,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
14,0.36638663336634636,0.5604241490364075,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
15,0.33315917011350393,0.564125657081604,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
16,0.32337397957841557,0.5620747804641724,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
17,0.27401361676553887,0.566776692867279,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
18,0.24531013844534755,0.5691276788711548,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
19,0.23108656704425812,0.5684773921966553,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
20,0.2108337925747037,0.5694277286529541,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
21,0.18288136459887028,0.5728791952133179,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
22,0.16729137084136406,0.5724289417266846,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
23,0.15908555150963366,0.5693777799606323,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
24,0.135575284405301,0.5703781843185425,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
25,0.12927112899099788,0.5740796327590942,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
26,0.11427611019462347,0.573379397392273,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
27,0.10012084005090098,0.5753301382064819,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
28,0.09417761280201375,0.5745298266410828,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
29,0.09243317041546106,0.5752800703048706,24,2,500,1000,5,"(3, 32, 32)",10,0.03,0.99,2,23,30,10,2
