iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,0.7239328523476919,0.4477083384990692,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
1,0.30061651083330315,0.486875057220459,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
2,0.1553370375186205,0.5040000677108765,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
3,0.13428330731888613,0.5130833387374878,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
4,0.07172085189570983,0.5189583897590637,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
5,0.06208948573718468,0.5225833654403687,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
6,0.05925050765896837,0.5275834202766418,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
7,0.028741332624728482,0.5316250920295715,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
8,0.04134586110012606,0.5358333587646484,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
9,0.024346457231634606,0.5348750352859497,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
10,0.052359145445128284,0.5347917079925537,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
11,0.02540802380341726,0.5444999933242798,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
12,0.017358697262049343,0.5425834655761719,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
13,0.022885243971055996,0.5452916622161865,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
14,0.014447883217750737,0.5464999675750732,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
15,0.017073107960944373,0.5472084283828735,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
16,0.0216021725985532,0.5503750443458557,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
17,0.031571807373741954,0.5471667051315308,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
18,0.019761943869525567,0.5516667366027832,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
19,0.010436846253772577,0.5546249747276306,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
20,0.012677832533275554,0.5554583072662354,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
21,0.008468700366696188,0.5571250915527344,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
22,0.010153220103044683,0.5573750734329224,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
23,0.01871194824828611,0.5612083673477173,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
24,0.014371507063818475,0.5582916736602783,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
25,0.0024389056513124765,0.5600000619888306,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
26,0.009705627574779404,0.561916708946228,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
27,0.012524579901461644,0.5614583492279053,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
28,0.01632877844531322,0.5630000829696655,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
29,0.0026927500924405954,0.5647916793823242,24,3,500,1000,10,"(3, 32, 32)",10,0.01,0.99,12,30,10
