iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_lmbd
0,0.6881852460404237,0.3563750684261322,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
1,0.12859563870976368,0.4078333079814911,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
2,0.044419730392595135,0.4203750491142273,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
3,0.02490685406761865,0.42458340525627136,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
4,0.0174850868837287,0.4243333041667938,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
5,0.01317789409464846,0.42620837688446045,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
6,0.010600506560876966,0.4282500743865967,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
7,0.00886612837590898,0.42854171991348267,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
8,0.00760196956495444,0.4282917380332947,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
9,0.006805974252832432,0.42929166555404663,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
10,0.006143631762824953,0.4310000538825989,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
11,0.0055113636966173845,0.43204164505004883,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
12,0.005015096374942611,0.43258342146873474,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
13,0.004711108243403335,0.4336667060852051,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
14,0.00432127090365005,0.4348333775997162,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
15,0.0041178805598368244,0.43541669845581055,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
16,0.0038357528004174433,0.4357917010784149,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
17,0.003644910699222237,0.43662506341934204,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
18,0.0034464930455821254,0.43691667914390564,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
19,0.003274448885349557,0.4383750855922699,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
20,0.003127835526053483,0.43866676092147827,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
21,0.003013492280539746,0.44058334827423096,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
22,0.002895063099761804,0.44075000286102295,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
23,0.002751602752444645,0.4420417249202728,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
24,0.0026917115416533,0.44300001859664917,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
25,0.002586637419881299,0.44312506914138794,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
26,0.0025112869237394384,0.4441249966621399,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
27,0.0024395523165973523,0.44454169273376465,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
28,0.002344079160441955,0.4453333616256714,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
29,0.002307219634531066,0.4452917277812958,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.01,0.99,30,10,0.01
