iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_lmbd
0,0.6759344413876534,0.34691664576530457,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
1,0.022917214082553983,0.4267084002494812,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
2,0.010348924047624072,0.4342500567436218,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
3,0.007183697811948757,0.43554162979125977,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
4,0.0060902857027637465,0.4383333921432495,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
5,0.0048893601827633875,0.4439583718776703,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
6,0.004355296997042994,0.44595834612846375,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
7,0.0040181135991588235,0.4505416750907898,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
8,0.0036718901828862727,0.45220839977264404,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
9,0.0034613447302641966,0.45620834827423096,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
10,0.00322448832836623,0.4607500433921814,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
11,0.0030517602184166512,0.46391671895980835,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
12,0.0029053833762494228,0.46795833110809326,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
13,0.0027589687573102615,0.4720000624656677,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
14,0.0026523012396258614,0.47595834732055664,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
15,0.0025326545098020383,0.47991663217544556,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
16,0.002414706483250484,0.4829583168029785,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
17,0.002287252660607919,0.48591670393943787,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
18,0.0022030818654457107,0.4892916679382324,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
19,0.0021200000192038715,0.49254167079925537,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
20,0.001970115481526591,0.4967500567436218,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
21,0.001886852953854638,0.5002917051315308,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
22,0.0018310344845910247,0.5034583806991577,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
23,0.00173650915773275,0.5060833692550659,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
24,0.001661965861179245,0.5081666707992554,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
25,0.001604450788969795,0.5105416774749756,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
26,0.001547914813272655,0.515125036239624,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
27,0.0014609695208491758,0.5161666870117188,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
28,0.0014092713002658759,0.5190000534057617,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
29,0.0013262334299118568,0.5219167470932007,24,4,500,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
