iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_lmbd
0,0.6458357560137907,0.34933337569236755,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
1,0.020451803303634126,0.42516666650772095,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
2,0.007944649803296974,0.42725008726119995,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
3,0.004664055925483505,0.42854171991348267,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
4,0.0032305600955927125,0.42854171991348267,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
5,0.002472931247514983,0.42995843291282654,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
6,0.0019944903518383703,0.4296250343322754,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
7,0.0016711615511061002,0.42954176664352417,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
8,0.0014106401019186403,0.4307083785533905,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
9,0.0012161087167138855,0.4309167265892029,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
10,0.0010871380363823846,0.4299583435058594,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
11,0.0009780008573822367,0.42991670966148376,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
12,0.0008739356999285519,0.43000003695487976,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
13,0.0008029611126403324,0.429958313703537,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
14,0.000732910261528256,0.42991670966148376,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
15,0.0006781181048912307,0.4294584393501282,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
16,0.0006281510140979663,0.429291695356369,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
17,0.0005879540209813664,0.43037497997283936,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
18,0.000548796342627611,0.4307917058467865,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
19,0.0005209704371130405,0.42995840311050415,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
20,0.00048660445463610813,0.42991673946380615,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
21,0.00046649739912633475,0.4305834174156189,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
22,0.00043428850525136414,0.43100008368492126,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
23,0.0004221639186046862,0.4307083487510681,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
24,0.00039952125007403083,0.43012499809265137,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
25,0.00038544292086347315,0.4303750693798065,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
26,0.0003683044172551793,0.43162497878074646,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
27,0.0003593176722157902,0.4307084083557129,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
28,0.00033874692356524366,0.43133336305618286,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
29,0.00032801918738793273,0.4308333396911621,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
