iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_mu
0,2.0106088370084763,0.2824167013168335,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
1,1.8088404287894566,0.327666699886322,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
2,1.8124276796976726,0.32575005292892456,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
3,1.5922002792358398,0.37833333015441895,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
4,1.511639694372813,0.3892916440963745,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
5,1.4143961519002914,0.40554165840148926,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
6,1.401967431108157,0.40108340978622437,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
7,1.3126410047213237,0.4152916669845581,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
8,1.234942153096199,0.42112505435943604,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
9,1.2097466339667637,0.4191666841506958,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
10,1.1226337899764378,0.4311249852180481,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
11,1.0935347552100818,0.42770838737487793,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
12,1.0178773726026218,0.43829160928726196,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
13,1.0077109535535176,0.4335833489894867,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
14,0.9615645408630371,0.437583327293396,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
15,0.9177965546647707,0.4414583146572113,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
16,0.8774484271804491,0.4412500262260437,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
17,0.8371026987830797,0.44458335638046265,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
18,0.802969346443812,0.44675010442733765,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
19,0.764344242711862,0.44766664505004883,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
20,0.7378901466727257,0.44716668128967285,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
21,0.7151900753378868,0.44579172134399414,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
22,0.6731466005245844,0.4488334059715271,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
23,0.6558580125371615,0.44950002431869507,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
24,0.6195255269606909,0.4512501358985901,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
25,0.5927771056691805,0.4514583349227905,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
26,0.5726756726702055,0.4520416855812073,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
27,0.5451502688229084,0.45337504148483276,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
28,0.5217392755051454,0.45458337664604187,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
29,0.50012165432175,0.45454174280166626,24,24,500,1000,0.0,12,"(3, 32, 32)",10,0.03,0.99,30,10,0.0
