iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_mu
0,2.0527823666731515,0.28404170274734497,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
1,1.9159893641869228,0.3098750114440918,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
2,1.843379646539688,0.3238750100135803,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
3,1.7425330529610317,0.35220837593078613,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
4,1.7074916362762451,0.3579583168029785,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
5,1.710594077905019,0.35091668367385864,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
6,1.630322943131129,0.3627083897590637,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
7,1.6269006530443828,0.3711667060852051,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
8,1.542194162805875,0.3888333737850189,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
9,1.4996691197156906,0.40129169821739197,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
10,1.4466679940621059,0.41204172372817993,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
11,1.4298998316129048,0.4100833833217621,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
12,1.4359633326530457,0.3990417420864105,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
13,1.366021732489268,0.4134584069252014,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
14,1.4148991008599598,0.393125057220459,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
15,1.3070187668005626,0.41954168677330017,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
16,1.2913505385319393,0.41741666197776794,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
17,1.3439915776252747,0.392750084400177,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
18,1.2131686856349309,0.4232083559036255,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
19,1.1694385757048924,0.42891669273376465,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
20,1.1478261997302373,0.42750000953674316,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
21,1.1224949806928635,0.42383337020874023,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
22,1.086445006231467,0.43162500858306885,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
23,1.0655337423086166,0.42983338236808777,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
24,1.0677881613373756,0.42116671800613403,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
25,1.0014676849047344,0.4320834279060364,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
26,0.9779063612222672,0.43395838141441345,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
27,0.9717468147476515,0.4316250681877136,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
28,0.9357952997088432,0.43650004267692566,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
29,0.9490168690681458,0.4254167079925537,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
