iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_mu,algo_bn_calibration,algo_dynamic,algo_n_clusters,algo_n_active_clusters,algo_cluster_rotation_freq
0,1.754763349890709,0.391706645488739,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
1,1.4248291701078415,0.4576830565929413,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
2,1.3070851564407349,0.4809923768043518,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
3,1.2289946873982747,0.5015006065368652,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
4,1.1039858385920525,0.5305121541023254,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
5,1.0664126127958298,0.5360144972801208,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
6,0.9683666899800301,0.5551720857620239,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
7,0.9053570230801901,0.5604742169380188,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
8,0.8534819806615511,0.570428192615509,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
9,0.8079518973827362,0.5760804414749146,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
10,0.7670343294739723,0.5819827318191528,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
11,0.7231408779819807,0.5861843824386597,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
12,0.6869344810644785,0.5914366245269775,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
13,0.6460599054892858,0.5930372476577759,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
14,0.6081610855956873,0.5976390242576599,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
15,0.5798250262935957,0.5995898246765137,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
16,0.5534363090991974,0.601190447807312,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
17,0.5230053352812926,0.6038415431976318,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
18,0.49451777835687,0.6058423519134521,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
19,0.4706716450552146,0.606142520904541,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
20,0.4471079458793004,0.6079932451248169,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
21,0.4192643550535043,0.6096938848495483,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
22,0.3995024338364601,0.6116945743560791,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
23,0.3782145790755749,0.6107442378997803,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
24,0.3567500536640485,0.6122449636459351,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
25,0.3386322669684887,0.6144956946372986,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
26,0.31921812271078426,0.615246057510376,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
27,0.3025823663920164,0.6153461337089539,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
28,0.28480313035349053,0.6179472208023071,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
29,0.26911554113030434,0.6170467734336853,24,2,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.0,3,False,2,,1
