iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_mu,algo_bn_calibration,algo_dynamic,algo_n_clusters,algo_n_active_clusters,algo_cluster_rotation_freq
0,2.004349246621132,0.2741096615791321,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
1,1.7426879306634266,0.38610443472862244,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
2,1.6036528547604878,0.43092238903045654,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
3,1.532558560371399,0.4429771602153778,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
4,1.464625969529152,0.4579331576824188,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
5,1.3919160117705662,0.4755402207374573,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
6,1.3555583109458287,0.4798918664455414,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
7,1.2776161680618923,0.4990496039390564,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
8,1.2379546364148457,0.5044017434120178,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
9,1.1970144261916478,0.5096038579940796,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
10,1.1292156875133514,0.5276609659194946,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
11,1.103784292936325,0.5269107222557068,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
12,1.0524700457851093,0.5386154651641846,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
13,1.0049161687493324,0.549169659614563,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
14,0.9710188607374827,0.5499699115753174,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
15,0.9211987430850664,0.5605241656303406,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
16,0.8979865734775861,0.5669267177581787,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
17,0.8645308663447698,0.5692777037620544,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
18,0.8244832754135132,0.5735794305801392,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
19,0.7952853515744209,0.575430154800415,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
20,0.7956567903359731,0.5726289749145508,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
21,0.7400855993231138,0.5785813927650452,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
22,0.7200896640618643,0.5848839282989502,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
23,0.684445708990097,0.5842337012290955,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
24,0.6640739863117536,0.5873849391937256,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
25,0.6325987800955772,0.5924370288848877,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
26,0.6219515552123388,0.5897359251976013,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
27,0.5856665298342705,0.5930871963500977,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
28,0.5654466599225998,0.5946378707885742,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
29,0.5531589984893799,0.5916367173194885,24,2,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,1.0,3,False,2,,1
