iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_algo_n_clusters,algo_R,algo_R_local
0,1.8436924914518993,0.31154173612594604,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
1,1.420170356829961,0.41437503695487976,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
2,1.3267950216929119,0.4311250150203705,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
3,1.0800252531965573,0.47933337092399597,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
4,0.9567623486121496,0.4966249465942383,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
5,0.8440392514069875,0.5146666765213013,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
6,0.7446788226564726,0.5241667032241821,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
7,0.684936560690403,0.5252916812896729,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
8,0.6039955615997314,0.5355417728424072,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
9,0.54411864032348,0.5386667251586914,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
10,0.49304436271389324,0.5414583683013916,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
11,0.44314854467908543,0.5444583892822266,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
12,0.39750243599216145,0.5475417375564575,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
13,0.35784658168752986,0.5486667156219482,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
14,0.32541042814652127,0.5495834350585938,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
15,0.2933485923955838,0.5526667237281799,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
16,0.2584578475604455,0.5550000667572021,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
17,0.23329882385830084,0.5553333759307861,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
18,0.20762601867318153,0.5566667914390564,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
19,0.18327463790774345,0.5580833554267883,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
20,0.16681112069636583,0.5583750009536743,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
21,0.1470008920878172,0.5590417385101318,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
22,0.13017268696178994,0.5584583878517151,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
23,0.11670181527733803,0.5578334331512451,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
24,0.10446170872698228,0.5588333606719971,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
25,0.09243030877163012,0.5599167346954346,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
26,0.08246367486814658,0.5598750710487366,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
27,0.07365603636329372,0.5610417127609253,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
28,0.06635336919377248,0.5615416765213013,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
29,0.06107009341940284,0.5612916350364685,24,4,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,4,2,30,10
