iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,1.7294158935546875,0.3064500093460083,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
1,1.3318750470876695,0.3589499890804291,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
2,1.1075512692332268,0.3708000183105469,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
3,0.8674375459551811,0.4108000695705414,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
4,0.5674054950475693,0.44724997878074646,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
5,0.6373565554618835,0.4238000512123108,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
6,0.5125330677255988,0.4431000351905823,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
7,0.41897849049419167,0.4685000479221344,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
8,0.5663041790947319,0.43789997696876526,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
9,0.4532504243776202,0.4568500220775604,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
10,0.2977248465642333,0.47394999861717224,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
11,0.3444814126938581,0.47494998574256897,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
12,0.248930241772905,0.4967000186443329,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
13,0.21835957011207938,0.4902000427246094,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
14,0.2133768443018198,0.5028500556945801,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
15,0.23816815041936934,0.5001499652862549,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
16,0.1452409964054823,0.5105500221252441,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
17,0.18567904504016042,0.4988499581813812,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
18,0.08796688332222402,0.5225000381469727,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
19,0.11220161237288266,0.5203500986099243,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
20,0.16264748375397176,0.49880003929138184,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
21,0.09971156287938357,0.5185500383377075,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
22,0.12566862176172436,0.5096499919891357,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
23,0.11577056236565113,0.5169000029563904,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
24,0.050909890024922785,0.5344499945640564,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
25,0.07795923626981675,0.5284499526023865,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
26,0.08263006012421101,0.5267000198364258,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
27,0.09827088323654606,0.5279499888420105,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
28,0.07889072846155613,0.5256499648094177,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
29,0.07954241442494095,0.5247500538825989,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
30,0.049001639569178225,0.5392499566078186,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
31,0.06365300960605964,0.5252000689506531,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
32,0.06398479620693251,0.5245000720024109,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
33,0.05116823138669133,0.5354999899864197,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
34,0.03445511119207367,0.5403000116348267,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
35,0.02457914257538505,0.5392500758171082,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
36,0.0417529200669378,0.5418499708175659,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
37,0.0443942713434808,0.5370001196861267,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
38,0.060022309439955276,0.5263001322746277,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
39,0.020415270404191686,0.5445500612258911,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
40,0.05762594594852999,0.5336500406265259,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
41,0.03531043826951645,0.532800018787384,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
42,0.03191255837446079,0.5335001349449158,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
43,0.033998410479398444,0.5368500351905823,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
44,0.008281941176392138,0.5480000376701355,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
45,0.006703988346271217,0.5561500191688538,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
46,0.07128472198965027,0.5309000015258789,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
47,0.007425727369263768,0.5525500178337097,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
48,0.01562797751976177,0.5472999811172485,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
49,0.020211288187419997,0.5521000623703003,20,4,0,"(3, 32, 32)",10,0.01,0.98,5,50,5
