iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_classes,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_momentum,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,2.3000996,0.10154999792575836,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
1,2.2972686,0.10660000890493393,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
2,2.2945716,0.11345000565052032,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
3,2.2919655,0.12540002167224884,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
4,2.2893684,0.13215000927448273,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
5,2.2867208,0.1389000117778778,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
6,2.2839863,0.14350001513957977,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
7,2.2811067,0.14740000665187836,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
8,2.278014,0.15300001204013824,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
9,2.2746625,0.15540002286434174,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
10,2.2710264,0.15790002048015594,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
11,2.267037,0.16170001029968262,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
12,2.2626274,0.16505001485347748,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
13,2.2577577,0.1682000309228897,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
14,2.2523415,0.17145000398159027,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
15,2.2463014,0.17405001819133759,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
16,2.2395732,0.17885001003742218,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
17,2.232048,0.18174999952316284,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
18,2.2236726,0.18450000882148743,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
19,2.214366,0.18735000491142273,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
20,2.2041037,0.19235001504421234,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
21,2.1928055,0.19690002501010895,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
22,2.1805694,0.20145002007484436,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
23,2.1673808,0.20420001447200775,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
24,2.153221,0.20610001683235168,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
25,2.138302,0.21010001003742218,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
26,2.12254,0.2135000228881836,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
27,2.1062937,0.21610000729560852,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
28,2.0895064,0.21995000541210175,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
29,2.0724282,0.2229500114917755,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
30,2.0552318,0.2285500019788742,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
31,2.0379338,0.23180003464221954,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
32,2.020794,0.23535001277923584,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
33,2.0038276,0.24159999191761017,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
34,1.9870615,0.24570003151893616,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
35,1.9704497,0.25060001015663147,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
36,1.9541022,0.2532000243663788,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
37,1.9379365,0.2568000257015228,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
38,1.9220318,0.2589000165462494,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
39,1.9062287,0.2611500024795532,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
40,1.8904692,0.2662999629974365,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
41,1.8746147,0.26945003867149353,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
42,1.859312,0.27149999141693115,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
43,1.8436015,0.27595001459121704,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
44,1.8284872,0.27615001797676086,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
45,1.8144262,0.27845001220703125,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
46,1.7977566,0.28185003995895386,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
47,1.7844166,0.282150000333786,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
48,1.7699406,0.2857000231742859,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
49,1.7546393,0.2884000241756439,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
50,1.7395718,0.2903500497341156,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
51,1.7227646,0.29360002279281616,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
52,1.7087965,0.29554998874664307,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
53,1.6970856,0.2941000163555145,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
54,1.6789004,0.29750001430511475,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
55,1.6653475,0.30025002360343933,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
56,1.652454,0.30105000734329224,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
57,1.6376816,0.30219998955726624,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
58,1.6232433,0.3055500090122223,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
59,1.6107975,0.30115002393722534,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
60,1.6003488,0.3041500151157379,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
61,1.5877129,0.30500003695487976,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
62,1.569899,0.30590003728866577,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
63,1.5632857,0.3032500445842743,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
64,1.549998,0.30570003390312195,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
65,1.53982,0.3052999973297119,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
66,1.50905,0.30764999985694885,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
67,1.5067699,0.30329999327659607,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
68,1.4851656,0.3111500144004822,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
69,1.4793777,0.3059000074863434,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
70,1.4595506,0.3086000084877014,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
71,1.4471399,0.31150001287460327,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
72,1.431737,0.3117000460624695,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
73,1.4282259,0.3083500266075134,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
74,1.4079999,0.31634998321533203,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
75,1.3998393,0.3088500201702118,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
