iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_classes,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_momentum,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,tensor(0.9203),0.0993800163269043,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
1,tensor(0.9171),0.10850001126527786,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
2,tensor(0.9173),0.1474599838256836,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
3,tensor(0.9166),0.15198001265525818,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
4,tensor(0.9140),0.14803998172283173,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
5,tensor(0.9131),0.16868001222610474,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
6,tensor(0.9096),0.188820019364357,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
7,tensor(0.9072),0.2091200202703476,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
8,tensor(0.9063),0.21765996515750885,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
9,tensor(0.9023),0.21036003530025482,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
10,tensor(0.9003),0.2209399789571762,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
11,tensor(0.8919),0.22495998442173004,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
12,tensor(0.8821),0.22468000650405884,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
13,tensor(0.8725),0.2457999587059021,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
14,tensor(0.8727),0.24555999040603638,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
15,tensor(0.8564),0.24143996834754944,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
16,tensor(0.8561),0.2491999864578247,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
17,tensor(0.8505),0.2631600499153137,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
18,tensor(0.8249),0.2681400179862976,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
19,tensor(0.8406),0.27476000785827637,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
20,tensor(0.8210),0.2872999906539917,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
21,tensor(0.8130),0.2885199785232544,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
22,tensor(0.8047),0.30173999071121216,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
23,tensor(0.7806),0.30184003710746765,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
24,tensor(0.7891),0.3179200291633606,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
25,tensor(0.8246),0.31605997681617737,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
26,tensor(0.8011),0.33305996656417847,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
27,tensor(0.8122),0.33292004466056824,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
28,tensor(0.7828),0.3338799774646759,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
29,tensor(0.7966),0.33899998664855957,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
30,tensor(0.7657),0.3493399918079376,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
31,tensor(0.7575),0.3345800042152405,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
32,tensor(0.7752),0.351639986038208,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
33,tensor(0.7646),0.3594200015068054,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
34,tensor(0.7642),0.3546799421310425,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
35,tensor(0.7549),0.36039993166923523,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
36,tensor(0.7570),0.35374000668525696,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
37,tensor(0.7632),0.36531996726989746,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
38,tensor(0.7800),0.34657999873161316,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
39,tensor(0.7353),0.3630799353122711,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
40,tensor(0.7126),0.3541400134563446,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
41,tensor(0.7543),0.3579600155353546,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
42,tensor(0.7752),0.3631000220775604,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
43,tensor(0.7227),0.37306004762649536,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
44,tensor(0.7573),0.37679997086524963,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
45,tensor(0.7381),0.3868400454521179,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
46,tensor(0.6888),0.3885999917984009,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
47,tensor(0.7391),0.39108002185821533,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
48,tensor(0.7401),0.38543999195098877,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
49,tensor(0.7332),0.38266000151634216,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
50,tensor(0.7186),0.38405999541282654,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
51,tensor(0.6851),0.3921399712562561,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
52,tensor(0.7102),0.3966400623321533,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
53,tensor(0.7105),0.3885599970817566,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
54,tensor(0.7345),0.3995800018310547,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
55,tensor(0.7390),0.40081992745399475,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
56,tensor(0.6785),0.4080199897289276,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
57,tensor(0.7246),0.3979400396347046,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
58,tensor(0.6817),0.4059399664402008,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
59,tensor(0.6976),0.41228005290031433,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
60,tensor(0.6598),0.40772002935409546,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
61,tensor(0.7057),0.40939998626708984,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
62,tensor(0.6780),0.41060012578964233,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
63,tensor(0.7056),0.41655999422073364,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
64,tensor(0.6597),0.41527995467185974,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
65,tensor(0.6837),0.4184999465942383,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
66,tensor(0.6945),0.42520004510879517,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
67,tensor(0.6921),0.4115000069141388,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
68,tensor(0.6757),0.4218800365924835,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
69,tensor(0.6804),0.4182800352573395,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
70,tensor(0.6635),0.42639994621276855,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
71,tensor(0.6875),0.41690003871917725,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
72,tensor(0.6975),0.4282799959182739,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
73,tensor(0.6549),0.4333600699901581,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
74,tensor(0.6443),0.4357200264930725,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
75,tensor(0.6513),0.4428999722003937,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
76,tensor(0.6793),0.4356399476528168,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
77,tensor(0.6490),0.4414199888706207,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
78,tensor(0.6427),0.4388599693775177,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
79,tensor(0.6648),0.4360000491142273,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
80,tensor(0.6606),0.4404200315475464,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
81,tensor(0.6494),0.4429399371147156,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
82,tensor(0.6334),0.4438599646091461,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
83,tensor(0.6518),0.44638004899024963,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
84,tensor(0.6582),0.44433993101119995,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
85,tensor(0.6518),0.4478600323200226,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
86,tensor(0.6195),0.4455799460411072,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
87,tensor(0.6396),0.44968003034591675,50,1,10,500,1000,0,"(3, 32, 32)",10,0.01,0.9,0.999,20,200,5
