iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,2.239326238632202,0.28600001335144043,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
1,2.0493216276168824,0.13620001077651978,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
2,2.159824776649475,0.23480002582073212,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
3,2.2938964128494264,0.2647000253200531,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
4,2.6598079562187196,0.23180000483989716,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
5,2.633545708656311,0.258400022983551,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
6,2.606373643875122,0.2754000127315521,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
7,2.4660797715187073,0.2913000285625458,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
8,2.4765868306159975,0.2908000349998474,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
9,2.3679005026817324,0.2873000204563141,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
10,2.225897991657257,0.30630001425743103,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
11,2.1792494535446165,0.30570003390312195,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
12,1.9301730334758758,0.33730003237724304,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
13,2.006290149688721,0.31550002098083496,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
14,2.0447861015796662,0.31619998812675476,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
15,1.957033622264862,0.32380005717277527,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
16,1.8206618785858155,0.3174000382423401,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
17,1.779347014427185,0.32290002703666687,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
18,1.8880991697311402,0.320900022983551,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
19,1.6993593513965606,0.3476000428199768,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
20,1.6587304711341857,0.3294000029563904,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
21,1.615078204870224,0.3329000174999237,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
22,1.5716560900211334,0.3295000493526459,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
23,1.579441213607788,0.328900009393692,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
24,1.4961844831705093,0.3306000232696533,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
25,1.4899054259061812,0.3303000330924988,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
26,1.409804031252861,0.33080002665519714,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
27,1.527914598584175,0.3334999978542328,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
28,1.4391467720270157,0.3363000154495239,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
29,1.3985175400972367,0.33580002188682556,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
30,1.4175325006246566,0.33660003542900085,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
31,1.2037616945803165,0.36070001125335693,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
32,1.189599883556366,0.3611000180244446,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
33,1.3103996217250824,0.33810001611709595,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
34,1.282996453344822,0.3379000127315521,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
35,1.2391937240958213,0.33900004625320435,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
36,1.1353695593774318,0.36160001158714294,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
37,1.1141335748136043,0.3619000017642975,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
38,1.1374055758118629,0.3388000428676605,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
39,1.1785068288445473,0.3388000428676605,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
40,1.1413414373993873,0.34060001373291016,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
41,1.0143578387796879,0.3623000383377075,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
42,1.1528958410024643,0.34060001373291016,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
43,1.1377479895949363,0.34209999442100525,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
44,1.1215041279792786,0.3402999937534332,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
45,1.0868664056062698,0.3416000306606293,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
46,0.9773551903665065,0.3614000380039215,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
47,1.0954166278243065,0.3425000309944153,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
48,1.1584428943693639,0.34070003032684326,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
49,1.1405931502580642,0.3418000340461731,10,4,1,"(3, 32, 32)",10,0.05,0.98,9,50,5
