iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,1.8271653711795808,0.2738499939441681,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
1,1.3836979538202285,0.34255003929138184,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
2,1.1955049008131027,0.34130001068115234,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
3,0.9014464646577836,0.3829500377178192,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
4,0.7249552555382252,0.40095004439353943,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
5,0.5550101697444916,0.4310999810695648,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
6,0.5881930772215128,0.4082500636577606,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
7,0.4660031542181969,0.44390007853507996,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
8,0.3870674816891551,0.45615002512931824,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
9,0.33015665486454965,0.4546000063419342,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
10,0.3328563422895968,0.46925002336502075,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
11,0.21451969407498836,0.49274998903274536,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
12,0.28473712168633936,0.4591499865055084,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
13,0.19273639232851564,0.492000013589859,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
14,0.2417432946152985,0.48235008120536804,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
15,0.18441843846812844,0.494299978017807,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
16,0.14121777983382344,0.49875006079673767,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
17,0.10717019378207623,0.5046499967575073,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
18,0.15540762902237476,0.4958000183105469,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
19,0.09397533545270562,0.5204000473022461,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
20,0.1973968732636422,0.49080005288124084,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
21,0.07121380348689854,0.5181500315666199,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
22,0.13049315160606056,0.4979500472545624,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
23,0.1049186192220077,0.5131999850273132,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
24,0.08421885203570127,0.5158500671386719,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
25,0.027215617115143687,0.5323500633239746,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
26,0.06190883822273463,0.5183500647544861,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
27,0.04519554593134671,0.5195000767707825,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
28,0.03388263561064377,0.5219500660896301,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
29,0.044394371879752724,0.5323500037193298,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
30,0.07475441503338516,0.5011000037193298,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
31,0.09620812081266195,0.5165500044822693,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
32,0.06222937883576378,0.5264500975608826,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
33,0.08052398338913917,0.5082500576972961,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
34,0.029771110031288118,0.5382500886917114,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
35,0.029982788529014214,0.5352000594139099,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
36,0.0328617314924486,0.5320500731468201,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
37,0.045484746544389054,0.5255000591278076,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
38,0.03498703300720081,0.5234500765800476,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
39,0.03621762988623232,0.5299500823020935,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
40,0.012070848973235116,0.5435000658035278,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
41,0.01275609662407078,0.5344500541687012,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
42,0.02428985880687833,0.5353500843048096,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
43,0.03569902064627968,0.5323500037193298,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
44,0.042533015127992256,0.5320499539375305,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
45,0.010061763657722623,0.5407500863075256,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
46,0.015076781605603173,0.5380499958992004,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
47,0.014975041872821749,0.542650043964386,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
48,0.024977193167433142,0.544499933719635,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
49,0.018460880150087178,0.536899983882904,20,4,1,"(3, 32, 32)",10,0.01,0.98,5,50,5
