iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,2.2341524600982665,0.20550000667572021,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
1,1.8922136306762696,0.3199000358581543,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
2,1.7818303644657134,0.34200000762939453,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
3,1.6532397627830506,0.38155004382133484,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
4,1.587867534160614,0.3857000470161438,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
5,1.574545109272003,0.3849000334739685,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
6,1.4594011783599854,0.41645002365112305,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
7,1.3599422752857209,0.43479999899864197,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
8,1.2871992230415343,0.4477000832557678,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
9,1.234387081861496,0.4563000202178955,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
10,1.1813717544078828,0.46410003304481506,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
11,1.1951955258846283,0.4550999701023102,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
12,1.054463118314743,0.4883999824523926,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
13,1.009150531888008,0.48965001106262207,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
14,1.0020460903644561,0.48510003089904785,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
15,1.0005674213171005,0.4816499650478363,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
16,0.9215267658233642,0.4930500090122223,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
17,0.8651580959558487,0.500950038433075,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
18,0.8425770595669746,0.49915000796318054,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
19,0.797077339887619,0.5070499777793884,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
20,0.7504437878727913,0.51214998960495,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
21,0.7278604418039322,0.5122000575065613,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
22,0.7012712597846985,0.5105500817298889,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
23,0.6773136362433434,0.5072000622749329,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
24,0.6268706455826759,0.5157500505447388,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
25,0.6176528200507164,0.5135999917984009,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
26,0.5832311734557152,0.5170000791549683,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
27,0.6334498390555382,0.5090999603271484,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
28,0.5814434245228768,0.5110499858856201,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
29,0.5301933586597443,0.5165500044822693,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
30,0.49665827602148055,0.5240501165390015,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
31,0.4711451083421707,0.5229501128196716,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
32,0.4518240675330162,0.5202000737190247,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
33,0.4234468340873718,0.5237000584602356,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
34,0.43244931623339655,0.5252000093460083,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
35,0.4131402842700481,0.5195000767707825,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
36,0.40097142904996874,0.5208999514579773,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
37,0.36324076876044276,0.5245500802993774,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
38,0.3944787669926882,0.5191499590873718,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
39,0.3363387145102024,0.5245000720024109,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
40,0.32247938960790634,0.5271500945091248,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
41,0.3050120588392019,0.5290500521659851,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
42,0.2997357532382011,0.5275501012802124,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
43,0.3289435964077711,0.5212000012397766,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
44,0.2761997655034065,0.5287001729011536,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
45,0.24612786807119846,0.5296499729156494,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
46,0.24894038327038287,0.5294000506401062,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
47,0.23714011460542678,0.5297999978065491,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
48,0.2238346252590418,0.5323500037193298,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
49,0.2248680055141449,0.5276500582695007,20,4,0,"(3, 32, 32)",10,0.05,0.98,9,50,5
