iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,1.862871875365575,0.3138255178928375,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
1,1.3727239271004994,0.38235294818878174,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
2,0.8944966544707617,0.45388156175613403,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
3,0.5559972288707892,0.4731892943382263,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
4,0.38150763760010403,0.48469388484954834,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
5,0.5546572394669056,0.4749900698661804,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
6,0.25076736804718774,0.5052021145820618,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
7,0.11304661833370726,0.5175069570541382,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
8,0.16528935870155692,0.5180072784423828,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
9,0.22319061149998257,0.5110043883323669,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
10,0.09232559932085375,0.5185074210166931,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
11,0.1727000711252913,0.5170067548751831,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
12,0.19556767970789224,0.5251100659370422,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
13,0.06956984979721408,0.5340136289596558,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
14,0.16314886343510202,0.5326130390167236,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
15,0.07895875819182645,0.5350139141082764,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
16,0.055362031348825745,0.5422168970108032,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
17,0.0394339783427616,0.5478190779685974,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
18,0.04645563217733676,0.5479191541671753,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
19,0.04927526868414134,0.5499200224876404,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
20,0.04273069374418507,0.5502201318740845,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
21,0.04092399797324712,0.5515206456184387,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
22,0.02065460275237759,0.5485194325447083,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
23,0.016136521522033338,0.5529211759567261,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
24,0.011051420825727595,0.552821159362793,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
25,0.05485436310603594,0.5540216565132141,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
26,0.010617885748312498,0.5592236518859863,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
27,0.03551060023407141,0.5548219680786133,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
28,0.011339206306729466,0.5578230619430542,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
29,0.027961257636585895,0.5549219846725464,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
30,0.005083116067301792,0.5568227767944336,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
31,0.024774383283026207,0.5617247223854065,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
32,0.01838835876939508,0.5601240396499634,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
33,0.007854549253048996,0.5617246627807617,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
34,0.0028307878625734397,0.5635254383087158,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
35,0.002386241962085478,0.5655261874198914,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
36,0.008031765668420121,0.5631252527236938,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
37,0.003827527992446752,0.5652260780334473,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
38,0.012341351743089035,0.5654261708259583,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
39,0.00722720667545218,0.5675270557403564,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
40,0.0064645295836574706,0.5643256902694702,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
41,0.0011094049259554595,0.5687274932861328,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
42,0.0012295670797660325,0.5680272579193115,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
43,0.0008230448778097829,0.5750300288200378,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
44,0.017730329498590436,0.5712285041809082,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
45,0.0015381955624131176,0.5758302807807922,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
46,0.01516996206191834,0.5710284113883972,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
47,0.00994229806625905,0.5705282092094421,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
48,0.0032304975126559534,0.5738295912742615,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
49,0.00659376797072279,0.5718287229537964,12,1,2,"(3, 32, 32)",10,0.03,0.98,5,50,5
