iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,2.027753005425135,0.1886666864156723,24,4,100,1000,10,"(3, 32, 32)",10,0.02,0.98,10,50,5
1,1.799259826540947,0.1992916762828827,24,4,100,1000,10,"(3, 32, 32)",10,0.02,0.98,10,50,5
2,1.6962634921073914,0.2042083442211151,24,4,100,1000,10,"(3, 32, 32)",10,0.02,0.98,10,50,5
3,1.5897712260484695,0.2109166830778122,24,4,100,1000,10,"(3, 32, 32)",10,0.02,0.98,10,50,5
4,1.3382937461137772,0.22570835053920746,24,4,100,1000,10,"(3, 32, 32)",10,0.02,0.98,10,50,5
5,1.210325298209985,0.22858333587646484,24,4,100,1000,10,"(3, 32, 32)",10,0.02,0.98,10,50,5
6,0.9663685982426008,0.24779170751571655,24,4,100,1000,10,"(3, 32, 32)",10,0.02,0.98,10,50,5
7,0.7661838168278337,0.2628333568572998,24,4,100,1000,10,"(3, 32, 32)",10,0.02,0.98,10,50,5
8,0.687248652180036,0.25829169154167175,24,4,100,1000,10,"(3, 32, 32)",10,0.02,0.98,10,50,5
9,0.4781357642884056,0.2748749852180481,24,4,100,1000,10,"(3, 32, 32)",10,0.02,0.98,10,50,5
10,0.2994846797082573,0.28941667079925537,24,4,100,1000,10,"(3, 32, 32)",10,0.02,0.98,10,50,5
11,0.27935208069781464,0.29612502455711365,24,4,100,1000,10,"(3, 32, 32)",10,0.02,0.98,10,50,5
12,0.1654966177108387,0.3016666769981384,24,4,100,1000,10,"(3, 32, 32)",10,0.02,0.98,10,50,5
13,0.21350685747650763,0.29333338141441345,24,4,100,1000,10,"(3, 32, 32)",10,0.02,0.98,10,50,5
14,0.1844558832817711,0.2992500066757202,24,4,100,1000,10,"(3, 32, 32)",10,0.02,0.98,10,50,5
15,0.22478932340163738,0.30737507343292236,24,4,100,1000,10,"(3, 32, 32)",10,0.02,0.98,10,50,5
16,0.20468736983214816,0.3059583902359009,24,4,100,1000,10,"(3, 32, 32)",10,0.02,0.98,10,50,5
17,0.09787485319732998,0.31683337688446045,24,4,100,1000,10,"(3, 32, 32)",10,0.02,0.98,10,50,5
18,0.12536460137926042,0.3110833466053009,24,4,100,1000,10,"(3, 32, 32)",10,0.02,0.98,10,50,5
