iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,2.30373951792717,0.10016025602817535,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
1,2.296469380458196,0.1389222890138626,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
2,2.2338865796724954,0.17938706278800964,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
3,2.096520076195399,0.2565104365348816,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
4,1.9488808314005535,0.29046475887298584,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
5,1.8600035359462102,0.3194110691547394,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
6,1.765755573908488,0.3554688096046448,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
7,1.7265817274649937,0.35166269540786743,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
8,1.6303251932064693,0.37590140104293823,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
9,1.5856071362892787,0.38812097907066345,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
10,1.5245785464843113,0.4047476053237915,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
11,1.496603066722552,0.4074519872665405,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
12,1.4361506551504135,0.42528045177459717,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
13,1.3882696678241093,0.43088945746421814,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
14,1.3670651018619537,0.4324920177459717,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
15,1.3283589979012806,0.4416066110134125,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
16,1.297629604736964,0.44260817766189575,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
17,1.2340033898750942,0.4603366255760193,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
18,1.2482042262951534,0.4560297131538391,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
19,1.1881139328082402,0.46364185214042664,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
20,1.1474520862102509,0.46925079822540283,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
21,1.1478428567449253,0.47255608439445496,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
22,1.1035027156273525,0.4789664149284363,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
23,1.0884514277180035,0.48036861419677734,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
24,1.0485871781905491,0.4850761294364929,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
25,1.0242059007287025,0.4889823794364929,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
26,1.010014941294988,0.48888227343559265,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
27,0.9660407404104868,0.49799680709838867,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
28,0.9637505163749059,0.49188706278800964,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
29,0.9445274025201797,0.49098557233810425,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
30,0.9012808427214622,0.5012019276618958,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
31,0.8815842668215433,0.5029046535491943,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
32,0.8624390040834745,0.5056090354919434,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
33,0.8441938534379005,0.5031050443649292,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
34,0.8084116131067276,0.5108174085617065,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
35,0.7912126109004021,0.5114182829856873,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
36,0.7738744020462036,0.5127203464508057,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
37,0.7587132453918457,0.5140224695205688,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
38,0.7286611869931221,0.5200320482254028,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
39,0.7154834171136221,0.5175281763076782,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
40,0.6976592292388281,0.5177284479141235,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
41,0.6748644113540649,0.5233373641967773,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
42,0.6647944077849388,0.5176281929016113,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
43,0.639986072977384,0.5238382816314697,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
44,0.6195937593777975,0.5254407525062561,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
45,0.6047194587687651,0.5257412791252136,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
46,0.589646348108848,0.5251402258872986,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
47,0.5737139247357845,0.530949592590332,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
48,0.5584564283490181,0.5290464758872986,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
49,0.5421742983162403,0.533052921295166,24,1,100,1000,1,"(3, 32, 32)",10,0.06,0.98,23,50,10
