iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,2.295450747013092,0.11233332753181458,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
1,2.002758870522181,0.2343333661556244,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
2,1.9229956765969594,0.27516669034957886,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
3,1.8782752056916554,0.3240833580493927,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
4,1.669441968202591,0.37166666984558105,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
5,1.5703485409418743,0.38591668009757996,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
6,1.4767519136269887,0.39866670966148376,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
7,1.4229680299758911,0.39741671085357666,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
8,1.307496835788091,0.4231666326522827,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
9,1.17767130335172,0.44325003027915955,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
10,1.1314447025458019,0.445250004529953,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
11,1.0949035435914993,0.4396666884422302,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
12,1.007308652003606,0.4515833258628845,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
13,1.0631929636001587,0.43008336424827576,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
14,0.8998435735702515,0.4592500329017639,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
15,0.8264197359482447,0.4663333296775818,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
16,0.8338427344957987,0.4670833945274353,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
17,0.7236311187346777,0.4753333330154419,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
18,0.6832430213689804,0.47808337211608887,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
19,0.6515126476685206,0.47725003957748413,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
20,0.6150975947578748,0.48083341121673584,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
21,0.5465971653660139,0.48774999380111694,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
22,0.5054387475053469,0.4891667068004608,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
23,0.5049838299552599,0.48416662216186523,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
24,0.4499416723847389,0.4876667261123657,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
25,0.4251335561275482,0.4902500510215759,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
26,0.3890066271026929,0.49149999022483826,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
27,0.3547573933998744,0.4896667003631592,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
28,0.3502523824572563,0.49024999141693115,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
29,0.30762112761537236,0.4949166774749756,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
30,0.2876151626308759,0.49283337593078613,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
31,0.269460029900074,0.4919999837875366,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
32,0.2435439551870028,0.49641668796539307,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
33,0.21846521521608034,0.4945000410079956,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
34,0.19935361792643866,0.4932500123977661,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
35,0.1880129606773456,0.4943333864212036,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
36,0.18977273007233939,0.49375003576278687,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
37,0.158499206105868,0.4956667125225067,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
38,0.1462832111865282,0.49533340334892273,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
39,0.1368482243269682,0.4983333945274353,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
40,0.1274633426219225,0.4968334138393402,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
41,0.11480418592691422,0.497249960899353,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
42,0.10394916869699955,0.49883338809013367,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
43,0.10086742881685495,0.4970833659172058,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
44,0.08866018056869507,0.49683332443237305,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
45,0.08339662694682677,0.49650001525878906,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
46,0.07687507631878059,0.4996667504310608,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
47,0.07263460320731004,0.499833345413208,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
48,0.06589958102752765,0.49775010347366333,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
49,0.06170885016520818,0.49933335185050964,12,3,8,"(3, 32, 32)",10,0.07,0.98,11,50,5
