iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,2.0667891452709832,0.17875000834465027,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
1,1.4859176576137543,0.23058336973190308,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
2,1.2026727497577667,0.2565416991710663,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
3,1.008041501045227,0.2681250274181366,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
4,0.79618543262283,0.2848333418369293,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
5,0.7166777302821478,0.28675001859664917,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
6,0.4640804585069418,0.30525004863739014,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
7,0.30543066499133903,0.3230416774749756,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
8,0.23264837202926478,0.3245416581630707,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
9,0.2515765563584864,0.32616668939590454,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
10,0.14490454675008854,0.33525002002716064,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
11,0.12746278988197446,0.3492916524410248,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
12,0.15041043097153306,0.3422083854675293,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
13,0.11120079372388621,0.35112500190734863,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
14,0.13134706672281027,0.3423750102519989,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
15,0.08796198735944927,0.3494584262371063,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
16,0.12961958860978484,0.34420835971832275,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
17,0.05566687905229628,0.35216665267944336,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
18,0.06908184002774458,0.35329169034957886,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
19,0.03163068116797755,0.3576667308807373,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
20,0.06582655493790905,0.359000027179718,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
21,0.10584308253601193,0.3566666543483734,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
22,0.04149879949788252,0.3616666793823242,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
23,0.0614772381959483,0.3561250567436218,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
24,0.050887505640275776,0.36229169368743896,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
25,0.050404876082514725,0.35979169607162476,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
26,0.043548540522654854,0.3640000820159912,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
27,0.04660764002862076,0.36145836114883423,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
28,0.058933458485019706,0.36245840787887573,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
29,0.04394385003251955,0.36712509393692017,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
30,0.057480366861758135,0.3644167184829712,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
31,0.04410907975398004,0.3679583668708801,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
32,0.041987267264630646,0.3607916533946991,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
33,0.041615549203318856,0.36608338356018066,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
34,0.020656093101327617,0.3674583435058594,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
35,0.02488735391913603,0.36237502098083496,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
36,0.029830680519808084,0.3698750436306,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
37,0.017631354683544487,0.36754167079925537,24,3,100,1000,6,"(3, 32, 32)",10,0.01,0.98,10,50,5
