iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,2.3040849963823953,0.09970834851264954,24,3,100,1000,8,"(3, 32, 32)",10,0.07,0.98,23,50,10
1,2.288044661283493,0.12350001186132431,24,3,100,1000,8,"(3, 32, 32)",10,0.07,0.98,23,50,10
2,2.2245779832204184,0.14520834386348724,24,3,100,1000,8,"(3, 32, 32)",10,0.07,0.98,23,50,10
3,2.097173551718394,0.19162502884864807,24,3,100,1000,8,"(3, 32, 32)",10,0.07,0.98,23,50,10
4,2.0396469881137214,0.22320833802223206,24,3,100,1000,8,"(3, 32, 32)",10,0.07,0.98,23,50,10
5,1.9457160184780757,0.2604583501815796,24,3,100,1000,8,"(3, 32, 32)",10,0.07,0.98,23,50,10
6,1.9231504301230113,0.2626666724681854,24,3,100,1000,8,"(3, 32, 32)",10,0.07,0.98,23,50,10
7,1.8564625283082326,0.2821666896343231,24,3,100,1000,8,"(3, 32, 32)",10,0.07,0.98,23,50,10
8,1.8361699730157852,0.29108336567878723,24,3,100,1000,8,"(3, 32, 32)",10,0.07,0.98,23,50,10
9,1.8045147409041722,0.29350003600120544,24,3,100,1000,8,"(3, 32, 32)",10,0.07,0.98,23,50,10
10,1.786200021704038,0.30212506651878357,24,3,100,1000,8,"(3, 32, 32)",10,0.07,0.98,23,50,10
11,1.7248007655143738,0.3212916851043701,24,3,100,1000,8,"(3, 32, 32)",10,0.07,0.98,23,50,10
12,1.7369438062111537,0.3154583275318146,24,3,100,1000,8,"(3, 32, 32)",10,0.07,0.98,23,50,10
13,1.6573035170634587,0.3319583833217621,24,3,100,1000,8,"(3, 32, 32)",10,0.07,0.98,23,50,10
14,1.6769024928410847,0.33537501096725464,24,3,100,1000,8,"(3, 32, 32)",10,0.07,0.98,23,50,10
15,1.6109430144230525,0.3447916507720947,24,3,100,1000,8,"(3, 32, 32)",10,0.07,0.98,23,50,10
