iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,1.6539186437924702,0.32833337783813477,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
1,1.2749550690253575,0.36083337664604187,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
2,0.7435072014729182,0.4188334345817566,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
3,0.43096045839289826,0.43933337926864624,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
4,0.4827537884314855,0.46299999952316284,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
5,0.44090252990523976,0.45783334970474243,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
6,0.24434919034441313,0.4891667068004608,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
7,0.2981456856553753,0.483833372592926,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
8,0.11183367250487208,0.5109167695045471,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
9,0.16655907314270735,0.4949166774749756,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
10,0.17745859657103816,0.5044167041778564,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
11,0.11582967778667808,0.5179166793823242,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
12,0.09279214427806437,0.5155833959579468,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
13,0.09282476160054405,0.5295000076293945,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
14,0.08629042565977822,0.5249166488647461,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
15,0.04871688728841642,0.5279167294502258,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
16,0.043837810517288744,0.5363333821296692,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
17,0.05107729086497178,0.5260000228881836,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
18,0.09594848585159828,0.5290000438690186,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
19,0.01164333817238609,0.5425833463668823,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
20,0.04148478674081465,0.5387500524520874,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
21,0.07687487495907892,0.5319166779518127,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
22,0.008614546599953124,0.5449167490005493,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
23,0.045112231435875096,0.5454167127609253,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
24,0.01364958006888628,0.5427500605583191,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
25,0.04607145047824209,0.5401666760444641,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
26,0.02686739482063179,0.546583354473114,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
27,0.027840983607651044,0.5444167852401733,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
28,0.028274644961735856,0.5455000400543213,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
29,0.025318555456275742,0.549750030040741,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
30,0.008719662165579697,0.5494166612625122,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
31,0.00921012608644863,0.5545833706855774,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
32,0.011962223555504655,0.5515000224113464,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
33,0.03040384899941273,0.5561667084693909,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
34,0.012410111667122692,0.5534167289733887,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
35,0.007849061260155091,0.5587500333786011,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
36,0.00416488345945254,0.5587500333786011,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
37,0.005903642498500024,0.561916708946228,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
38,0.0052869121136609465,0.5566667318344116,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
39,0.004444356677898516,0.5582500696182251,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
40,0.09394418355077505,0.536666750907898,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
41,0.017157721342906978,0.5525833368301392,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
42,0.002830020326655358,0.559583306312561,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
43,0.004205214053702851,0.5559166669845581,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
44,0.002025625629660984,0.5593333840370178,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
45,0.0029046310228295624,0.5583333969116211,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
46,0.06150148218633452,0.5415000319480896,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
47,0.0026405785465613008,0.5620834231376648,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
48,0.0036821412650169805,0.5577499866485596,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
49,0.01368627423653379,0.562166690826416,12,2,3,"(3, 32, 32)",10,0.01,0.98,5,50,5
