iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,0.7142234543959299,0.44871801137924194,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
1,0.2804705599943797,0.4938902258872986,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
2,0.1850559146453937,0.5022035837173462,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
3,0.12292631079132359,0.5286458730697632,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
4,0.11691266306055088,0.5325521230697632,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
5,0.06546466712219019,0.5341546535491943,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
6,0.05380065646022558,0.5384615659713745,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
7,0.08805467089405283,0.5454727411270142,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
8,0.06344350109187265,0.5539864301681519,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
9,0.07145894328520323,0.5584936141967773,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
10,0.03549069926763574,0.5631009936332703,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
11,0.033725065392597266,0.5639022588729858,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
12,0.03909852937795222,0.5665064454078674,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
13,0.021603701752610505,0.5674079060554504,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
14,0.0200091491957816,0.5717148780822754,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
15,0.01694898373292138,0.5690104365348816,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
16,0.027715280089372147,0.5696114897727966,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
17,0.013099969059112482,0.5802283883094788,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
18,0.01199858297574489,0.5806291103363037,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
19,0.012083781281641373,0.5768229961395264,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
20,0.012107461118527377,0.5798277854919434,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
21,0.010476367077596175,0.5786257982254028,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
22,0.015701901584786054,0.5796274542808533,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
23,0.025708105698868167,0.5777244567871094,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
24,0.005041412264593721,0.583533763885498,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
25,0.011284167643073792,0.5858374238014221,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
26,0.007566290686857731,0.5881410837173462,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
27,0.013513356536956659,0.5832332372665405,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
28,0.01083375728194369,0.5841346383094788,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
29,0.006846435431119365,0.5903446078300476,24,1,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
