iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_lmbd
0,1.8482802162567775,0.2317083477973938,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
1,1.6518942316373189,0.283666729927063,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
2,1.5995042026042938,0.29620835185050964,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
3,1.4661625052491825,0.3162916898727417,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
4,1.3408335968852043,0.34300002455711365,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
5,1.0807258722682793,0.36233335733413696,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
6,1.3117024476329486,0.3367500305175781,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
7,1.1163603713115056,0.3476250171661377,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
8,0.9364673383533955,0.3682500123977661,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
9,0.9230121547977129,0.3707500100135803,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
10,1.0279059174160163,0.36979174613952637,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
11,0.8098427839577198,0.38108333945274353,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
12,0.6500746943056583,0.40158331394195557,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
13,0.5719604138284922,0.4114167094230652,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
14,0.6634527544180552,0.4227917194366455,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
15,0.5631969996417562,0.40916675329208374,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
16,0.4334285169218977,0.43708333373069763,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
17,0.40586188063025475,0.4336249828338623,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
18,0.3105765087530017,0.4478333592414856,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
19,0.4222848176335295,0.4310833811759949,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
20,0.24261896001795927,0.4410417079925537,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
21,0.2739611710421741,0.4465417265892029,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
22,0.16504709981381893,0.4618750214576721,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
23,0.1451932592317462,0.4701666533946991,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
24,0.08340243281175692,0.48312506079673767,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
25,0.12247353373095393,0.4720000624656677,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
26,0.07837395742535591,0.4820833206176758,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
27,0.09777788685945173,0.47954171895980835,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
28,0.07694306612635653,0.4818333387374878,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
29,0.04804359174643954,0.4877917170524597,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10,1
