iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local
0,1.7546870559453964,0.346208393573761,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
1,1.62683109442393,0.3790833652019501,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
2,1.6109060496091843,0.38725000619888306,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
3,1.4817110002040863,0.4187917113304138,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
4,1.3838966737190883,0.44104164838790894,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
5,1.315677930911382,0.4545416831970215,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
6,1.2807151873906453,0.4618750512599945,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
7,1.2225148280461628,0.4669167399406433,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
8,1.1394398162762325,0.47712504863739014,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
9,1.1004698698719342,0.47950002551078796,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
10,1.0522342845797539,0.4856667220592499,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
11,0.9998189235726992,0.49162495136260986,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
12,0.9586501916249593,0.49620839953422546,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
13,0.9144017944733301,0.5005834102630615,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
14,0.8861297592520714,0.499750018119812,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
15,0.8309645702441534,0.5077500343322754,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
16,0.8218574871619543,0.5052500367164612,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
17,0.7660612414280573,0.5125833749771118,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
18,0.7356391275922457,0.5126250982284546,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
19,0.7116587261358897,0.51500004529953,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
20,0.6844746544957161,0.5137500762939453,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
21,0.6596616307894388,0.5175833702087402,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
22,0.6217422336339951,0.5201667547225952,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
23,0.6061817556619644,0.518958330154419,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
24,0.5807991301019987,0.5217500329017639,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
25,0.5509312115609646,0.5223333835601807,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
26,0.5271517982085546,0.5241667032241821,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
27,0.5066505757470926,0.5257916450500488,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
28,0.5182292101283869,0.5206249952316284,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
29,0.48289284482598305,0.5262916684150696,24,4,500,1000,0.0,4,"(3, 32, 32)",10,0.02,0.99,30,10
