iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_mu
0,1.936553493142128,0.3202083110809326,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
1,1.6164545118808746,0.3790000379085541,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
2,1.5524993538856506,0.38991671800613403,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
3,1.3847288737694423,0.43004176020622253,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
4,1.3025919248660405,0.4436666965484619,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
5,1.2139108330011368,0.46150001883506775,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
6,1.1458183775345485,0.4750416874885559,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
7,1.073952483634154,0.48720842599868774,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
8,1.032688061396281,0.49174997210502625,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
9,0.964992160598437,0.5012917518615723,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
10,0.916316511730353,0.5056667327880859,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
11,0.866577555735906,0.5131250023841858,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
12,0.8345075200001398,0.5138751268386841,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
13,0.7873596623539925,0.5194583535194397,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
14,0.7581505055228869,0.518166720867157,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
15,0.7276842221617699,0.5214583873748779,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
16,0.6917984361449877,0.5253750681877136,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
17,0.6565366834402084,0.5264167189598083,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
18,0.6289643943309784,0.5274583697319031,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
19,0.5961897969245911,0.5292917490005493,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
20,0.5751483341058096,0.5295834541320801,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
21,0.5430984062453111,0.53083336353302,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
22,0.5224098612864813,0.53166663646698,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
23,0.4989429364601771,0.5330417156219482,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
24,0.4783540964126587,0.5343334078788757,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
25,0.4481023997068405,0.5353751182556152,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
26,0.42909733578562737,0.5352917909622192,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
27,0.41001739104588825,0.5360416769981384,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
28,0.3861894781390826,0.5375834107398987,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
29,0.36852909500400227,0.5387500524520874,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
