iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_algo_n_clusters,algo_R,algo_R_local
0,1.8701691329479218,0.2837500274181366,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
1,1.3516364271442096,0.39366668462753296,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
2,1.072601430118084,0.4309583306312561,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
3,0.9534406960010529,0.4317500591278076,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
4,0.8096394600967566,0.439958393573761,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
5,0.6724368457992872,0.45712506771087646,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
6,0.5666845695426067,0.4597500264644623,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
7,0.4708357270186146,0.4636250138282776,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
8,0.4000645761067669,0.4657916724681854,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
9,0.33003220707178116,0.46674999594688416,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
10,0.2934682001359761,0.46674999594688416,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
11,0.2765380449903508,0.4676666855812073,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
12,0.2159161667805165,0.4709167182445526,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
13,0.19076913269236684,0.47070837020874023,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
14,0.15612493191535273,0.4742916524410248,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
15,0.1298299494277065,0.4747500419616699,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
16,0.11205732938833535,0.4737917184829712,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
17,0.09267318423371762,0.4736250638961792,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
18,0.08179429353913292,0.47691667079925537,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
19,0.06716470115740474,0.4775417447090149,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
20,0.06116846634540707,0.4778333902359009,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
21,0.050587380615373455,0.47720834612846375,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
22,0.044143790864230446,0.47800004482269287,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
23,0.04694032597277934,0.4753333032131195,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
24,0.03560342130367644,0.4777083992958069,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
25,0.03082611186740299,0.47883340716362,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
26,0.02654043380365086,0.48016664385795593,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
27,0.024114824540447444,0.47987496852874756,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
28,0.021452798643925537,0.48141664266586304,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
29,0.019137963206352044,0.47945839166641235,24,8,500,1000,0.0,8,"(3, 32, 32)",10,0.04,0.99,8,,30,10
