iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,0.8815222755074501,0.34450000524520874,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
1,0.4128416342039903,0.38487499952316284,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
2,0.28821229965736467,0.3984583616256714,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
3,0.17594324114422003,0.41041669249534607,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
4,0.17538608494214714,0.4116250276565552,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
5,0.07799515593796968,0.4274999797344208,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
6,0.08640394588777174,0.4335833489894867,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
7,0.1102173551140974,0.42854174971580505,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
8,0.08931353676598519,0.43287500739097595,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
9,0.06370099016930908,0.43783336877822876,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
10,0.04272146951795245,0.44450002908706665,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
11,0.0929837089497596,0.4371250867843628,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
12,0.07517913117771968,0.444833368062973,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
13,0.048925122362561524,0.44812509417533875,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
14,0.04246812733860376,0.45291662216186523,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
15,0.042485643605080746,0.44595837593078613,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
16,0.029230379392780986,0.452875018119812,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
17,0.047380026012736685,0.452875018119812,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
18,0.028414766682544723,0.4565833806991577,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
19,0.04971906216815114,0.453041672706604,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
20,0.024543296118887763,0.4601667523384094,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
21,0.03707489213168932,0.4590000808238983,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
22,0.02387811112566851,0.46345841884613037,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
23,0.018717129076928057,0.46629175543785095,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
24,0.01937755279504927,0.46220844984054565,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
25,0.008588683839964991,0.4675000309944153,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
26,0.02215344582509715,0.4627916216850281,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
27,0.04351110206334852,0.45754167437553406,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
28,0.03431157769955462,0.4647917151451111,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
29,0.010579159551222498,0.4702500104904175,24,4,200,1000,0.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
