iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_K,algo_weighting,algo_temperature,algo_R,algo_R_local
0,0.8422147134939829,0.2631250023841858,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
1,0.316959189871947,0.3007083535194397,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
2,0.2080715006838242,0.31295832991600037,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
3,0.15499752635757127,0.319916695356369,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
4,0.12527542747557163,0.3242083787918091,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
5,0.09802651746819417,0.32850006222724915,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
6,0.08283343212679029,0.3294999897480011,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
7,0.07229269637415807,0.3307916522026062,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
8,0.059399631495277085,0.33245834708213806,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
9,0.05132207181304693,0.33666670322418213,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
10,0.04922162073974808,0.33629167079925537,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
11,0.044613422360271215,0.33633333444595337,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
12,0.03843454116334518,0.33658337593078613,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
13,0.035443562742633127,0.3400416970252991,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
14,0.032000488989676036,0.3380417227745056,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
15,0.02848519035615027,0.33895835280418396,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
16,0.02627736225258559,0.33887502551078796,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
17,0.023781806890231866,0.3397916555404663,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
18,0.021691386743138235,0.33887502551078796,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
19,0.019680015238312382,0.33891671895980835,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
20,0.02129416660560916,0.3384166955947876,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
21,0.01789333112537861,0.33787500858306885,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
22,0.016285075204602133,0.33516669273376465,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
23,0.014825613800591478,0.3395000696182251,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
24,0.01480961860700821,0.3357500433921814,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
25,0.012785607289212445,0.3367083668708801,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
26,0.011810260747248927,0.3367916941642761,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
27,0.012412410656300684,0.3396250605583191,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
28,0.010039447127686193,0.3397083878517151,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
29,0.01036782503554908,0.33741670846939087,24,8,50,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,8,uniform,1.0,30,10
