iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_lmbd
0,2.1297330359617868,0.15425001084804535,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
1,1.0300064800928037,0.20479166507720947,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
2,0.35357720497995615,0.2589583396911621,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
3,0.07694614430268605,0.2784166932106018,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
4,0.36027694889344275,0.26866668462753296,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
5,0.03846597966427604,0.2852500379085541,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
6,0.10945965357435246,0.2798333466053009,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
7,0.03630737688702842,0.29725000262260437,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
8,0.023500909407933552,0.31054168939590454,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
9,0.13327406657238802,0.3094583749771118,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
10,0.026728440968630213,0.3176666796207428,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
11,0.018413502412537735,0.3216667175292969,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
12,0.016900622751563787,0.33016669750213623,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
13,0.2146197952873384,0.31429171562194824,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
14,0.016312622426388163,0.3349999785423279,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
15,0.02030974195804447,0.3334166407585144,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
16,0.030146422213874757,0.32962507009506226,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
17,0.01522800667832295,0.3398749828338623,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
18,0.018019568524323404,0.34441670775413513,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
19,0.009168542766322693,0.346333384513855,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
20,0.4404361596292195,0.33937501907348633,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
21,0.011757067559907833,0.3465000092983246,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
22,0.018143857732259978,0.3478749990463257,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
23,0.03304801134315009,0.34579169750213623,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
24,0.0063937046118856715,0.3541666865348816,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
25,0.009775352664291859,0.35591667890548706,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
26,0.007259245001478121,0.3577500283718109,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
27,0.005997117269240941,0.36083337664604187,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
28,0.006383035729716842,0.3575000464916229,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
29,0.014269408013205975,0.35700005292892456,24,24,100,1000,0.0,13,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
