iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local
0,2.176099638144175,0.16686700284481049,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
1,1.6401400913794835,0.3266226053237915,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
2,1.4094832787911098,0.381911039352417,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
3,1.2630629787842433,0.4051482081413269,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
4,1.16670906295379,0.42267629504203796,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
5,1.120843194425106,0.43159055709838867,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
6,0.9976109142104784,0.4477163553237915,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
7,0.9520981510480245,0.45132216811180115,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
8,0.8725113396843275,0.461838960647583,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
9,0.8232799271742502,0.46714746952056885,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
10,0.7708268637458483,0.4730569124221802,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
11,0.7285762007037798,0.47646233439445496,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
12,0.6814708523452282,0.47996795177459717,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
13,0.6421702280640602,0.4826723337173462,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
14,0.6101446275909742,0.4824720621109009,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
15,0.573761235922575,0.4854768216609955,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
16,0.5340625047683716,0.48838138580322266,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
17,0.5067838827768961,0.4908854365348816,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
18,0.47505250200629234,0.49098560214042664,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
19,0.44234239496290684,0.4930889308452606,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
20,0.4186499211937189,0.4924880266189575,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
21,0.39571862171093625,0.49619394540786743,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
22,0.36778645900388557,0.4991987347602844,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
23,0.3518670971194903,0.500400722026825,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
24,0.32996052255233127,0.500901460647583,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
25,0.30805548032124835,0.5030049085617065,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
26,0.2925834010044734,0.5042068362236023,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
27,0.2730717317511638,0.504807710647583,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
28,0.2596359283973773,0.5024038553237915,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
29,0.24486214108765125,0.5051082372665405,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.03,0.99,30,10
