iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local
0,1.97008382777373,0.27895835041999817,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
1,1.727978602051735,0.35462504625320435,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
2,1.6975391308466594,0.36504170298576355,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
3,1.6018654058376949,0.38262495398521423,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
4,1.5729335397481918,0.3824583888053894,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
5,1.455891266465187,0.4028751254081726,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
6,1.3989219963550568,0.41108331084251404,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
7,1.363561138510704,0.41045838594436646,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
8,1.2888653328021367,0.4215833842754364,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
9,1.235015834371249,0.42737504839897156,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
10,1.1665020436048508,0.43270835280418396,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
11,1.1235017130772273,0.4350000321865082,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
12,1.0921522676944733,0.43304169178009033,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
13,1.0425928259889286,0.4372499883174896,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
14,0.9984135826428732,0.44320839643478394,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
15,0.9609544227520624,0.44458338618278503,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
16,0.921285480260849,0.4470416009426117,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
17,0.8956675156950951,0.44808340072631836,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
18,0.8673888742923737,0.4463333785533905,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
19,0.8263853217164675,0.4477917551994324,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
20,0.79624243080616,0.44916674494743347,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
21,0.7683325012524923,0.4518750309944153,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
22,0.7387509420514107,0.45175009965896606,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
23,0.7031277244289716,0.45350003242492676,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
24,0.6720898474256197,0.4551250636577606,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
25,0.6468502481778463,0.4527500867843628,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
26,0.6250670949618021,0.4567917287349701,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
27,0.6067678195734819,0.45475006103515625,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
28,0.5800759817163149,0.45633333921432495,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
29,0.5550676720837752,0.458374947309494,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
