iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_mu
0,2.0341297139724097,0.250333309173584,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
1,1.7890194604794185,0.32754167914390564,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
2,1.674931804339091,0.3576667010784149,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
3,1.6139636139074962,0.37008339166641235,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
4,1.5612163196007411,0.3771250247955322,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
5,1.4646349896987279,0.3957499861717224,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
6,1.4201676398515701,0.3982084393501282,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
7,1.3329456001520157,0.40779170393943787,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
8,1.2719533741474152,0.4123333692550659,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
9,1.2415554722150166,0.416583389043808,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
10,1.1642561654249828,0.42249998450279236,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
11,1.142368604739507,0.4205417037010193,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
12,1.0798300231496494,0.4267916679382324,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
13,1.0357401967048645,0.4271667003631592,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
14,0.9899625902374586,0.4305833578109741,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
15,0.9579812263449033,0.4283334016799927,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
16,0.9172112767895063,0.4323750138282776,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
17,0.8869385818640391,0.4358333945274353,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
18,0.8346142545342445,0.43795835971832275,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
19,0.8052883719404539,0.43904170393943787,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
20,0.7845313946406046,0.4402083158493042,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
21,0.7492760891715685,0.4389583468437195,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
22,0.725709987183412,0.4397083520889282,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
23,0.6898118232687315,0.43937504291534424,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
24,0.660976342856884,0.4427917003631592,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
25,0.6279682616392771,0.4440000653266907,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
26,0.6075076535344124,0.44458335638046265,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
27,0.5777596359451612,0.44737493991851807,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
28,0.5591985384623209,0.44795843958854675,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
29,0.5399785314997038,0.445166677236557,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
