iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_algo_n_clusters,algo_R,algo_R_local
0,1.595521296064059,0.32833331823349,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
1,0.9179898529158285,0.41741663217544556,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
2,0.7071858345492122,0.43291670083999634,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
3,0.5601086803944781,0.4425416886806488,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
4,0.43263222835958004,0.4489166736602783,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
5,0.37033594406481524,0.45254167914390564,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
6,0.3061285939572069,0.4566667079925537,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
7,0.2315123974258313,0.4600416421890259,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
8,0.20707046910926388,0.4593749940395355,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
9,0.15145251137922364,0.4623750150203705,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
10,0.1252321427843223,0.4631250500679016,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
11,0.10794110292287466,0.46366673707962036,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
12,0.08686988013262938,0.4611666202545166,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
13,0.06795576798807208,0.4610833525657654,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
14,0.06250265678681899,0.46149998903274536,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
15,0.05898600751970662,0.45866668224334717,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
16,0.04325022513997586,0.460375040769577,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
17,0.03968174573916864,0.46020838618278503,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
18,0.030281576153356582,0.4622917175292969,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
19,0.025291683991478447,0.4620833396911621,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
20,0.02214204435585998,0.46162497997283936,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
21,0.01969795004212453,0.4624583423137665,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
22,0.017218840747470193,0.4617917537689209,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
23,0.015293858501536306,0.4620833992958069,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
24,0.022069232977325253,0.4567917287349701,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
25,0.013130190964147914,0.4622916579246521,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
26,0.0116115500095475,0.4622917175292969,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
27,0.010587477327741604,0.4621667265892029,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
28,0.009531749960539551,0.4620833992958069,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
29,0.008661629325312484,0.46174997091293335,24,8,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,8,,30,10
