iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,0.7443789641062418,0.4491296410560608,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
1,0.3225105709085862,0.4924469590187073,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
2,0.21386416163295507,0.5095038414001465,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
3,0.1347761497211953,0.5193077325820923,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
4,0.08411070937290788,0.5311124920845032,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
5,0.09545849135611206,0.5331132411956787,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
6,0.06942315124130498,0.539665937423706,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
7,0.08950997551437467,0.5425670146942139,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
8,0.05057083132366339,0.5515706539154053,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
9,0.04589220912506183,0.5529211759567261,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
10,0.050657450299089156,0.5581231713294983,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
11,0.04372450119505326,0.5614745020866394,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
12,0.05261633034873133,0.5572229027748108,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
13,0.033828756742877886,0.5629751682281494,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
14,0.03361452887960089,0.566476583480835,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
15,0.02827167779711696,0.5651761293411255,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
16,0.02904286069679074,0.5647258758544922,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
17,0.01678336572755749,0.5710784196853638,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
18,0.01994029827377138,0.5699280500411987,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
19,0.02265479885681998,0.5714786052703857,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
20,0.01563962335543086,0.5746299028396606,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
21,0.015700379900711898,0.5771808624267578,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
22,0.007731855264864862,0.5770807862281799,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
23,0.013157859139028005,0.5776810646057129,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
24,0.015407260939052017,0.5787814855575562,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
25,0.01456528478350568,0.5797820091247559,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
26,0.03631425856049949,0.5772308707237244,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
27,0.004461594881528678,0.5822328329086304,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
28,0.01781164975060771,0.5809323787689209,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
29,0.0019422989522960659,0.58388352394104,24,2,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10
