iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,0.7112637708584467,0.457932710647583,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
1,0.2869896149883668,0.4910857379436493,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
2,0.18684906496976814,0.508413553237915,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
3,0.1348064710230877,0.5250401496887207,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
4,0.0977762381080538,0.5344551801681519,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
5,0.06895681866444647,0.5398638248443604,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
6,0.06481176964007318,0.5399640202522278,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
7,0.06492741568945348,0.5487781167030334,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
8,0.05619171839983513,0.5487780570983887,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
9,0.03337545320391655,0.5547876358032227,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
10,0.05179895464486132,0.5602965354919434,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
11,0.03458255769995352,0.5614984035491943,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
12,0.03167991424561478,0.5588943362236023,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
13,0.024597026106979076,0.5622996687889099,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
14,0.014427756318279231,0.5658053159713745,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
15,0.016815304343860287,0.5654047727584839,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
16,0.02365480168373324,0.5741186141967773,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
17,0.02078311299555935,0.5755208730697632,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
18,0.010726366783880318,0.5750200748443604,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
19,0.018718440245720558,0.570713222026825,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
20,0.005889613739176032,0.5775240659713745,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
21,0.012184045461860174,0.5763221979141235,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
22,0.015873958756856155,0.5765224695205688,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
23,0.018575710220223602,0.5814303159713745,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
24,0.008239921931817662,0.5773237943649292,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
25,0.01198253472102806,0.5836338996887207,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
26,0.007543431408218264,0.5814303755760193,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
27,0.00726133213902358,0.585036039352417,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
28,0.008375732196630755,0.5843350291252136,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
29,0.0048596618507872336,0.5867387652397156,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
