iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_lmbd
0,1.1537338718771935,0.3106250464916229,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
1,0.40137434626619023,0.3684167265892029,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
2,0.21887490587929884,0.4037500321865082,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
3,1.7208973513916135,0.38966667652130127,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
4,1.7135643893076729,0.4257084131240845,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
5,0.7656792680888126,0.4142500162124634,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
6,0.23826560812691847,0.45124995708465576,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
7,0.11588319922642161,0.45854172110557556,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
8,0.10398505309907098,0.4645417332649231,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
9,0.018364614496628445,0.49012506008148193,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
10,0.10370720911305398,0.4776250720024109,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
11,0.015533626234779755,0.4935416877269745,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
12,0.03126668402304252,0.49154171347618103,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
13,0.14295026217587292,0.483916699886322,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
14,0.020768631909353037,0.49495837092399597,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
15,0.009723940670179823,0.5021250247955322,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
16,0.010132897295989096,0.502916693687439,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
17,0.010408769031831374,0.5039167404174805,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
18,0.00985361443599686,0.5067082643508911,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
19,0.008669032579443106,0.5067917108535767,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
20,0.008307337275861451,0.5045417547225952,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
21,0.009743850755815705,0.5058749914169312,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
22,0.007223603451469292,0.5090000629425049,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
23,0.0069719041348434985,0.5090000033378601,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
24,0.007794918220800658,0.5083750486373901,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
25,0.006190922693349421,0.5086666941642761,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
26,0.005919131663783143,0.5103334188461304,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
27,0.005768064972168456,0.5097083449363708,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
28,0.005486083624418825,0.5116667151451111,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
29,0.005488744859273235,0.5101250410079956,24,8,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
