iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local
0,1.9871464222669601,0.2795000672340393,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
1,1.7005852063496907,0.35383340716362,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
2,1.6708826472361882,0.3632916212081909,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
3,1.6162911554177601,0.37508338689804077,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
4,1.487247164050738,0.4019583463668823,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
5,1.4261312782764435,0.4099583327770233,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
6,1.4039336492617924,0.40437501668930054,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
7,1.3193120310703914,0.41758331656455994,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
8,1.246540794769923,0.424625039100647,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
9,1.1929334203402202,0.42866671085357666,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
10,1.1352159703771274,0.43350011110305786,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
11,1.1157224898537,0.43262502551078796,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
12,1.0581750099857647,0.4360000491142273,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
13,1.0153520305951436,0.43795841932296753,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
14,0.9901499624053637,0.43783336877822876,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
15,0.9299291570981344,0.4429583251476288,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
16,0.9032493233680725,0.4425000846385956,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
17,0.8540079196294149,0.44691675901412964,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
18,0.8272248258193334,0.44633346796035767,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
19,0.7932417665918668,0.4477083384990692,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
20,0.7540475130081177,0.45058342814445496,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
21,0.7226396625240644,0.45091673731803894,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
22,0.6947525888681412,0.453041672706604,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
23,0.6751170506079992,0.45195838809013367,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
24,0.6470790232221285,0.45116671919822693,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
25,0.6155881819625696,0.45475006103515625,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
26,0.596231184899807,0.453458309173584,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
27,0.5718649278084437,0.4545000493526459,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
28,0.5467004800836245,0.4565000534057617,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
29,0.5244788055618604,0.4557083547115326,24,24,500,1000,0.0,4,"(3, 32, 32)",10,0.03,0.99,30,10
