iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local
0,1.9384005318085353,0.2864167094230652,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
1,1.7643927584091823,0.338541716337204,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
2,1.7018574923276901,0.3553333282470703,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
3,1.6576264202594757,0.3605833947658539,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
4,1.5704663594563801,0.37174999713897705,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
5,1.477416346470515,0.39350003004074097,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
6,1.4409419397513072,0.3930833339691162,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
7,1.3780987858772278,0.40291666984558105,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
8,1.2889114717642467,0.41187500953674316,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
9,1.2322038213411968,0.41470837593078613,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
10,1.2046312391757965,0.4137916564941406,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
11,1.1465080082416534,0.4229999780654907,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
12,1.0948509300748508,0.4259999990463257,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
13,1.0688307707508404,0.4251667261123657,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
14,1.0184317032496135,0.4267084002494812,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
15,1.0014857947826385,0.4281667470932007,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
16,0.9444523677229881,0.4321250319480896,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
17,0.9135626976688703,0.4310833215713501,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
18,0.8780242428183556,0.43162500858306885,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
19,0.8417316923538843,0.43529170751571655,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
20,0.8100848769148191,0.4358750581741333,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
21,0.7834846451878548,0.43516671657562256,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
22,0.7491038193305334,0.4375000596046448,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
23,0.7253042111794153,0.4358750581741333,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
24,0.6943383986751238,0.43929168581962585,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
25,0.6811676199237505,0.4360834062099457,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
26,0.656224807103475,0.43845832347869873,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
27,0.625210082779328,0.43929168581962585,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
28,0.6015541429320971,0.43920835852622986,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
29,0.5744105614721775,0.4416249990463257,24,24,500,1000,0.0,1,"(3, 32, 32)",10,0.03,0.99,30,10
