iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_mu
0,1.9214255660772324,0.31037503480911255,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
1,1.7307099103927612,0.3530000150203705,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
2,1.743701085448265,0.34975001215934753,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
3,1.557872787117958,0.3879166841506958,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
4,1.4928726156552632,0.40050002932548523,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
5,1.4750380963087082,0.39729171991348267,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
6,1.3543179581562679,0.41987499594688416,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
7,1.289456491669019,0.429291695356369,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
8,1.233292316397031,0.4297083616256714,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
9,1.165282706419627,0.4427916705608368,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
10,1.105461706717809,0.4462083578109741,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
11,1.062273216744264,0.4478333592414856,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
12,1.0132644424835842,0.4525417685508728,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
13,0.9878946219881376,0.44870835542678833,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
14,0.9516246964534124,0.4500417113304138,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
15,0.9056002323826154,0.45262497663497925,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
16,0.8541675632198652,0.45995837450027466,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
17,0.8153091867764791,0.4611666798591614,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
18,0.7809487705429395,0.4632083773612976,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
19,0.7522866601745287,0.46549999713897705,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
20,0.7328246235847473,0.4630000591278076,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
21,0.6932170316576958,0.4665001332759857,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
22,0.6716114630301794,0.4661666750907898,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
23,0.6373468637466431,0.46891674399375916,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
24,0.609409915904204,0.4685833156108856,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
25,0.5902267595132192,0.46808335185050964,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
26,0.5701822489500046,0.4693334102630615,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
27,0.5407816246151924,0.47054171562194824,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
28,0.5138095567623774,0.47162503004074097,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
29,0.49413956080873805,0.4709167182445526,24,8,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
