iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_algo_n_clusters,algo_R,algo_R_local
0,1.59174545109272,0.45973560214042664,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
1,1.2112274567286174,0.5376603603363037,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
2,1.0864323377609253,0.5707131624221802,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
3,1.0080259144306183,0.5944510698318481,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
4,0.9466236208875974,0.6055690050125122,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
5,0.8655950327714285,0.6229968070983887,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
6,0.825228159626325,0.6330128908157349,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
7,0.7631939798593521,0.6432292461395264,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
8,0.7180972198645273,0.6482371687889099,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
9,0.6719126577178637,0.6525440216064453,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
10,0.6363289480408033,0.6570513844490051,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
11,0.592953493197759,0.6614583730697632,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
12,0.5577205866575241,0.6644631624221802,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
13,0.5232058291633924,0.6680690050125122,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
14,0.4951484203338623,0.6678686141967773,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
15,0.46716899424791336,0.6725761294364929,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
16,0.4389428161084652,0.6753805875778198,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
17,0.41347576056917507,0.6766826510429382,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
18,0.3896484412252903,0.6792868375778198,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
19,0.3658278025686741,0.6798878908157349,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
20,0.3447874051829179,0.6839944124221802,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
21,0.3226006006201108,0.6827925443649292,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
22,0.30413860579331714,0.6852965354919434,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
23,0.2850226107984781,0.6858975291252136,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
24,0.2655320906390746,0.6864985227584839,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
25,0.2520940595616897,0.6860978007316589,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
26,0.23508347695072493,0.6857972145080566,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
27,0.22008933934072653,0.6862980723381042,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
28,0.2058141784121593,0.6871995329856873,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
29,0.19232424969474474,0.689703643321991,24,1,500,1000,0.0,8,"(3, 32, 32)",10,0.03,0.99,1,,30,10
