iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_dynamic,algo_n_clusters,algo_n_active_clusters,algo_cluster_rotation_freq
0,0.5775569621473551,0.35740628838539124,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
1,0.2689830628223717,0.3880625069141388,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
2,0.12902223377022892,0.40659376978874207,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
3,0.11733643291518092,0.41203129291534424,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
4,0.09404928330332041,0.4191250205039978,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
5,0.22316259623039514,0.5161875486373901,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
6,0.10906175820855424,0.5222812294960022,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
7,0.06354786656447686,0.5289062857627869,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
8,0.058555948140565306,0.5355937480926514,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
9,0.07618869436555542,0.533875048160553,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
10,0.05458415696921293,0.5388750433921814,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
11,0.05266048174962634,0.5388437509536743,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
12,0.023630195428268053,0.5418749451637268,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
13,0.04102641039935406,0.543999969959259,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
14,0.04291338186885696,0.5474062561988831,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
15,0.027480337994347792,0.5527500510215759,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
16,0.030545885951141827,0.5536875128746033,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
17,0.018497514589398634,0.555468738079071,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
18,0.03413234522668063,0.5542812943458557,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
19,0.01283189202513313,0.5561249852180481,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
20,0.022802286974183517,0.5586562752723694,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
21,0.02954095399036305,0.5595625042915344,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
22,0.010791597218485549,0.5631874799728394,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
23,0.014141240859316895,0.5664999485015869,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
24,0.012770359629939776,0.5634687542915344,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
25,0.02435489828712889,0.5676562786102295,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
26,0.011798208030086244,0.5685000419616699,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
27,0.02335905725340126,0.5643749833106995,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
28,0.0179739458453696,0.5689063668251038,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
29,0.02195496879903658,0.5712500214576721,32,4,500,1000,1,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
