iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_bn_calibration,algo_dynamic,algo_n_clusters,algo_n_active_clusters,algo_cluster_rotation_freq
0,1.8797666169703007,0.3320312798023224,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
1,1.7241734340786934,0.37040627002716064,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
2,1.6786046400666237,0.3885624408721924,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
3,1.617673847824335,0.4103437662124634,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
4,1.5880691930651665,0.41709381341934204,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
5,1.3721620850265026,0.4542500078678131,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
6,1.3217848055064678,0.4636874496936798,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
7,1.30400569178164,0.4636250436306,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
8,1.247416077181697,0.4801250696182251,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
9,1.2064211778342724,0.4828750193119049,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
10,1.1107982862740755,0.499562531709671,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
11,1.0728594455868006,0.5051875114440918,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
12,1.0386247020214796,0.5096563100814819,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
13,1.0141527317464352,0.5116874575614929,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
14,0.9814345724880695,0.5135313272476196,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
15,0.9246272407472134,0.5192188024520874,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
16,0.909700334072113,0.5191251039505005,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
17,0.8784459158778191,0.5198749899864197,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
18,0.8673866968601942,0.5209063291549683,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
19,0.8429985698312521,0.5210000276565552,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
20,0.7846367405727506,0.5297499895095825,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
21,0.7648659683763981,0.5313750505447388,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
22,0.7468257322907448,0.5326562523841858,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
23,0.7291100695729256,0.5320625305175781,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
24,0.7049771267920732,0.5333750247955322,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
25,0.6475112689658999,0.5361250638961792,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
26,0.6302621746435761,0.5360938310623169,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
27,0.6120658656582236,0.5363749861717224,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
28,0.5929045490920544,0.5375000834465027,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
29,0.5728576853871346,0.5384687781333923,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,30,10,3,True,4,3,5
