iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_mu,algo_bn_calibration,algo_dynamic,algo_n_clusters,algo_n_active_clusters,algo_cluster_rotation_freq
0,1.957795910537243,0.2945000231266022,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
1,1.712446466088295,0.37193751335144043,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
2,1.6814600713551044,0.3880312740802765,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
3,1.600632980465889,0.41712504625320435,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
4,1.5195981711149216,0.4369688034057617,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
5,1.4790574423968792,0.44956251978874207,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
6,1.4234669245779514,0.45515626668930054,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
7,1.3902551662176847,0.4653436839580536,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
8,1.3204400073736906,0.4735625386238098,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
9,1.321951823309064,0.4729999899864197,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
10,1.156493915244937,0.4880937933921814,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
11,1.1030235458165407,0.5008125305175781,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
12,1.053192550316453,0.5084375143051147,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
13,1.0395760498940945,0.5094375014305115,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
14,1.0140479374676943,0.5145624876022339,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
15,0.9253205340355635,0.5249063372612,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
16,0.8970374725759029,0.5280625224113464,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
17,0.8665947448462248,0.5304999351501465,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
18,0.8338892152532935,0.5306875705718994,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
19,0.8100687777623534,0.5344375371932983,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
20,0.773370279930532,0.5379061698913574,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
21,0.7529319515451789,0.53843754529953,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
22,0.739161723293364,0.5376875400543213,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
23,0.722153247334063,0.5392187237739563,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
24,0.7063977541401982,0.5400938391685486,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
25,0.6448644250631332,0.5494999885559082,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
26,0.6292399009689689,0.5486249923706055,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
27,0.6138026211410761,0.5489688515663147,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
28,0.6015815883874893,0.5486562252044678,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
29,0.5799799682572484,0.5502187609672546,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
