iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_R,algo_R_local,algo_bn_calibration,algo_dynamic,algo_n_active_clusters,algo_cluster_rotation_freq
0,1.7537609189748764,0.3003438115119934,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
1,1.3694361224770546,0.4194999933242798,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
2,1.3168463045731187,0.4414375126361847,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
3,1.2188000148162246,0.4518750011920929,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
4,1.1906326012685895,0.4605937600135803,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
5,1.154551271814853,0.4635936915874481,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
6,1.0963539646472782,0.46831247210502625,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
7,1.0901457329746336,0.4751250743865967,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
8,1.0575898534152657,0.4691562354564667,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
9,1.0463657877407968,0.4738437831401825,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
10,0.721667806552432,0.4934687316417694,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
11,0.5731769375379372,0.5171250700950623,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
12,0.5454168637152179,0.5231562852859497,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
13,0.5156127955942793,0.5255312323570251,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
14,0.4890197811801045,0.5291562080383301,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
15,0.48554901755414903,0.5220624804496765,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
16,0.4987069464987144,0.522406280040741,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
17,0.5207243138574995,0.519156277179718,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
18,0.5083651805471163,0.5195626020431519,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
19,0.5242157175962348,0.5188750624656677,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
20,0.34886736802582163,0.5225937962532043,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
21,0.30339185416232795,0.5310937762260437,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
22,0.28695198686182266,0.5317500829696655,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
23,0.27722043845278677,0.5319374799728394,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
24,0.2642158001908683,0.5312188267707825,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
25,0.1670167764677899,0.5505937933921814,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
26,0.1388655394403031,0.5541250109672546,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
27,0.12450785078544868,0.554437518119812,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
28,0.11448418092913926,0.5549375414848328,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
29,0.10331725413561799,0.5568438172340393,32,4,500,1000,5,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
